ENSMEUP00000005369	ENSMEUG00000005880	Notamacropus_eugenii
ENSOPRP00000006763	ENSOPRG00000007385	Ochotona_princeps
ENSSDUP00000015796	ENSSDUG00000011531	Seriola_dumerili
ENSTGUP00000013797	ENSTGUG00000013400	Taeniopygia_guttata
ENSLBEP00000025385	ENSLBEG00000019385	Labrus_bergylta
ENSSSCP00000043383	ENSSSCG00000011906	Sus_scrofa_strain_reference
ENSPVIP00000025605	ENSPVIG00000019164	Pogona_vitticeps
ENSAPLP00000008003	ENSAPLG00000008337	Anas_platyrhynchos_platyrhynchos
ENSORLP00020007197	ENSORLG00020008079	Oryzias_latipes_ASM223471v1
ENSAPEP00000033725	ENSAPEG00000023956	Amphiprion_percula
ENSACLP00000029775	ENSACLG00000020162	Astatotilapia_calliptera
ENSONIP00000021032	ENSONIG00000016695	Oreochromis_niloticus
ENSOMEP00000026593	ENSOMEG00000008515	Oryzias_melastigma
ENSAMEP00000007721	ENSAMEG00000007326	Ailuropoda_melanoleuca
ENSPMEP00000034214	ENSPMEG00000023268	Poecilia_mexicana
ENSAMXP00000032895	ENSAMXG00000011812	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSGACP00000008145	ENSGACG00000006157	Gasterosteus_aculeatus
ENSPMEP00000001157	ENSPMEG00000002032	Poecilia_mexicana
ENSAHAP00000013652	ENSAHAG00000009803	Apteryx_haastii
ENSKMAP00000025965	ENSKMAG00000019235	Kryptolebias_marmoratus
ENSMALP00000009495	ENSMALG00000006748	Monopterus_albus
ENSCAFP00000062807	ENSCAFG00000010879	Canis_lupus_familiaris
ENSCABP00000002667	ENSCABG00000002081	Chelonoidis_abingdonii
ENSUAMP00000024804	ENSUAMG00000019336	Ursus_americanus
ENSAOCP00000024029	ENSAOCG00000010518	Amphiprion_ocellaris
ENSORLP00000041002	ENSORLG00000024481	Oryzias_latipes_ASM223467v1
ENSHBUP00000022811	ENSHBUG00000003306	Haplochromis_burtoni
ENSFALP00000006304	ENSFALG00000006041	Ficedula_albicollis
ENSGAFP00000020802	ENSGAFG00000014025	Gambusia_affinis
ENSPSIP00000002688	ENSPSIG00000002621	Pelodiscus_sinensis
ENSLACP00000008613	ENSLACG00000007614	Latimeria_chalumnae
ENSPTEP00000020418	ENSPTEG00000021658	Piliocolobus_tephrosceles
ENSACIP00000020482	ENSACIG00000015909	Amphilophus_citrinellus
ENSEEEP00000016894	ENSEEEG00000008376	Electrophorus_electricus
ENSBTAP00000073434	ENSBTAG00000045704	Bos_taurus
ENSFDAP00000011311	ENSFDAG00000018887	Fukomys_damarensis
ENSPLAP00000015806	ENSPLAG00000019820	Poecilia_latipinna
ENSCGRP00000002148	ENSCGRG00000001591	Cricetulus_griseus_CriGri_1.0
ENSGWIP00000046588	ENSGWIG00000022995	Gouania_willdenowi
ENSEBUP00000025976	ENSEBUG00000016006	Eptatretus_burgeri
ENSGACP00000027311	ENSGACG00000020649	Gasterosteus_aculeatus
ENSGGOP00000028639	ENSGGOG00000034977	Gorilla_gorilla
ENSACAP00000002845	ENSACAG00000002923	Anolis_carolinensis
ENSPVAP00000006240	ENSPVAG00000006609	Pteropus_vampyrus
ENSLBEP00000006755	ENSLBEG00000005205	Labrus_bergylta
ENSJJAP00000010613	ENSJJAG00000014150	Jaculus_jaculus
ENSMAMP00000004333	ENSMAMG00000002924	Mastacembelus_armatus
ENSMALP00000027347	ENSMALG00000018979	Monopterus_albus
ENSORLP00000036136	ENSORLG00000013761	Oryzias_latipes_ASM223467v1
ENSAHAP00000022632	ENSAHAG00000015862	Apteryx_haastii	ENSAHAT00000024963
ENSODEP00000010755	ENSODEG00000008011	Octodon_degus
ENSOGAP00000013619	ENSOGAG00000015209	Otolemur_garnettii
ENSSBOP00000024139	ENSSBOG00000028544	Saimiri_boliviensis_boliviensis
ENSMPUP00000000257	ENSMPUG00000000260	Mustela_putorius_furo
ENSBSLP00000009119	ENSBSLG00000004481	Betta_splendens
ENSOCUP00000048086	ENSOCUG00000017082	Oryctolagus_cuniculus
ENSTNIP00000003710	ENSTNIG00000000565	Tetraodon_nigroviridis
ENSLCAP00010013152	ENSLCAG00010006219	Lates_calcarifer
ENSCJPP00005021811	ENSCJPG00005017409	Coturnix_japonica
ENSPFOP00000018893	ENSPFOG00000018791	Poecilia_formosa
ENSMAUP00000023338	ENSMAUG00000020515	Mesocricetus_auratus
ENSCATP00000014726	ENSCATG00000031378	Cercocebus_atys
ENSVPAP00000000370	ENSVPAG00000000397	Vicugna_pacos
ENSCHOP00000002968	ENSCHOG00000003353	Choloepus_hoffmanni
ENSIPUP00000031990	ENSIPUG00000021501	Ictalurus_punctatus
ENSCGOP00000016699	ENSCGOG00000008010	Cottoperca_gobio
ENSPTIP00000002120	ENSPTIG00000005098	Panthera_tigris_altaica
ENSPNAP00000006933	ENSPNAG00000012888	Pygocentrus_nattereri
ENSCAFP00020008384	ENSCAFG00020006795	Canis_lupus_dingo
ENSECRP00000001244	ENSECRG00000000864	Erpetoichthys_calabaricus
ENSMUGP00000022749	ENSMUGG00000019046	Meriones_unguiculatus
ENSPTRP00000090502	ENSPTRG00000015248	Pan_troglodytes
ENSMMUP00000010582	ENSMMUG00000008075	Macaca_mulatta
ENSTGEP00000005047	ENSTGEG00000004222	Theropithecus_gelada
ENSNBRP00000021180	ENSNBRG00000016243	Neolamprologus_brichardi
