ENSHCOP00000005038	ENSHCOG00000006638	Hippocampus_comes
ENSFDAP00000013836	ENSFDAG00000000723	Fukomys_damarensis
ENSCSAP00000001665	ENSCSAG00000005354	Chlorocebus_sabaeus
ENSJJAP00000019112	ENSJJAG00000020167	Jaculus_jaculus
ENSMLEP00000038263	ENSMLEG00000043190	Mandrillus_leucophaeus
ENSNMEP00000017782	ENSNMEG00000015494	Numida_meleagris
ENSCGRP00015028897	ENSCGRG00015021835	Cricetulus_griseus_CriGri-PICR
ENSMAMP00000030639	ENSMAMG00000020662	Mastacembelus_armatus
ENSMNEP00000033681	ENSMNEG00000040052	Macaca_nemestrina
ENSETEP00000012227	ENSETEG00000015090	Echinops_telfairi
ENSKMAP00000010370	ENSKMAG00000007777	Kryptolebias_marmoratus
ENSACLP00000012215	ENSACLG00000008334	Astatotilapia_calliptera
ENSOGAP00000002075	ENSOGAG00000002323	Otolemur_garnettii
ENSPREP00000009707	ENSPREG00000006592	Poecilia_reticulata
ENSPNAP00000000615	ENSPNAG00000007624	Pygocentrus_nattereri
ENSACIP00000011807	ENSACIG00000009209	Amphilophus_citrinellus
ENSCGRP00001002402	ENSCGRG00001002605	Cricetulus_griseus_CHOK1GS_HDv1
ENSPMGP00000020606	ENSPMGG00000016679	Periophthalmus_magnuspinnatus
ENSBMUP00000030435	ENSBMUG00000022766	Bos_mutus
ENSTNIP00000005930	ENSTNIG00000003344	Tetraodon_nigroviridis
ENSNGAP00000000519	ENSNGAG00000000395	Nannospalax_galili
ENSMALP00000010853	ENSMALG00000007716	Monopterus_albus
ENSORLP00000024904	ENSORLG00000020067	Oryzias_latipes_ASM223467v1
ENSOMEP00000019372	ENSOMEG00000021189	Oryzias_melastigma
ENSLCRP00005033717	ENSLCRG00005013198	Larimichthys_crocea
ENSMICP00000006241	ENSMICG00000006848	Microcebus_murinus
ENSHGLP00000014748	ENSHGLG00000010540	Heterocephalus_glaber_HetGla_female_1.0
ENSGWIP00000028535	ENSGWIG00000014875	Gouania_willdenowi
ENSMOCP00000005070	ENSMOCG00000004477	Microtus_ochrogaster
MGP_SPRETEiJ_P0041126	MGP_SPRETEiJ_G0021017	Mus_spretus_strain_SPRET/EiJ
ENSCAFP00000056349	ENSCAFG00000000850	Canis_lupus_familiaris
ENSNBRP00000022538	ENSNBRG00000017274	Neolamprologus_brichardi
ENSMGAP00000014607	ENSMGAG00000013814	Meleagris_gallopavo
ENSTSYP00000025053	ENSTSYG00000030833	Carlito_syrichta
