ENSBIXP00005007582	ENSBIXG00005012795	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMLUP00000010590	ENSMLUG00000011639	Myotis_lucifugus
ENSNPEP00000019500	ENSNPEG00000014535	Nothoprocta_perdicaria	ENSNPET00000020001
ENSTBEP00000014305	ENSTBEG00000016462	Tupaia_belangeri
ENSRBIP00000041797	ENSRBIG00000044212	Rhinopithecus_bieti
ENSCJPP00005001693	ENSCJPG00005001739	Coturnix_japonica	ENSCJPT00005002862
ENSMLEP00000017705	ENSMLEG00000033052	Mandrillus_leucophaeus
ENSSDAP00000002449	ENSSDAG00000002372	Spermophilus_dauricus
ENSVVUP00000022887	ENSVVUG00000016754	Vulpes_vulpes
ENSVURP00010009307	ENSVURG00010007216	Vombatus_ursinus
ENSMPUP00000015025	ENSMPUG00000015134	Mustela_putorius_furo
ENSPPAP00000029999	ENSPPAG00000038012	Pan_paniscus
ENSGALP00000051996	ENSGALG00000035199	Gallus_gallus	ENSGALT00000080698
ENSCJAP00000029567	ENSCJAG00000016066	Callithrix_jacchus
ENSPTIP00000018438	ENSPTIG00000016572	Panthera_tigris_altaica
ENSGGOP00000024334	ENSGGOG00000023400	Gorilla_gorilla
ENSCGRP00000004120	ENSCGRG00000003030	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000003820	ENSMOCG00000003072	Microtus_ochrogaster
ENSSBOP00000009328	ENSSBOG00000021534	Saimiri_boliviensis_boliviensis
ENSUPAP00010015573	ENSUPAG00010012459	Urocitellus_parryii
ENSTSYP00000011668	ENSTSYG00000012718	Carlito_syrichta
ENSPCIP00000040946	ENSPCIG00000029967	Phascolarctos_cinereus
ENSNMEP00000004268	ENSNMEG00000004699	Numida_meleagris	ENSNMET00000007612
ENSANAP00000023841	ENSANAG00000029676	Aotus_nancymaae
ENSSPUP00000011752	ENSSPUG00000009019	Sphenodon_punctatus
ENSMUSP00000080632	ENSMUSG00000061923	Mus_musculus_strain_reference_(CL57BL6)
ENSMFAP00000009776	ENSMFAG00000033541	Macaca_fascicularis
ENSPCAP00000005847	ENSPCAG00000006309	Procavia_capensis
ENSCPRP00005007228	ENSCPRG00005005123	Crocodylus_porosus
ENSUAMP00000015608	ENSUAMG00000012487	Ursus_americanus
ENSPVIP00000008740	ENSPVIG00000007026	Pogona_vitticeps
ENSCPOP00000011465	ENSCPOG00000012742	Cavia_porcellus
ENSPPRP00000006199	ENSPPRG00000001703	Panthera_pardus
ENSTGEP00000004836	ENSTGEG00000004049	Theropithecus_gelada
ENSRROP00000036224	ENSRROG00000041584	Rhinopithecus_roxellana
ENSSMRP00000027418	ENSSMRG00000021144	Salvator_merianae
ENSPVAP00000012514	ENSPVAG00000013270	Pteropus_vampyrus
ENSCSAP00000008132	ENSCSAG00000011938	Chlorocebus_sabaeus
ENSPSMP00000019481	ENSPSMG00000013746	Prolemur_simus
ENSCATP00000036004	ENSCATG00000040837	Cercocebus_atys
ENSCAFP00000043130	ENSCAFG00000030644	Canis_lupus_familiaris
ENSPEMP00000027574	ENSPEMG00000023346	Peromyscus_maniculatus_bairdii
ENSCGRP00015036415	ENSCGRG00015027300	Cricetulus_griseus_CriGri-PICR
ENSGAGP00000023152	ENSGAGG00000016969	Gopherus_agassizii
ENSDORP00000003338	ENSDORG00000003568	Dipodomys_ordii
ENSMGAP00000012965	ENSMGAG00000012316	Meleagris_gallopavo	ENSMGAT00000013866
ENSPPYP00000021087	ENSPPYG00000018799	Pongo_abelii
MGP_PahariEiJ_P0041491	MGP_PahariEiJ_G0019758	Mus_pahari_strain_PAHARI_EIJ
ENSCHIP00000029685	ENSCHIG00000024723	Capra_hircus
ENSCINP00000036172	ENSCING00000020187	Ciona_intestinalis
ENSETEP00000003463	ENSETEG00000004222	Echinops_telfairi
MGP_CAROLIEiJ_P0038111	MGP_CAROLIEiJ_G0019749	Mus_caroli_strain_CAROLI_EIJ
ENSSSCP00000006466	ENSSSCG00000006056	Sus_scrofa_strain_reference
ENSBTAP00000004476	ENSBTAG00000003445	Bos_taurus
ENSMMUP00000002808	ENSMMUG00000002108	Macaca_mulatta
ENSCANP00000025402	ENSCANG00000036118	Colobus_angolensis_palliatus
ENSHGLP00100005703	ENSHGLG00100004322	Heterocephalus_glaber_HetGla_1.0
ENSBMUP00000035031	ENSBMUG00000026076	Bos_mutus
ENSBIXP00000014786	ENSBIXG00000000562	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSP00000285402	ENSG00000155087	Homo_sapiens
ENSOPRP00000012171	ENSOPRG00000013350	Ochotona_princeps
ENSPANP00000015211	ENSPANG00000005633	Papio_anubis
ENSHGLP00000006161	ENSHGLG00000004499	Heterocephalus_glaber_HetGla_female_1.0
ENSARWP00000026521	ENSARWG00000017948	Apteryx_rowi	ENSARWT00000029998
ENSNGAP00000000701	ENSNGAG00000000538	Nannospalax_galili
ENSODEP00000001303	ENSODEG00000001029	Octodon_degus
ENSOARP00000018425	ENSOARG00000017172	Ovis_aries
ENSSTOP00000015427	ENSSTOG00000029127	Ictidomys_tridecemlineatus
ENSTTRP00000000356	ENSTTRG00000000382	Tursiops_truncatus
ENSCGRP00001014742	ENSCGRG00001015547	Cricetulus_griseus_CHOK1GS_HDv1
ENSUMAP00000027201	ENSUMAG00000019739	Ursus_maritimus
ENSAMEP00000015573	ENSAMEG00000014784	Ailuropoda_melanoleuca
ENSEEUP00000005964	ENSEEUG00000006549	Erinaceus_europaeus
ENSOGAP00000013012	ENSOGAG00000014525	Otolemur_garnettii
ENSFCAP00000044351	ENSFCAG00000042534	Felis_catus
ENSCAPP00000015633	ENSCAPG00000015720	Cavia_aperea
ENSCGRP00015036422	ENSCGRG00015027309	Cricetulus_griseus_CriGri-PICR
ENSCGRP00015036420	ENSCGRG00015027305	Cricetulus_griseus_CriGri-PICR
ENSCABP00000016821	ENSCABG00000012476	Chelonoidis_abingdonii
ENSRNOP00000008700	ENSRNOG00000006578	Rattus_norvegicus
ENSMEUP00000012259	ENSMEUG00000013443	Notamacropus_eugenii
MGP_SPRETEiJ_P0039892	MGP_SPRETEiJ_G0020646	Mus_spretus_strain_SPRET/EiJ
ENSNLEP00000004387	ENSNLEG00000003644	Nomascus_leucogenys
ENSMSIP00000035588	ENSMSIG00000029624	Mus_spicilegus
ENSFDAP00000016027	ENSFDAG00000004268	Fukomys_damarensis
ENSMODP00000007300	ENSMODG00000005901	Monodelphis_domestica
ENSSHAP00000021395	ENSSHAG00000018131	Sarcophilus_harrisii
ENSCAFP00020003467	ENSCAFG00020002923	Canis_lupus_dingo
ENSJJAP00000002595	ENSJJAG00000004566	Jaculus_jaculus
ENSCCNP00000027792	ENSCCNG00000026836	Castor_canadensis
ENSNSUP00000016841	ENSNSUG00000012423	Notechis_scutatus
ENSLAFP00000025501	ENSLAFG00000006099	Loxodonta_africana
ENSMMMP00000018502	ENSMMMG00000016389	Marmota_marmota_marmota
ENSNVIP00000001414	ENSNVIG00000001125	Neovison_vison
ENSMICP00000005281	ENSMICG00000005796	Microcebus_murinus
ENSMAUP00000007809	ENSMAUG00000009381	Mesocricetus_auratus
ENSCLAP00000013958	ENSCLAG00000009658	Chinchilla_lanigera
ENSMNEP00000035638	ENSMNEG00000040981	Macaca_nemestrina
ENSDNVP00000007480	ENSDNVG00000005330	Dromaius_novaehollandiae	ENSDNVT00000009045
ENSECAP00000035047	ENSECAG00000028435	Equus_caballus
ENSBBBP00000004692	ENSBBBG00000009052	Bison_bison_bison
ENSMUGP00000002380	ENSMUGG00000002223	Meriones_unguiculatus
ENSCCAP00000035813	ENSCCAG00000035817	Cebus_capucinus_imitator
ENSEASP00005001759	ENSEASG00005001414	Equus_asinus_asinus
ENSAPLP00000001092	ENSAPLG00000001670	Anas_platyrhynchos_platyrhynchos
ENSPTEP00000006424	ENSPTEG00000007358	Piliocolobus_tephrosceles
ENSPTRP00000035028	ENSPTRG00000020483	Pan_troglodytes
ENSPCOP00000024872	ENSPCOG00000024654	Propithecus_coquereli
ENSSARP00000007688	ENSSARG00000008495	Sorex_araneus
ENSACAP00000008965	ENSACAG00000009176	Anolis_carolinensis
ENSOCUP00000014796	ENSOCUG00000017222	Oryctolagus_cuniculus
