ENSPCAP00000011230	ENSPCAG00000012090	Procavia_capensis
ENSETEP00000005536	ENSETEG00000006819	Echinops_telfairi
ENSLAFP00000007978	ENSLAFG00000009516	Loxodonta_africana
ENSPCOP00000021988	ENSPCOG00000023064	Propithecus_coquereli
ENSMICP00000035117	ENSMICG00000027984	Microcebus_murinus
ENSPSMP00000022568	ENSPSMG00000015959	Prolemur_simus
ENSOGAP00000018642	ENSOGAG00000029025	Otolemur_garnettii
ENSPTRP00000015965	ENSPTRG00000009400	Pan_troglodytes
ENSPPAP00000039550	ENSPPAG00000042480	Pan_paniscus
ENSGGOP00000006377	ENSGGOG00000006518	Gorilla_gorilla
ENSP00000258969	ENSG00000136457	Homo_sapiens
ENSPPYP00000009307	ENSPPYG00000008283	Pongo_abelii
ENSNLEP00000037700	ENSNLEG00000011249	Nomascus_leucogenys
ENSPTEP00000037741	ENSPTEG00000035241	Piliocolobus_tephrosceles
ENSCANP00000001629	ENSCANG00000006141	Colobus_angolensis_palliatus
ENSRBIP00000041936	ENSRBIG00000044280	Rhinopithecus_bieti
ENSRROP00000029243	ENSRROG00000038428	Rhinopithecus_roxellana
ENSMFAP00000017493	ENSMFAG00000031869	Macaca_fascicularis
ENSMMUP00000073618	ENSMMUG00000053287	Macaca_mulatta
ENSMNEP00000038354	ENSMNEG00000042174	Macaca_nemestrina
ENSMLEP00000020809	ENSMLEG00000034621	Mandrillus_leucophaeus
ENSCATP00000029876	ENSCATG00000038156	Cercocebus_atys
ENSTGEP00000036332	ENSTGEG00000028918	Theropithecus_gelada
ENSPANP00000020262	ENSPANG00000022472	Papio_anubis
ENSCSAP00000001724	ENSCSAG00000005414	Chlorocebus_sabaeus
ENSCCAP00000040508	ENSCCAG00000038046	Cebus_capucinus_imitator
ENSSBOP00000022339	ENSSBOG00000027701	Saimiri_boliviensis_boliviensis
ENSCJAP00000034959	ENSCJAG00000018813	Callithrix_jacchus
ENSANAP00000032793	ENSANAG00000034092	Aotus_nancymaae
ENSTSYP00000025458	ENSTSYG00000029015	Carlito_syrichta
ENSCGRP00015032151	ENSCGRG00015024270	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017196	ENSCGRG00001017300	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000003182	ENSCGRG00000002335	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000022947	ENSMAUG00000020237	Mesocricetus_auratus
ENSMOCP00000004299	ENSMOCG00000003529	Microtus_ochrogaster
ENSPEMP00000035163	ENSPEMG00000025139	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0030711	MGP_SPRETEiJ_G0017832	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000017014	ENSMSIG00000014562	Mus_spicilegus
ENSMUSP00000047844	ENSMUSG00000039084	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0029294	MGP_CAROLIEiJ_G0016986	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0036006	MGP_PahariEiJ_G0018117	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000004435	ENSRNOG00000003304	Rattus_norvegicus
ENSMUGP00000000892	ENSMUGG00000000847	Meriones_unguiculatus
ENSNGAP00000020796	ENSNGAG00000020178	Nannospalax_galili
ENSJJAP00000002404	ENSJJAG00000004104	Jaculus_jaculus
ENSCPOP00000032582	ENSCPOG00000032331	Cavia_porcellus
ENSCAPP00000010042	ENSCAPG00000011382	Cavia_aperea
ENSCLAP00000017376	ENSCLAG00000011933	Chinchilla_lanigera
ENSODEP00000023058	ENSODEG00000016909	Octodon_degus
ENSHGLP00100018214	ENSHGLG00100013427	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017361	ENSHGLG00000012429	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000006677	ENSFDAG00000015380	Fukomys_damarensis
ENSSTOP00000010522	ENSSTOG00000011729	Ictidomys_tridecemlineatus
ENSUPAP00010006912	ENSUPAG00010005568	Urocitellus_parryii
ENSMMMP00000025599	ENSMMMG00000022440	Marmota_marmota_marmota
ENSSDAP00000021559	ENSSDAG00000019598	Spermophilus_dauricus
ENSOPRP00000012126	ENSOPRG00000013295	Ochotona_princeps
ENSSSCP00000038752	ENSSSCG00000017569	Sus_scrofa_strain_reference
ENSTTRP00000000196	ENSTTRG00000000211	Tursiops_truncatus
ENSCHIP00000011763	ENSCHIG00000013807	Capra_hircus
ENSOARP00000004700	ENSOARG00000004395	Ovis_aries
ENSBIXP00000006082	ENSBIXG00000012219	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005002760	ENSBIXG00005009042	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000029566	ENSBMUG00000022113	Bos_mutus
