ENSPMJP00000015686	ENSPMJG00000011897	Parus_major
ENSGWIP00000031832	ENSGWIG00000016420	Gouania_willdenowi
ENSPANP00000000871	ENSPANG00000017050	Papio_anubis
ENSGAGP00000031075	ENSGAGG00000022322	Gopherus_agassizii
ENSCLAP00000004296	ENSCLAG00000003056	Chinchilla_lanigera
ENSCGRP00015011630	ENSCGRG00015008941	Cricetulus_griseus_CriGri-PICR
ENSCAFP00000016677	ENSCAFG00000011332	Canis_lupus_familiaris
ENSMEUP00000007776	ENSMEUG00000008514	Notamacropus_eugenii
ENSPSIP00000014867	ENSPSIG00000013262	Pelodiscus_sinensis
ENSMOCP00000018189	ENSMOCG00000016564	Microtus_ochrogaster
ENSONIP00000000546	ENSONIG00000000430	Oreochromis_niloticus
ENSARWP00000020823	ENSARWG00000014229	Apteryx_rowi	ENSARWT00000023619
ENSRBIP00000024972	ENSRBIG00000036388	Rhinopithecus_bieti
ENSLCRP00005019112	ENSLCRG00005007840	Larimichthys_crocea
ENSCCEP00000016625	ENSCCEG00000015480	Cyanistes_caeruleus
ENSHBUP00000032481	ENSHBUG00000018802	Haplochromis_burtoni
ENSSLDP00000016441	ENSSLDG00000013043	Seriola_lalandi_dorsalis
ENSUPAP00010012237	ENSUPAG00010009928	Urocitellus_parryii
ENSCGRP00000013449	ENSCGRG00000009762	Cricetulus_griseus_CriGri_1.0
ENSMFAP00000019615	ENSMFAG00000032804	Macaca_fascicularis
ENSORLP00015005692	ENSORLG00015006475	Oryzias_latipes_ASM223469v1
ENSAPOP00000003214	ENSAPOG00000004670	Acanthochromis_polyacanthus
ENSIPUP00000035928	ENSIPUG00000024082	Ictalurus_punctatus
ENSCANP00000030754	ENSCANG00000039046	Colobus_angolensis_palliatus
ENSPTEP00000002706	ENSPTEG00000003198	Piliocolobus_tephrosceles
MGP_PahariEiJ_P0077024	MGP_PahariEiJ_G0028249	Mus_pahari_strain_PAHARI_EIJ
ENSCPGP00000026777	ENSCPGG00000018460	Calidris_pygmaea
ENSPPYP00000000208	ENSPPYG00000000204	Pongo_abelii
ENSBMUP00000007296	ENSBMUG00000005731	Bos_mutus
ENSCHIP00000024034	ENSCHIG00000021377	Capra_hircus
ENSCMIP00000026067	ENSCMIG00000011447	Callorhinchus_milii
ENSGALP00000015369	ENSGALG00000009453	Gallus_gallus
ENSCPRP00005003599	ENSCPRG00005002635	Crocodylus_porosus
ENSNLEP00000016755	ENSNLEG00000013794	Nomascus_leucogenys
ENSFHEP00000027549	ENSFHEG00000011100	Fundulus_heteroclitus
ENSMNEP00000029433	ENSMNEG00000038189	Macaca_nemestrina
ENSLCAP00010025415	ENSLCAG00010011892	Lates_calcarifer
ENSMICP00000040843	ENSMICG00000044174	Microcebus_murinus
ENSCATP00000035111	ENSCATG00000040446	Cercocebus_atys
ENSBBBP00000010711	ENSBBBG00000018789	Bison_bison_bison
ENSPKIP00000038587	ENSPKIG00000016301	Paramormyrops_kingsleyae
ENSLOCP00000020242	ENSLOCG00000016389	Lepisosteus_oculatus
ENSAHAP00000025246	ENSAHAG00000017606	Apteryx_haastii
ENSTGUP00000002797	ENSTGUG00000002713	Taeniopygia_guttata
ENSMALP00000001103	ENSMALG00000000865	Monopterus_albus
ENSECRP00000022476	ENSECRG00000015207	Erpetoichthys_calabaricus
ENSSCAP00000007017	ENSSCAG00000005433	Serinus_canaria
