ENSPCIP00000051329	ENSPCIG00000011709	Phascolarctos_cinereus	ENSPCIT00000068491
ENSVURP00010017361	ENSVURG00010013256	Vombatus_ursinus	ENSVURT00010019717
ENSSHAP00000004191	ENSSHAG00000003694	Sarcophilus_harrisii	ENSSHAT00000004233
ENSMODP00000009197	ENSMODG00000007411	Monodelphis_domestica	ENSMODT00000009378
ENSCCNP00000019180	ENSCCNG00000019318	Castor_canadensis
ENSDORP00000021642	ENSDORG00000025133	Dipodomys_ordii
ENSMUSP00000068590	ENSMUSG00000046605	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0033226	MGP_SPRETEiJ_G0018412	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000012942	ENSMSIG00000011194	Mus_spicilegus
MGP_CAROLIEiJ_P0031763	MGP_CAROLIEiJ_G0017568	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0038484	MGP_PahariEiJ_G0018695	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064695	ENSRNOG00000049724	Rattus_norvegicus
ENSMUGP00000027679	ENSMUGG00000022990	Meriones_unguiculatus
ENSPEMP00000008967	ENSPEMG00000010403	Peromyscus_maniculatus_bairdii
ENSMOCP00000026317	ENSMOCG00000022167	Microtus_ochrogaster
ENSCGRP00000015732	ENSCGRG00000011405	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001028192	ENSCGRG00001024981	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015031512	ENSCGRG00015023771	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000017393	ENSMAUG00000016264	Mesocricetus_auratus
ENSNGAP00000022372	ENSNGAG00000021264	Nannospalax_galili
ENSJJAP00000007088	ENSJJAG00000011538	Jaculus_jaculus
ENSUPAP00010004438	ENSUPAG00010003621	Urocitellus_parryii
ENSSDAP00000002707	ENSSDAG00000002593	Spermophilus_dauricus
ENSSTOP00000017763	ENSSTOG00000029060	Ictidomys_tridecemlineatus
ENSMMMP00000003202	ENSMMMG00000002920	Marmota_marmota_marmota
ENSCLAP00000009971	ENSCLAG00000006906	Chinchilla_lanigera
ENSODEP00000016194	ENSODEG00000011917	Octodon_degus
ENSCPOP00000010109	ENSCPOG00000011243	Cavia_porcellus
ENSHGLP00000018183	ENSHGLG00000012995	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022448	ENSHGLG00100016511	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000004538	ENSFDAG00000013746	Fukomys_damarensis
ENSOCUP00000049746	ENSOCUG00000017245	Oryctolagus_cuniculus
ENSPTRP00000016702	ENSPTRG00000009813	Pan_troglodytes	ENSPTRT00000018027
ENSGGOP00000052083	ENSGGOG00000043843	Gorilla_gorilla	ENSGGOT00000044715
ENSPPAP00000025762	ENSPPAG00000036007	Pan_paniscus	ENSPPAT00000048592
ENSP00000319979	ENSG00000175711	Homo_sapiens
ENSPPYP00000009867	ENSPPYG00000008791	Pongo_abelii
ENSNLEP00000013083	ENSNLEG00000010736	Nomascus_leucogenys
ENSPTEP00000028986	ENSPTEG00000028482	Piliocolobus_tephrosceles
ENSRBIP00000000708	ENSRBIG00000003807	Rhinopithecus_bieti
ENSTGEP00000015970	ENSTGEG00000012902	Theropithecus_gelada
ENSPANP00000016431	ENSPANG00000018709	Papio_anubis
ENSCATP00000007896	ENSCATG00000023318	Cercocebus_atys
ENSMFAP00000018469	ENSMFAG00000032303	Macaca_fascicularis
ENSMNEP00000036047	ENSMNEG00000041138	Macaca_nemestrina
ENSCSAP00000015954	ENSCSAG00000002081	Chlorocebus_sabaeus
ENSSBOP00000037692	ENSSBOG00000034942	Saimiri_boliviensis_boliviensis
ENSCCAP00000024912	ENSCCAG00000030253	Cebus_capucinus_imitator
ENSCJAP00000075305	ENSCJAG00000017835	Callithrix_jacchus
ENSTSYP00000005705	ENSTSYG00000006234	Carlito_syrichta
ENSPCOP00000028570	ENSPCOG00000026938	Propithecus_coquereli
ENSMICP00000049796	ENSMICG00000004774	Microcebus_murinus
ENSOGAP00000007592	ENSOGAG00000008474	Otolemur_garnettii
ENSUMAP00000024508	ENSUMAG00000017814	Ursus_maritimus
ENSAMEP00000001442	ENSAMEG00000001376	Ailuropoda_melanoleuca
ENSVVUP00000009407	ENSVVUG00000006962	Vulpes_vulpes
ENSCAFP00020017119	ENSCAFG00020013701	Canis_lupus_dingo
ENSPTIP00000016547	ENSPTIG00000015284	Panthera_tigris_altaica
ENSPPRP00000021552	ENSPPRG00000012346	Panthera_pardus
ENSFCAP00000034898	ENSFCAG00000028428	Felis_catus
ENSTTRP00000011077	ENSTTRG00000011682	Tursiops_truncatus
ENSSSCP00000022975	ENSSSCG00000027229	Sus_scrofa_strain_reference
ENSVPAP00000000283	ENSVPAG00000000306	Vicugna_pacos
ENSOARP00000017062	ENSOARG00000015890	Ovis_aries
ENSCHIP00000004648	ENSCHIG00000008807	Capra_hircus
ENSBIXP00000009238	ENSBIXG00000014947	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005013244	ENSBIXG00005017429	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000012253	ENSBMUG00000009380	Bos_mutus
ENSBTAP00000072610	ENSBTAG00000052072	Bos_taurus
ENSBBBP00000021037	ENSBBBG00000014796	Bison_bison_bison
ENSECAP00000005799	ENSECAG00000007738	Equus_caballus
ENSEASP00005012304	ENSEASG00005008582	Equus_asinus_asinus
ENSPVAP00000010591	ENSPVAG00000011234	Pteropus_vampyrus
ENSEEUP00000013117	ENSEEUG00000014377	Erinaceus_europaeus
ENSOANP00000005227	ENSOANG00000003298	Ornithorhynchus_anatinus
ENSDNVP00000008334	ENSDNVG00000005929	Dromaius_novaehollandiae
ENSNPEP00000019148	ENSNPEG00000014253	Nothoprocta_perdicaria
ENSARWP00000014744	ENSARWG00000010198	Apteryx_rowi
ENSAHAP00000015630	ENSAHAG00000011174	Apteryx_haastii
ENSCPGP00000014778	ENSCPGG00000010408	Calidris_pygmaea
ENSMUNP00000013279	ENSMUNG00000010369	Melopsittacus_undulatus
ENSCJPP00005026471	ENSCJPG00005020582	Coturnix_japonica
ENSGALP00000002180	ENSGALG00000001433	Gallus_gallus
ENSMGAP00000017380	ENSMGAG00000003516	Meleagris_gallopavo
ENSNMEP00000017640	ENSNMEG00000015411	Numida_meleagris
ENSABRP00000004750	ENSABRG00000004350	Anser_brachyrhynchus
ENSAPLP00000010450	ENSAPLG00000010702	Anas_platyrhynchos_platyrhynchos
ENSTGUP00000007797	ENSTGUG00000007571	Taeniopygia_guttata
ENSPMJP00000010759	ENSPMJG00000008431	Parus_major
ENSJHYP00000015479	ENSJHYG00000011892	Junco_hyemalis
ENSZALP00000009033	ENSZALG00000007799	Zonotrichia_albicollis
ENSMVIP00005027238	ENSMVIG00005019000	Manacus_vitellinus
ENSCPRP00005010564	ENSCPRG00005007529	Crocodylus_porosus
ENSCPBP00000040648	ENSCPBG00000027912	Chrysemys_picta_bellii
ENSPSIP00000017800	ENSPSIG00000015831	Pelodiscus_sinensis
ENSACAP00000017268	ENSACAG00000017538	Anolis_carolinensis
ENSACAP00000022007	ENSACAG00000029310	Anolis_carolinensis
ENSPVIP00000034797	ENSPVIG00000025385	Pogona_vitticeps
ENSNSUP00000023050	ENSNSUG00000016701	Notechis_scutatus
ENSSMRP00000029308	ENSSMRG00000022538	Salvator_merianae
ENSSPUP00000007768	ENSSPUG00000006011	Sphenodon_punctatus
ENSXETP00000027481	ENSXETG00000009007	Xenopus_tropicalis
ENSLACP00000004344	ENSLACG00000003862	Latimeria_chalumnae
ENSAMXP00005026148	ENSAMXG00005013217	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000029022	ENSAMXG00000043555	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000011485	ENSPNAG00000017161	Pygocentrus_nattereri
ENSEEEP00000043398	ENSEEEG00000020506	Electrophorus_electricus
ENSIPUP00000014820	ENSIPUG00000010076	Ictalurus_punctatus
ENSDARP00000063749	ENSDARG00000043431	Danio_rerio
ENSDCDP00000034218	ENSDCDG00000023064	Denticeps_clupeoides
ENSCVAP00000014497	ENSCVAG00000017188	Cyprinodon_variegatus
ENSFHEP00000028331	ENSFHEG00000012412	Fundulus_heteroclitus
ENSPFOP00000018887	ENSPFOG00000018750	Poecilia_formosa
ENSPMEP00000009155	ENSPMEG00000010970	Poecilia_mexicana
ENSPLAP00000007851	ENSPLAG00000010407	Poecilia_latipinna
ENSPREP00000000474	ENSPREG00000000357	Poecilia_reticulata
ENSXMAP00000012637	ENSXMAG00000012607	Xiphophorus_maculatus
ENSXCOP00000019296	ENSXCOG00000014513	Xiphophorus_couchianus
ENSGAFP00000027057	ENSGAFG00000018279	Gambusia_affinis
ENSKMAP00000002047	ENSKMAG00000001548	Kryptolebias_marmoratus
ENSOMEP00000012637	ENSOMEG00000014061	Oryzias_melastigma
ENSORLP00000014216	ENSORLG00000011348	Oryzias_latipes_ASM223467v1
ENSGWIP00000000454	ENSGWIG00000000310	Gouania_willdenowi
ENSMAMP00000018503	ENSMAMG00000012467	Mastacembelus_armatus
ENSMALP00000001731	ENSMALG00000001272	Monopterus_albus
ENSATEP00000025082	ENSATEG00000017379	Anabas_testudineus
ENSATEP00000025445	ENSATEG00000017645	Anabas_testudineus
ENSAOCP00000024322	ENSAOCG00000011058	Amphiprion_ocellaris
ENSAPEP00000017217	ENSAPEG00000012306	Amphiprion_percula
ENSAPOP00000024777	ENSAPOG00000007467	Acanthochromis_polyacanthus
ENSSPAP00000004907	ENSSPAG00000003810	Stegastes_partitus
ENSPRNP00000023652	ENSPRNG00000012048	Parambassis_ranga
ENSACLP00000032274	ENSACLG00000021899	Astatotilapia_calliptera
ENSMZEP00005008663	ENSMZEG00005006596	Maylandia_zebra
ENSHBUP00000019871	ENSHBUG00000022096	Haplochromis_burtoni
ENSPNYP00000006599	ENSPNYG00000005067	Pundamilia_nyererei
ENSNBRP00000031766	ENSNBRG00000024141	Neolamprologus_brichardi
ENSONIP00000020746	ENSONIG00000016471	Oreochromis_niloticus
ENSACIP00000023955	ENSACIG00000018540	Amphilophus_citrinellus
ENSSDUP00000004539	ENSSDUG00000003360	Seriola_dumerili
ENSSLDP00000021338	ENSSLDG00000016671	Seriola_lalandi_dorsalis
ENSCSEP00000018041	ENSCSEG00000011565	Cynoglossus_semilaevis
ENSHCOP00000016927	ENSHCOG00000020746	Hippocampus_comes
ENSLCRP00005000757	ENSLCRG00005000429	Larimichthys_crocea
ENSMMOP00000028361	ENSMMOG00000021424	Mola_mola
ENSLBEP00000000931	ENSLBEG00000000713	Labrus_bergylta
ENSCGOP00000000259	ENSCGOG00000000252	Cottoperca_gobio
ENSGACP00000024983	ENSGACG00000018895	Gasterosteus_aculeatus
ENSTRUP00000013613	ENSTRUG00000025854	Takifugu_rubripes
ENSPMGP00000016210	ENSPMGG00000013310	Periophthalmus_magnuspinnatus
ENSGMOP00000014179	ENSGMOG00000013255	Gadus_morhua
ENSELUP00000015774	ENSELUG00000015697	Esox_lucius
ENSSFOP00015035455	ENSSFOG00015022591	Scleropages_formosus
ENSPKIP00000021357	ENSPKIG00000005795	Paramormyrops_kingsleyae
ENSLOCP00000017227	ENSLOCG00000013977	Lepisosteus_oculatus
ENSECRP00000034049	ENSECRG00000023004	Erpetoichthys_calabaricus
ENSCMIP00000042300	ENSCMIG00000017586	Callorhinchus_milii
ENSPMAP00000006216	ENSPMAG00000005640	Petromyzon_marinus
ENSCSAVP00000012622	ENSCSAVG00000007405	Ciona_savignyi
ENSCINP00000016513	ENSCING00000008075	Ciona_intestinalis
ENSHHUP00000014239	ENSHHUG00000008806	Hucho_hucho
ENSHHUP00000030978	ENSHHUG00000019715	Hucho_hucho
F13G3.6.1	WBGene00008766	Caenorhabditis_elegans_strain_N2
