ENSUAMP00000025016	ENSUAMG00000019491	Ursus_americanus	ENSUAMT00000027926
ENSUMAP00000004987	ENSUMAG00000003985	Ursus_maritimus	ENSUMAT00000006035
ENSAMEP00000007757	ENSAMEG00000007371	Ailuropoda_melanoleuca	ENSAMET00000008082
ENSVVUP00000002757	ENSVVUG00000002183	Vulpes_vulpes
ENSCAFP00000037464	ENSCAFG00000002392	Canis_lupus_familiaris
ENSNVIP00000017250	ENSNVIG00000013512	Neovison_vison
ENSMPUP00000008322	ENSMPUG00000008385	Mustela_putorius_furo
ENSFCAP00000054456	ENSFCAG00000026497	Felis_catus
ENSPPRP00000009062	ENSPPRG00000003641	Panthera_pardus
ENSSARP00000004078	ENSSARG00000004472	Sorex_araneus
ENSTTRP00000012403	ENSTTRG00000013072	Tursiops_truncatus
ENSMICP00000045688	ENSMICG00000017853	Microcebus_murinus
ENSPCOP00000015680	ENSPCOG00000019587	Propithecus_coquereli
ENSOGAP00000005034	ENSOGAG00000005630	Otolemur_garnettii
ENSPTRP00000019921	ENSPTRG00000011581	Pan_troglodytes
ENSPPAP00000016717	ENSPPAG00000031461	Pan_paniscus
ENSP00000470123	ENSG00000121413	Homo_sapiens
ENSGGOP00000012635	ENSGGOG00000012952	Gorilla_gorilla
ENSPPYP00000011758	ENSPPYG00000010491	Pongo_abelii
ENSNLEP00000048510	ENSNLEG00000034225	Nomascus_leucogenys
ENSCANP00000005413	ENSCANG00000018496	Colobus_angolensis_palliatus
ENSPTEP00000003944	ENSPTEG00000004681	Piliocolobus_tephrosceles
ENSRROP00000010233	ENSRROG00000029525	Rhinopithecus_roxellana
ENSRBIP00000039410	ENSRBIG00000043152	Rhinopithecus_bieti
ENSPANP00000001778	ENSPANG00000012093	Papio_anubis
ENSCATP00000032598	ENSCATG00000039343	Cercocebus_atys
ENSTGEP00000019551	ENSTGEG00000015747	Theropithecus_gelada
ENSMMUP00000070888	ENSMMUG00000020503	Macaca_mulatta
ENSMFAP00000028449	ENSMFAG00000045581	Macaca_fascicularis
ENSMNEP00000020542	ENSMNEG00000034084	Macaca_nemestrina
ENSMLEP00000008073	ENSMLEG00000028185	Mandrillus_leucophaeus
ENSCSAP00000016418	ENSCSAG00000001608	Chlorocebus_sabaeus
ENSCSAP00000016419	ENSCSAG00000001606	Chlorocebus_sabaeus
ENSCCAP00000018205	ENSCCAG00000026921	Cebus_capucinus_imitator
ENSSBOP00000003911	ENSSBOG00000017985	Saimiri_boliviensis_boliviensis
ENSCJAP00000000587	ENSCJAG00000000348	Callithrix_jacchus
ENSANAP00000031556	ENSANAG00000033507	Aotus_nancymaae
ENSTSYP00000030253	ENSTSYG00000026905	Carlito_syrichta
ENSTBEP00000012771	ENSTBEG00000014730	Tupaia_belangeri
ENSMUSP00000148239	ENSMUSG00000070822	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000017965	ENSMSIG00000015310	Mus_spicilegus
MGP_SPRETEiJ_P0080694	MGP_SPRETEiJ_G0030263	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0077394	MGP_CAROLIEiJ_G0029187	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045751	MGP_PahariEiJ_G0021049	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000036503	ENSRNOG00000026861	Rattus_norvegicus
ENSMUGP00000002951	ENSMUGG00000002785	Meriones_unguiculatus
ENSMUGP00000003259	ENSMUGG00000003053	Meriones_unguiculatus
ENSCGRP00001011052	ENSCGRG00001012789	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000009147	ENSCGRG00000006696	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015019202	ENSCGRG00015014733	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000007538	ENSMAUG00000009174	Mesocricetus_auratus
ENSPEMP00000015905	ENSPEMG00000015293	Peromyscus_maniculatus_bairdii
ENSNGAP00000020228	ENSNGAG00000019779	Nannospalax_galili
ENSCCNP00000024091	ENSCCNG00000023626	Castor_canadensis
ENSFDAP00000010518	ENSFDAG00000018257	Fukomys_damarensis
ENSUPAP00010007909	ENSUPAG00010006377	Urocitellus_parryii
ENSSTOP00000023779	ENSSTOG00000027115	Ictidomys_tridecemlineatus
ENSMMMP00000028375	ENSMMMG00000024716	Marmota_marmota_marmota
ENSSDAP00000012968	ENSSDAG00000011676	Spermophilus_dauricus
ENSOCUP00000003089	ENSOCUG00000003567	Oryctolagus_cuniculus
ENSOPRP00000006741	ENSOPRG00000007353	Ochotona_princeps
ENSPCAP00000000548	ENSPCAG00000000569	Procavia_capensis
ENSLAFP00000007807	ENSLAFG00000009314	Loxodonta_africana
ENSETEP00000008988	ENSETEG00000011082	Echinops_telfairi
