ENSXETP00000038852	ENSXETG00000000163	Xenopus_tropicalis
ENSOANP00000028675	ENSOANG00000022463	Ornithorhynchus_anatinus
ENSLACP00000014574	ENSLACG00000012828	Latimeria_chalumnae
ENSSFOP00015034522	ENSSFOG00015021986	Scleropages_formosus
ENSPKIP00000019905	ENSPKIG00000004765	Paramormyrops_kingsleyae
ENSCHAP00000033225	ENSCHAG00000015581	Clupea_harengus	ENSCHAT00000036016
ENSDCDP00000033777	ENSDCDG00000018854	Denticeps_clupeoides	ENSDCDT00000043354
ENSAMXP00000000700	ENSAMXG00000000658	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000000700
ENSAMXP00005036244	ENSAMXG00005017021	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000004655	ENSPNAG00000011078	Pygocentrus_nattereri
ENSIPUP00000032747	ENSIPUG00000021969	Ictalurus_punctatus
ENSEEEP00000018404	ENSEEEG00000008545	Electrophorus_electricus
ENSDARP00000117212	ENSDARG00000028982	Danio_rerio
ENSHHUP00000015586	ENSHHUG00000009721	Hucho_hucho
ENSHHUP00000015584	ENSHHUG00000009717	Hucho_hucho
ENSXMAP00000014925	ENSXMAG00000014869	Xiphophorus_maculatus
ENSXCOP00000018807	ENSXCOG00000014159	Xiphophorus_couchianus
ENSGAFP00000016637	ENSGAFG00000011218	Gambusia_affinis
ENSPFOP00000015062	ENSPFOG00000014855	Poecilia_formosa
ENSPLAP00000027744	ENSPLAG00000016583	Poecilia_latipinna
ENSPMEP00000009742	ENSPMEG00000011613	Poecilia_mexicana
ENSPREP00000011142	ENSPREG00000007537	Poecilia_reticulata
ENSCVAP00000025536	ENSCVAG00000010430	Cyprinodon_variegatus
ENSFHEP00000010428	ENSFHEG00000011811	Fundulus_heteroclitus
ENSKMAP00000019694	ENSKMAG00000014632	Kryptolebias_marmoratus
ENSORLP00015011896	ENSORLG00015012738	Oryzias_latipes_ASM223469v1
ENSORLP00000000447	ENSORLG00000000361	Oryzias_latipes_ASM223467v1
ENSORLP00020024381	ENSORLG00020005749	Oryzias_latipes_ASM223471v1
ENSOMEP00000022381	ENSOMEG00000001912	Oryzias_melastigma
ENSPRNP00000012311	ENSPRNG00000003723	Parambassis_ranga
ENSGWIP00000026460	ENSGWIG00000013594	Gouania_willdenowi
ENSACLP00000009877	ENSACLG00000006725	Astatotilapia_calliptera
ENSHBUP00000029518	ENSHBUG00000014027	Haplochromis_burtoni
ENSMZEP00005024747	ENSMZEG00005018487	Maylandia_zebra
ENSPNYP00000010880	ENSPNYG00000008226	Pundamilia_nyererei
ENSNBRP00000025071	ENSNBRG00000019075	Neolamprologus_brichardi
ENSONIP00000016542	ENSONIG00000013151	Oreochromis_niloticus
ENSACIP00000002693	ENSACIG00000002187	Amphilophus_citrinellus
ENSACIP00000020524	ENSACIG00000015913	Amphilophus_citrinellus
ENSMAMP00000013714	ENSMAMG00000009304	Mastacembelus_armatus
ENSMMOP00000010367	ENSMMOG00000007990	Mola_mola
ENSTRUP00000052143	ENSTRUG00000004990	Takifugu_rubripes
ENSMALP00000014174	ENSMALG00000009947	Monopterus_albus
ENSATEP00000006155	ENSATEG00000004273	Anabas_testudineus
ENSAPEP00000004090	ENSAPEG00000002955	Amphiprion_percula
ENSAOCP00000020999	ENSAOCG00000005451	Amphiprion_ocellaris
ENSAPOP00000001159	ENSAPOG00000002389	Acanthochromis_polyacanthus
ENSSPAP00000029517	ENSSPAG00000022191	Stegastes_partitus
ENSLCRP00005000959	ENSLCRG00005000375	Larimichthys_crocea
ENSSDUP00000029583	ENSSDUG00000021326	Seriola_dumerili
ENSSLDP00000021246	ENSSLDG00000016568	Seriola_lalandi_dorsalis
ENSLCAP00010005121	ENSLCAG00010002581	Lates_calcarifer
ENSSMAP00000029569	ENSSMAG00000018126	Scophthalmus_maximus
ENSCGOP00000016011	ENSCGOG00000005796	Cottoperca_gobio
ENSGACP00000003056	ENSGACG00000002342	Gasterosteus_aculeatus
ENSLBEP00000018330	ENSLBEG00000014120	Labrus_bergylta
ENSBSLP00000033414	ENSBSLG00000015707	Betta_splendens
ENSCSEP00000026071	ENSCSEG00000016645	Cynoglossus_semilaevis
ENSHCOP00000012940	ENSHCOG00000016098	Hippocampus_comes
ENSPMGP00000000264	ENSPMGG00000000268	Periophthalmus_magnuspinnatus
ENSGMOP00000000171	ENSGMOG00000000164	Gadus_morhua
ENSHHUP00000023364	ENSHHUG00000014652	Hucho_hucho
ENSTNIP00000022838	ENSTNIG00000019603	Tetraodon_nigroviridis
