ENSANAP00000014684	ENSANAG00000025205	Aotus_nancymaae
ENSHHUP00000075217	ENSHHUG00000044063	Hucho_hucho
ENSSARP00000011211	ENSSARG00000012399	Sorex_araneus
ENSHBUP00000023034	ENSHBUG00000003633	Haplochromis_burtoni
ENSLOCP00000005955	ENSLOCG00000004953	Lepisosteus_oculatus
ENSPSIP00000012782	ENSPSIG00000011508	Pelodiscus_sinensis
ENSTSYP00000033661	ENSTSYG00000007381	Carlito_syrichta
ENSAOCP00000029264	ENSAOCG00000019484	Amphiprion_ocellaris
ENSCLAP00000017241	ENSCLAG00000011834	Chinchilla_lanigera
ENSPNAP00000007340	ENSPNAG00000013205	Pygocentrus_nattereri
ENSRBIP00000042607	ENSRBIG00000044558	Rhinopithecus_bieti
ENSBSLP00000043083	ENSBSLG00000020562	Betta_splendens
ENSCSAVP00000017620	ENSCSAVG00000010372	Ciona_savignyi
ENSFALP00000005361	ENSFALG00000005140	Ficedula_albicollis
ENSSCAP00000014662	ENSSCAG00000010775	Serinus_canaria
ENSCGRP00015021161	ENSCGRG00015016125	Cricetulus_griseus_CriGri-PICR
ENSECRP00000011278	ENSECRG00000007487	Erpetoichthys_calabaricus
ENSMGAP00000015408	ENSMGAG00000014551	Meleagris_gallopavo
ENSPKIP00000035188	ENSPKIG00000014213	Paramormyrops_kingsleyae
ENSGALP00000025819	ENSGALG00000016053	Gallus_gallus
ENSBIXP00000043807	ENSBIXG00000005877	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNBRP00000029638	ENSNBRG00000022549	Neolamprologus_brichardi
ENSCHIP00000031930	ENSCHIG00000026093	Capra_hircus
ENSPLAP00000027346	ENSPLAG00000015877	Poecilia_latipinna
ENSDORP00000002320	ENSDORG00000002472	Dipodomys_ordii
ENSVPAP00000009108	ENSVPAG00000009787	Vicugna_pacos
ENSCCAP00000012903	ENSCCAG00000024141	Cebus_capucinus_imitator
ENSPREP00000017344	ENSPREG00000011700	Poecilia_reticulata
ENSMMUP00000023835	ENSMMUG00000018131	Macaca_mulatta
ENSZALP00000005294	ENSZALG00000004931	Zonotrichia_albicollis
ENSDCDP00000042966	ENSDCDG00000027478	Denticeps_clupeoides
ENSCPRP00005022578	ENSCPRG00005015754	Crocodylus_porosus
ENSCPOP00000022097	ENSCPOG00000037211	Cavia_porcellus
ENSPMJP00000012412	ENSPMJG00000009547	Parus_major
ENSMMMP00000003876	ENSMMMG00000003463	Marmota_marmota_marmota
ENSNSUP00000024681	ENSNSUG00000017825	Notechis_scutatus
ENSCANP00000038789	ENSCANG00000043057	Colobus_angolensis_palliatus
ENSLAFP00000000681	ENSLAFG00000000815	Loxodonta_africana
ENSCAFP00000014403	ENSCAFG00000009801	Canis_lupus_familiaris
ENSCATP00000043647	ENSCATG00000044358	Cercocebus_atys
ENSOANP00000010235	ENSOANG00000006412	Ornithorhynchus_anatinus
ENSPMGP00000013622	ENSPMGG00000011188	Periophthalmus_magnuspinnatus
ENSSPUP00000000754	ENSSPUG00000000621	Sphenodon_punctatus
ENSCGOP00000013369	ENSCGOG00000006301	Cottoperca_gobio
MGP_SPRETEiJ_P0044354	MGP_SPRETEiJ_G0021898	Mus_spretus_strain_SPRET/EiJ
ENSP00000340373	ENSG00000157540	Homo_sapiens
