ENSCGRP00001020277	ENSCGRG00001019479	Cricetulus_griseus_CHOK1GS_HDv1
ENSODEP00000004301	ENSODEG00000003275	Octodon_degus
ENSPTEP00000027273	ENSPTEG00000027158	Piliocolobus_tephrosceles
ENSORLP00015028581	ENSORLG00015011286	Oryzias_latipes_ASM223469v1
ENSBIXP00005005791	ENSBIXG00005001095	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSJJAP00000018595	ENSJJAG00000019819	Jaculus_jaculus
ENSGALP00000057052	ENSGALG00000043185	Gallus_gallus
ENSPLAP00000022605	ENSPLAG00000007295	Poecilia_latipinna
ENSAHAP00000006751	ENSAHAG00000005074	Apteryx_haastii
ENSSSCP00000019357	ENSSSCG00000022554	Sus_scrofa_strain_reference
ENSCCNP00000023404	ENSCCNG00000022984	Castor_canadensis
ENSRBIP00000040391	ENSRBIG00000043616	Rhinopithecus_bieti
ENSGACP00000007577	ENSGACG00000005741	Gasterosteus_aculeatus
ENSBIXP00000037106	ENSBIXG00000020618	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOCUP00000007050	ENSOCUG00000008153	Oryctolagus_cuniculus
ENSKMAP00000004437	ENSKMAG00000003359	Kryptolebias_marmoratus
ENSGAGP00000001777	ENSGAGG00000001423	Gopherus_agassizii	ENSGAGT00000002021
ENSUAMP00000023297	ENSUAMG00000018269	Ursus_americanus
MGP_CAROLIEiJ_P0064773	MGP_CAROLIEiJ_G0026552	Mus_caroli_strain_CAROLI_EIJ
ENSDARP00000049044	ENSDARG00000030215	Danio_rerio
ENSEEEP00000038230	ENSEEEG00000018178	Electrophorus_electricus
ENSPNAP00000036027	ENSPNAG00000007138	Pygocentrus_nattereri
ENSMVIP00005027676	ENSMVIG00005019286	Manacus_vitellinus
ENSECAP00000006851	ENSECAG00000008747	Equus_caballus
ENSTBEP00000010662	ENSTBEG00000012321	Tupaia_belangeri
ENSNMEP00000003034	ENSNMEG00000003604	Numida_meleagris
ENSNLEP00000001301	ENSNLEG00000001107	Nomascus_leucogenys
ENSSCAP00000020283	ENSSCAG00000014613	Serinus_canaria
ENSSDUP00000012335	ENSSDUG00000008977	Seriola_dumerili
ENSSLDP00000012078	ENSSLDG00000009602	Seriola_lalandi_dorsalis
ENSOPRP00000001592	ENSOPRG00000001730	Ochotona_princeps
ENSECRP00000026122	ENSECRG00000017618	Erpetoichthys_calabaricus
ENSPPRP00000001406	ENSPPRG00000024148	Panthera_pardus
ENSEEUP00000008662	ENSEEUG00000009503	Erinaceus_europaeus
ENSCHAP00000009001	ENSCHAG00000005329	Clupea_harengus
MGP_PahariEiJ_P0079857	MGP_PahariEiJ_G0028884	Mus_pahari_strain_PAHARI_EIJ
ENSGAFP00000023182	ENSGAFG00000015651	Gambusia_affinis
ENSACIP00000027188	ENSACIG00000021057	Amphilophus_citrinellus
ENSMMUP00000065267	ENSMMUG00000054963	Macaca_mulatta
ENSORLP00020018372	ENSORLG00020019344	Oryzias_latipes_ASM223471v1
