ENSSFOP00015036506	ENSSFOG00015023213	Scleropages_formosus	ENSSFOT00015036899
ENSPKIP00000003582	ENSPKIG00000020946	Paramormyrops_kingsleyae	ENSPKIT00000027543
ENSIPUP00000023427	ENSIPUG00000015861	Ictalurus_punctatus	ENSIPUT00000024431
ENSEEEP00000022286	ENSEEEG00000010792	Electrophorus_electricus	ENSEEET00000022536
ENSDCDP00000037927	ENSDCDG00000025491	Denticeps_clupeoides
ENSCGOP00000022794	ENSCGOG00000010905	Cottoperca_gobio
ENSGACP00000008836	ENSGACG00000006674	Gasterosteus_aculeatus
ENSLBEP00000002051	ENSLBEG00000001623	Labrus_bergylta
ENSLCRP00005041019	ENSLCRG00005015802	Larimichthys_crocea
ENSTRUP00000010232	ENSTRUG00000004319	Takifugu_rubripes
ENSATEP00000001545	ENSATEG00000001117	Anabas_testudineus
ENSBSLP00000054141	ENSBSLG00000025410	Betta_splendens
ENSMAMP00000027381	ENSMAMG00000018417	Mastacembelus_armatus
ENSSDUP00000018857	ENSSDUG00000013772	Seriola_dumerili
ENSSLDP00000031401	ENSSLDG00000024126	Seriola_lalandi_dorsalis
ENSLCAP00010049442	ENSLCAG00010022994	Lates_calcarifer
ENSSMAP00000013108	ENSSMAG00000008065	Scophthalmus_maximus
ENSAOCP00000006295	ENSAOCG00000009907	Amphiprion_ocellaris
ENSAPEP00000018624	ENSAPEG00000013304	Amphiprion_percula
ENSAPOP00000023017	ENSAPOG00000004569	Acanthochromis_polyacanthus
ENSPRNP00000022523	ENSPRNG00000011552	Parambassis_ranga
ENSACLP00000029234	ENSACLG00000019827	Astatotilapia_calliptera
ENSMZEP00005014018	ENSMZEG00005010559	Maylandia_zebra
ENSHBUP00000012137	ENSHBUG00000013821	Haplochromis_burtoni
ENSONIP00000005371	ENSONIG00000004266	Oreochromis_niloticus
ENSKMAP00000000410	ENSKMAG00000000372	Kryptolebias_marmoratus
ENSGMOP00000000434	ENSGMOG00000000433	Gadus_morhua
ENSHHUP00000003124	ENSHHUG00000001978	Hucho_hucho
ENSELUP00000030888	ENSELUG00000008257	Esox_lucius
ENSLOCP00000012651	ENSLOCG00000010324	Lepisosteus_oculatus
