ENSCMIP00000024438	ENSCMIG00000010836	Callorhinchus_milii	ENSCMIT00000024845
ENSCMIP00000024433	ENSCMIG00000010834	Callorhinchus_milii	ENSCMIT00000024840
ENSMGAP00000015121	ENSMGAG00000014295	Meleagris_gallopavo
ENSCJPP00005002554	ENSCJPG00005002825	Coturnix_japonica
ENSGALP00000026940	ENSGALG00000016726	Gallus_gallus
ENSNMEP00000008901	ENSNMEG00000008673	Numida_meleagris
ENSTGUP00000013599	ENSTGUG00000013208	Taeniopygia_guttata
ENSLSDP00000003186	ENSLSDG00000002456	Lonchura_striata_domestica
ENSSCAP00000019385	ENSSCAG00000014001	Serinus_canaria
ENSJHYP00000023768	ENSJHYG00000017867	Junco_hyemalis
ENSJHYP00000023763	ENSJHYG00000017862	Junco_hyemalis
ENSZALP00000000475	ENSZALG00000000558	Zonotrichia_albicollis
ENSPMJP00000017214	ENSPMJG00000012970	Parus_major
ENSCCEP00000000869	ENSCCEG00000001128	Cyanistes_caeruleus
ENSFALP00000001673	ENSFALG00000001608	Ficedula_albicollis
ENSLCOP00000014279	ENSLCOG00000010252	Lepidothrix_coronata
ENSMVIP00005002004	ENSMVIG00005001568	Manacus_vitellinus
ENSMUNP00000013595	ENSMUNG00000010608	Melopsittacus_undulatus
ENSCPUP00000014667	ENSCPUG00000010281	Calidris_pugnax
ENSCPGP00000027511	ENSCPGG00000018967	Calidris_pygmaea
ENSABRP00000002642	ENSABRG00000002577	Anser_brachyrhynchus
ENSAPLP00000014392	ENSAPLG00000014556	Anas_platyrhynchos_platyrhynchos
ENSARWP00000019482	ENSARWG00000013343	Apteryx_rowi
ENSAOWP00000022879	ENSAOWG00000015450	Apteryx_owenii
ENSAHAP00000010072	ENSAHAG00000007308	Apteryx_haastii
ENSDNVP00000001471	ENSDNVG00000001072	Dromaius_novaehollandiae
ENSNPEP00000011700	ENSNPEG00000008784	Nothoprocta_perdicaria
ENSCPRP00005000394	ENSCPRG00005000335	Crocodylus_porosus
ENSGAGP00000018780	ENSGAGG00000013897	Gopherus_agassizii
ENSCABP00000016265	ENSCABG00000012090	Chelonoidis_abingdonii
ENSCPBP00000030779	ENSCPBG00000021649	Chrysemys_picta_bellii
ENSPVIP00000026361	ENSPVIG00000019684	Pogona_vitticeps
ENSACAP00000013267	ENSACAG00000013506	Anolis_carolinensis
ENSNSUP00000002250	ENSNSUG00000001885	Notechis_scutatus
ENSSMRP00000027383	ENSSMRG00000021114	Salvator_merianae
ENSSPUP00000025129	ENSSPUG00000019255	Sphenodon_punctatus
ENSUPAP00010006338	ENSUPAG00010005090	Urocitellus_parryii
ENSSDAP00000004842	ENSSDAG00000004539	Spermophilus_dauricus
ENSSTOP00000015429	ENSSTOG00000002903	Ictidomys_tridecemlineatus
ENSMMMP00000028228	ENSMMMG00000024608	Marmota_marmota_marmota
ENSJJAP00000008147	ENSJJAG00000012388	Jaculus_jaculus
ENSCCNP00000012229	ENSCCNG00000012700	Castor_canadensis
ENSDORP00000013797	ENSDORG00000014666	Dipodomys_ordii
ENSMUGP00000003522	ENSMUGG00000003283	Meriones_unguiculatus
ENSCPOP00000018023	ENSCPOG00000005747	Cavia_porcellus
ENSCAPP00000004903	ENSCAPG00000007349	Cavia_aperea
ENSCLAP00000016326	ENSCLAG00000011234	Chinchilla_lanigera
ENSHGLP00000023177	ENSHGLG00000016523	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003581	ENSHGLG00100002728	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019713	ENSFDAG00000008953	Fukomys_damarensis
ENSSSCP00000021142	ENSSSCG00000001729	Sus_scrofa_strain_reference
ENSVPAP00000003373	ENSVPAG00000003638	Vicugna_pacos
ENSSARP00000008031	ENSSARG00000008888	Sorex_araneus
ENSPVAP00000011921	ENSPVAG00000012642	Pteropus_vampyrus
ENSVVUP00000041200	ENSVVUG00000029322	Vulpes_vulpes
ENSCAFP00000003086	ENSCAFG00000002100	Canis_lupus_familiaris
ENSMPUP00000012278	ENSMPUG00000012372	Mustela_putorius_furo
ENSNVIP00000031378	ENSNVIG00000024126	Neovison_vison
ENSUAMP00000015982	ENSUAMG00000012766	Ursus_americanus
ENSUMAP00000006264	ENSUMAG00000004941	Ursus_maritimus
ENSAMEP00000001557	ENSAMEG00000001490	Ailuropoda_melanoleuca
ENSFCAP00000014201	ENSFCAG00000015316	Felis_catus
ENSPPRP00000008085	ENSPPRG00000003005	Panthera_pardus
ENSDNOP00000002798	ENSDNOG00000003633	Dasypus_novemcinctus
ENSECAP00000034517	ENSECAG00000002228	Equus_caballus
ENSEASP00005005478	ENSEASG00005004051	Equus_asinus_asinus
ENSMLUP00000002619	ENSMLUG00000002884	Myotis_lucifugus
ENSLAFP00000014065	ENSLAFG00000016766	Loxodonta_africana
ENSPCAP00000007997	ENSPCAG00000008574	Procavia_capensis
ENSCGRP00015008533	ENSCGRG00015006616	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000000349	ENSCGRG00000000324	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001002987	ENSCGRG00001003471	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000013331	ENSMAUG00000013409	Mesocricetus_auratus
ENSPEMP00000030472	ENSPEMG00000023455	Peromyscus_maniculatus_bairdii
ENSMOCP00000009057	ENSMOCG00000009170	Microtus_ochrogaster
ENSMUSP00000047640	ENSMUSG00000042256	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000002754	ENSMSIG00000002583	Mus_spicilegus
MGP_SPRETEiJ_P0046713	MGP_SPRETEiJ_G0022533	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0044814	MGP_CAROLIEiJ_G0021621	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0044338	MGP_PahariEiJ_G0020613	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000016940	ENSRNOG00000012708	Rattus_norvegicus
ENSNGAP00000002120	ENSNGAG00000001661	Nannospalax_galili
ENSECAP00000024269	ENSECAG00000039761	Equus_caballus
ENSFCAP00000059452	ENSFCAG00000047070	Felis_catus
ENSUAMP00000019511	ENSUAMG00000015438	Ursus_americanus
ENSCAFP00020016035	ENSCAFG00020012869	Canis_lupus_dingo
ENSPPRP00000020531	ENSPPRG00000011580	Panthera_pardus
ENSPPRP00000024366	ENSPPRG00000014577	Panthera_pardus
ENSECAP00000001532	ENSECAG00000002347	Equus_caballus
ENSCCNP00000010067	ENSCCNG00000010586	Castor_canadensis
ENSSARP00000006460	ENSSARG00000007136	Sorex_araneus
ENSEEUP00000013924	ENSEEUG00000015266	Erinaceus_europaeus
ENSBMUP00000032664	ENSBMUG00000024376	Bos_mutus
ENSMUGP00000026936	ENSMUGG00000022429	Meriones_unguiculatus
ENSODEP00000020381	ENSODEG00000015033	Octodon_degus
ENSCCNP00000012227	ENSCCNG00000012695	Castor_canadensis
ENSOPRP00000009861	ENSOPRG00000010806	Ochotona_princeps
ENSTSYP00000028957	ENSTSYG00000036844	Carlito_syrichta
ENSCCAP00000001451	ENSCCAG00000009330	Cebus_capucinus_imitator
ENSTBEP00000002977	ENSTBEG00000003456	Tupaia_belangeri
ENSETEP00000004655	ENSETEG00000005727	Echinops_telfairi
ENSNVIP00000031389	ENSNVIG00000024132	Neovison_vison
ENSAMEP00000015677	ENSAMEG00000014888	Ailuropoda_melanoleuca
ENSOCUP00000035067	ENSOCUG00000036262	Oryctolagus_cuniculus
ENSPPYP00000018663	ENSPPYG00000016682	Pongo_abelii
ENSPSIP00000016160	ENSPSIG00000014414	Pelodiscus_sinensis
ENSPCOP00000026702	ENSPCOG00000025764	Propithecus_coquereli
ENSPCOP00000007589	ENSPCOG00000015041	Propithecus_coquereli
ENSPSMP00000028064	ENSPSMG00000019552	Prolemur_simus
ENSMICP00000014014	ENSMICG00000015380	Microcebus_murinus
ENSOGAP00000005618	ENSOGAG00000006289	Otolemur_garnettii
ENSMLEP00000017792	ENSMLEG00000033093	Mandrillus_leucophaeus
ENSCATP00000001604	ENSCATG00000007495	Cercocebus_atys
ENSTGEP00000037348	ENSTGEG00000029705	Theropithecus_gelada
ENSPANP00000012933	ENSPANG00000005252	Papio_anubis
ENSMFAP00000000067	ENSMFAG00000035367	Macaca_fascicularis
ENSMNEP00000016264	ENSMNEG00000032175	Macaca_nemestrina
ENSMMUP00000070656	ENSMMUG00000003719	Macaca_mulatta
ENSCSAP00000008872	ENSCSAG00000012696	Chlorocebus_sabaeus
ENSCANP00000022149	ENSCANG00000034519	Colobus_angolensis_palliatus
ENSPTEP00000008640	ENSPTEG00000009794	Piliocolobus_tephrosceles
ENSRROP00000005679	ENSRROG00000023273	Rhinopithecus_roxellana
ENSRBIP00000012469	ENSRBIG00000030193	Rhinopithecus_bieti
ENSPTRP00000031186	ENSPTRG00000018252	Pan_troglodytes
ENSPPAP00000039802	ENSPPAG00000042579	Pan_paniscus
