ENSBMUP00000010751	ENSBMUG00000008309	Bos_mutus
ENSDARP00000108943	ENSDARG00000007349	Danio_rerio
ENSLCRP00005026877	ENSLCRG00005010615	Larimichthys_crocea
ENSMUGP00000010194	ENSMUGG00000009005	Meriones_unguiculatus
ENSVURP00010009923	ENSVURG00010007673	Vombatus_ursinus
ENSMAUP00000007252	ENSMAUG00000008975	Mesocricetus_auratus
ENSFDAP00000017021	ENSFDAG00000005670	Fukomys_damarensis
ENSPLAP00000014264	ENSPLAG00000017909	Poecilia_latipinna
ENSCSAP00000004878	ENSCSAG00000008623	Chlorocebus_sabaeus
ENSPNAP00000028731	ENSPNAG00000014524	Pygocentrus_nattereri
ENSLAFP00000008906	ENSLAFG00000010638	Loxodonta_africana
ENSAPOP00000021716	ENSAPOG00000002453	Acanthochromis_polyacanthus
ENSCCAP00000013908	ENSCCAG00000024774	Cebus_capucinus_imitator
ENSEEUP00000003183	ENSEEUG00000003511	Erinaceus_europaeus
ENSLCAP00010050600	ENSLCAG00010023595	Lates_calcarifer
ENSORLP00015016944	ENSORLG00015017982	Oryzias_latipes_ASM223469v1
ENSP00000371711	ENSG00000137090	Homo_sapiens
ENSBBBP00000008653	ENSBBBG00000016649	Bison_bison_bison
ENSRBIP00000034606	ENSRBIG00000040985	Rhinopithecus_bieti
ENSPSMP00000036662	ENSPSMG00000025222	Prolemur_simus
ENSAMXP00005045683	ENSAMXG00005021109	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCAFP00020034478	ENSCAFG00020026750	Canis_lupus_dingo
ENSPRNP00000011422	ENSPRNG00000006410	Parambassis_ranga
ENSMSIP00000001073	ENSMSIG00000000992	Mus_spicilegus
ENSSHAP00000007975	ENSSHAG00000006920	Sarcophilus_harrisii
ENSTGUP00000005681	ENSTGUG00000005524	Taeniopygia_guttata
ENSCHAP00000001659	ENSCHAG00000001231	Clupea_harengus	ENSCHAT00000001924
ENSPCAP00000006825	ENSPCAG00000007297	Procavia_capensis
ENSHCOP00000012265	ENSHCOG00000015256	Hippocampus_comes
ENSPPYP00000021570	ENSPPYG00000019261	Pongo_abelii
ENSMOCP00000020224	ENSMOCG00000017971	Microtus_ochrogaster
ENSCHIP00000028863	ENSCHIG00000024212	Capra_hircus
ENSHGLP00100006567	ENSHGLG00100004928	Heterocephalus_glaber_HetGla_1.0
ENSBSLP00000026494	ENSBSLG00000013231	Betta_splendens
ENSTNIP00000001272	ENSTNIG00000015640	Tetraodon_nigroviridis
ENSMPUP00000005167	ENSMPUG00000005204	Mustela_putorius_furo
ENSXMAP00000015624	ENSXMAG00000015591	Xiphophorus_maculatus
ENSSMRP00000015985	ENSSMRG00000012418	Salvator_merianae
ENSNGAP00000001742	ENSNGAG00000001295	Nannospalax_galili
ENSNPEP00000021903	ENSNPEG00000016242	Nothoprocta_perdicaria
ENSSFOP00015030528	ENSSFOG00015019588	Scleropages_formosus
ENSUPAP00010021137	ENSUPAG00010016791	Urocitellus_parryii
MGP_PahariEiJ_P0021398	MGP_PahariEiJ_G0014331	Mus_pahari_strain_PAHARI_EIJ
ENSCANP00000036583	ENSCANG00000041973	Colobus_angolensis_palliatus
ENSKMAP00000013159	ENSKMAG00000009879	Kryptolebias_marmoratus
ENSMUNP00000021024	ENSMUNG00000015934	Melopsittacus_undulatus
ENSPPAP00000027525	ENSPPAG00000036830	Pan_paniscus
ENSVVUP00000005810	ENSVVUG00000004545	Vulpes_vulpes
ENSONIP00000017849	ENSONIG00000014201	Oreochromis_niloticus
ENSPKIP00000015286	ENSPKIG00000002053	Paramormyrops_kingsleyae	ENSPKIT00000039748
ENSNMEP00000010547	ENSNMEG00000009961	Numida_meleagris
ENSEASP00005014767	ENSEASG00005010297	Equus_asinus_asinus
ENSTSYP00000008402	ENSTSYG00000009148	Carlito_syrichta
ENSPTEP00000000066	ENSPTEG00000000107	Piliocolobus_tephrosceles
ENSGAFP00000001565	ENSGAFG00000001107	Gambusia_affinis
ENSTBEP00000001759	ENSTBEG00000002038	Tupaia_belangeri
ENSOARP00000014169	ENSOARG00000013224	Ovis_aries
ENSORLP00015025116	ENSORLG00015006126	Oryzias_latipes_ASM223469v1
ENSOPRP00000010133	ENSOPRG00000011101	Ochotona_princeps
ENSPCOP00000001563	ENSPCOG00000004952	Propithecus_coquereli
ENSPVIP00000013429	ENSPVIG00000010412	Pogona_vitticeps
ENSCPUP00000018107	ENSCPUG00000012468	Calidris_pugnax
ENSPSIP00000014586	ENSPSIG00000013048	Pelodiscus_sinensis
ENSPANP00000019264	ENSPANG00000025124	Papio_anubis
ENSGACP00000019148	ENSGACG00000014514	Gasterosteus_aculeatus
ENSGAGP00000023692	ENSGAGG00000017350	Gopherus_agassizii
MGP_CAROLIEiJ_P0092401	MGP_CAROLIEiJ_G0033304	Mus_caroli_strain_CAROLI_EIJ
ENSSPUP00000009008	ENSSPUG00000006971	Sphenodon_punctatus
ENSMGAP00000005030	ENSMGAG00000005156	Meleagris_gallopavo
ENSGMOP00000015341	ENSGMOG00000014361	Gadus_morhua
ENSCPOP00000005330	ENSCPOG00000005909	Cavia_porcellus
ENSTTRP00000013439	ENSTTRG00000014171	Tursiops_truncatus
ENSJJAP00000014155	ENSJJAG00000016690	Jaculus_jaculus
ENSMUSP00000025755	ENSMUSG00000024837	Mus_musculus_strain_reference_(CL57BL6)
ENSMFAP00000028039	ENSMFAG00000045391	Macaca_fascicularis
ENSIPUP00000016675	ENSIPUG00000011312	Ictalurus_punctatus
ENSSCAP00000003857	ENSSCAG00000003198	Serinus_canaria
ENSMUGP00000000725	ENSMUGG00000000673	Meriones_unguiculatus
ENSZALP00000020439	ENSZALG00000016076	Zonotrichia_albicollis
ENSCLAP00000022216	ENSCLAG00000015238	Chinchilla_lanigera
ENSHBUP00000005396	ENSHBUG00000006972	Haplochromis_burtoni
ENSMMMP00000003568	ENSMMMG00000003270	Marmota_marmota_marmota
ENSNGAP00000023519	ENSNGAG00000022060	Nannospalax_galili
ENSLBEP00000016212	ENSLBEG00000012548	Labrus_bergylta
ENSGWIP00000036780	ENSGWIG00000018917	Gouania_willdenowi
ENSCGRP00000018810	ENSCGRG00000013694	Cricetulus_griseus_CriGri_1.0
ENSDCDP00000027912	ENSDCDG00000020168	Denticeps_clupeoides	ENSDCDT00000036979
ENSLSDP00000019136	ENSLSDG00000013654	Lonchura_striata_domestica
ENSSTOP00000009178	ENSSTOG00000010235	Ictidomys_tridecemlineatus
ENSGALP00000037648	ENSGALG00000010160	Gallus_gallus
ENSMLUP00000010425	ENSMLUG00000011450	Myotis_lucifugus
ENSUMAP00000026591	ENSUMAG00000019350	Ursus_maritimus
ENSPEMP00000008134	ENSPEMG00000009870	Peromyscus_maniculatus_bairdii
ENSCPRP00005006925	ENSCPRG00005004893	Crocodylus_porosus
ENSACLP00000006582	ENSACLG00000004443	Astatotilapia_calliptera
ENSCPGP00000012356	ENSCPGG00000008764	Calidris_pygmaea
ENSMAMP00000004690	ENSMAMG00000003170	Mastacembelus_armatus
ENSRNOP00000021779	ENSRNOG00000016075	Rattus_norvegicus
ENSCAFP00000002919	ENSCAFG00000001982	Canis_lupus_familiaris
ENSEEEP00000005795	ENSEEEG00000003068	Electrophorus_electricus
ENSTGEP00000027887	ENSTGEG00000022464	Theropithecus_gelada
ENSELUP00000032616	ENSELUG00000010698	Esox_lucius
ENSDCDP00000015959	ENSDCDG00000012966	Denticeps_clupeoides	ENSDCDT00000022452
ENSFHEP00000033910	ENSFHEG00000021514	Fundulus_heteroclitus
ENSSSCP00000067348	ENSSSCG00000005236	Sus_scrofa_strain_reference
ENSCABP00000030667	ENSCABG00000022413	Chelonoidis_abingdonii
ENSMEUP00000010392	ENSMEUG00000011389	Notamacropus_eugenii
ENSMSIP00000011891	ENSMSIG00000010363	Mus_spicilegus
ENSPCIP00000041130	ENSPCIG00000030080	Phascolarctos_cinereus
ENSFALP00000010833	ENSFALG00000010388	Ficedula_albicollis
ENSSDAP00000020296	ENSSDAG00000018498	Spermophilus_dauricus
ENSCGRP00001019076	ENSCGRG00001018624	Cricetulus_griseus_CHOK1GS_HDv1
ENSDNVP00000009758	ENSDNVG00000006890	Dromaius_novaehollandiae
ENSFCAP00000006003	ENSFCAG00000006459	Felis_catus
ENSLBEP00000013418	ENSLBEG00000010235	Labrus_bergylta
ENSTRUP00000040124	ENSTRUG00000015699	Takifugu_rubripes
ENSACIP00000019907	ENSACIG00000015473	Amphilophus_citrinellus
ENSMICP00000009484	ENSMICG00000010417	Microcebus_murinus
ENSOMEP00000009020	ENSOMEG00000010203	Oryzias_melastigma
ENSMNEP00000024991	ENSMNEG00000036006	Macaca_nemestrina
ENSPFOP00000001288	ENSPFOG00000001335	Poecilia_formosa
ENSFDAP00000011674	ENSFDAG00000019171	Fukomys_damarensis
ENSXETP00000053992	ENSXETG00000018315	Xenopus_tropicalis
ENSARWP00000003067	ENSARWG00000002310	Apteryx_rowi
ENSHHUP00000012044	ENSHHUG00000007362	Hucho_hucho	ENSHHUT00000012419
