ENSDNVP00000023226	ENSDNVG00000016132	Dromaius_novaehollandiae
ENSNPEP00000006136	ENSNPEG00000004612	Nothoprocta_perdicaria
ENSAOWP00000017728	ENSAOWG00000012084	Apteryx_owenii
ENSAPLP00000032947	ENSAPLG00000027942	Anas_platyrhynchos_platyrhynchos
ENSJHYP00000020881	ENSJHYG00000015795	Junco_hyemalis
ENSZALP00000013277	ENSZALG00000011056	Zonotrichia_albicollis
ENSFALP00000010736	ENSFALG00000010295	Ficedula_albicollis
ENSLCOP00000011416	ENSLCOG00000008288	Lepidothrix_coronata
ENSMVIP00005003508	ENSMVIG00005002724	Manacus_vitellinus
ENSLSDP00000021165	ENSLSDG00000014974	Lonchura_striata_domestica
ENSSCAP00000022711	ENSSCAG00000016294	Serinus_canaria
ENSCPGP00000010858	ENSCPGG00000007724	Calidris_pygmaea
ENSCPUP00000029685	ENSCPUG00000019877	Calidris_pugnax
ENSGALP00000007768	ENSGALG00000004874	Gallus_gallus
ENSNMEP00000020331	ENSNMEG00000017459	Numida_meleagris
ENSABRP00000006933	ENSABRG00000006384	Anser_brachyrhynchus
ENSCPRP00005021510	ENSCPRG00005014940	Crocodylus_porosus
ENSNSUP00000025977	ENSNSUG00000018677	Notechis_scutatus
ENSSMRP00000009924	ENSSMRG00000007890	Salvator_merianae
ENSCPBP00000013115	ENSCPBG00000009847	Chrysemys_picta_bellii
ENSCABP00000029705	ENSCABG00000021785	Chelonoidis_abingdonii
ENSPSIP00000013469	ENSPSIG00000012104	Pelodiscus_sinensis
ENSSPUP00000011971	ENSSPUG00000009185	Sphenodon_punctatus
ENSODEP00000016448	ENSODEG00000012110	Octodon_degus
ENSJJAP00000014264	ENSJJAG00000016769	Jaculus_jaculus
ENSDORP00000016171	ENSDORG00000024919	Dipodomys_ordii
ENSPSMP00000017901	ENSPSMG00000012718	Prolemur_simus
ENSMOCP00000008616	ENSMOCG00000008631	Microtus_ochrogaster
ENSODEP00000012030	ENSODEG00000008922	Octodon_degus
ENSPTRP00000081347	ENSPTRG00000049885	Pan_troglodytes
ENSPPAP00000038781	ENSPPAG00000042106	Pan_paniscus
ENSCCAP00000000687	ENSCCAG00000004236	Cebus_capucinus_imitator
ENSPPAP00000041652	ENSPPAG00000043430	Pan_paniscus
ENSPTRP00000079250	ENSPTRG00000050495	Pan_troglodytes
ENSGGOP00000052276	ENSGGOG00000041943	Gorilla_gorilla
ENSPANP00000028052	ENSPANG00000032173	Papio_anubis
ENSDORP00000024924	ENSDORG00000029409	Dipodomys_ordii
ENSPTIP00000005507	ENSPTIG00000007689	Panthera_tigris_altaica
ENSPPRP00000013152	ENSPPRG00000006450	Panthera_pardus
ENSMPUP00000001017	ENSMPUG00000001025	Mustela_putorius_furo
ENSVPAP00000000061	ENSVPAG00000000066	Vicugna_pacos
ENSSARP00000000449	ENSSARG00000000504	Sorex_araneus
ENSANAP00000027850	ENSANAG00000031780	Aotus_nancymaae
ENSTSYP00000026079	ENSTSYG00000032473	Carlito_syrichta
ENSMICP00000051101	ENSMICG00000048918	Microcebus_murinus
ENSUPAP00010011477	ENSUPAG00010009190	Urocitellus_parryii
ENSFDAP00000010173	ENSFDAG00000006597	Fukomys_damarensis
ENSCCNP00000013385	ENSCCNG00000013883	Castor_canadensis
ENSCGRP00015003426	ENSCGRG00015002676	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000030351	ENSPEMG00000011063	Peromyscus_maniculatus_bairdii
MGP_CAROLIEiJ_P0064105	MGP_CAROLIEiJ_G0026397	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000012673	ENSMSIG00000010898	Mus_spicilegus
ENSMUSP00000101924	ENSMUSG00000060288	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0066600	MGP_SPRETEiJ_G0027374	Mus_spretus_strain_SPRET/EiJ
ENSJJAP00000003401	ENSJJAG00000006568	Jaculus_jaculus
ENSCGRP00001024127	ENSCGRG00001022131	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000001573	ENSCGRG00000001195	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015008553	ENSCGRG00015006642	Cricetulus_griseus_CriGri-PICR
ENSOPRP00000010392	ENSOPRG00000011390	Ochotona_princeps
ENSMSIP00000016545	ENSMSIG00000014204	Mus_spicilegus
ENSCHOP00000001584	ENSCHOG00000001792	Choloepus_hoffmanni
ENSDNOP00000019593	ENSDNOG00000035476	Dasypus_novemcinctus
ENSVURP00010025573	ENSVURG00010019557	Vombatus_ursinus
ENSMEUP00000001546	ENSMEUG00000001691	Notamacropus_eugenii
ENSPCIP00000011394	ENSPCIG00000009154	Phascolarctos_cinereus
ENSMODP00000021488	ENSMODG00000017226	Monodelphis_domestica
ENSCAFP00020003482	ENSCAFG00020002933	Canis_lupus_dingo
ENSVVUP00000002226	ENSVVUG00000001795	Vulpes_vulpes
ENSAMEP00000000547	ENSAMEG00000000526	Ailuropoda_melanoleuca
ENSPPRP00000025640	ENSPPRG00000015957	Panthera_pardus
ENSPTIP00000011260	ENSPTIG00000011731	Panthera_tigris_altaica
ENSEEUP00000005112	ENSEEUG00000005622	Erinaceus_europaeus
ENSBBBP00000000410	ENSBBBG00000009548	Bison_bison_bison
ENSTGEP00000031642	ENSTGEG00000025328	Theropithecus_gelada
ENSCSAP00000016847	ENSCSAG00000001167	Chlorocebus_sabaeus
ENSRROP00000042047	ENSRROG00000044177	Rhinopithecus_roxellana
ENSRBIP00000043367	ENSRBIG00000044851	Rhinopithecus_bieti
ENSP00000306614	ENSG00000171960	Homo_sapiens
ENSPTRP00000093776	ENSPTRG00000000614	Pan_troglodytes
ENSNLEP00000014954	ENSNLEG00000012313	Nomascus_leucogenys
ENSANAP00000012848	ENSANAG00000024337	Aotus_nancymaae
ENSSBOP00000002727	ENSSBOG00000013249	Saimiri_boliviensis_boliviensis
ENSTSYP00000017243	ENSTSYG00000003182	Carlito_syrichta
ENSPSMP00000029270	ENSPSMG00000020320	Prolemur_simus
ENSPCOP00000029922	ENSPCOG00000027670	Propithecus_coquereli
ENSMMMP00000002101	ENSMMMG00000001881	Marmota_marmota_marmota
ENSSTOP00000029002	ENSSTOG00000000115	Ictidomys_tridecemlineatus
ENSCLAP00000002865	ENSCLAG00000002063	Chinchilla_lanigera
ENSMUSP00000142767	ENSMUSG00000033036	Mus_musculus_strain_reference_(CL57BL6)
ENSCGRP00001026946	ENSCGRG00001024101	Cricetulus_griseus_CHOK1GS_HDv1
ENSEASP00005001565	ENSEASG00005001269	Equus_asinus_asinus
ENSUMAP00000033826	ENSUMAG00000024381	Ursus_maritimus
ENSBIXP00005028299	ENSBIXG00005007897	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSRNOP00000059353	ENSRNOG00000008489	Rattus_norvegicus
ENSODEP00000002081	ENSODEG00000001627	Octodon_degus
ENSOCUP00000009848	ENSOCUG00000011453	Oryctolagus_cuniculus
ENSOGAP00000013377	ENSOGAG00000014937	Otolemur_garnettii
ENSODEP00000013330	ENSODEG00000009861	Octodon_degus
ENSOCUP00000034778	ENSOCUG00000021164	Oryctolagus_cuniculus
ENSTBEP00000013441	ENSTBEG00000015485	Tupaia_belangeri
ENSUAMP00000019584	ENSUAMG00000015461	Ursus_americanus
ENSMLUP00000019914	ENSMLUG00000025400	Myotis_lucifugus
ENSBTAP00000071312	ENSBTAG00000051478	Bos_taurus
ENSBMUP00000009134	ENSBMUG00000007120	Bos_mutus
ENSCHIP00000005627	ENSCHIG00000009686	Capra_hircus
ENSBIXP00005021316	ENSBIXG00005024304	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000040326	ENSBIXG00000004917	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000001463	ENSBBBG00000010554	Bison_bison_bison
ENSCJAP00000077807	ENSCJAG00000043704	Callithrix_jacchus
ENSTSYP00000027759	ENSTSYG00000033815	Carlito_syrichta
ENSMUGP00000030387	ENSMUGG00000025238	Meriones_unguiculatus
ENSMOCP00000012052	ENSMOCG00000012270	Microtus_ochrogaster
ENSODEP00000026725	ENSODEG00000020190	Octodon_degus
ENSPVAP00000005205	ENSPVAG00000005500	Pteropus_vampyrus
ENSOARP00000021959	ENSOARG00000020444	Ovis_aries
ENSPTEP00000032674	ENSPTEG00000031372	Piliocolobus_tephrosceles
ENSCJAP00000005739	ENSCJAG00000003145	Callithrix_jacchus
ENSMICP00000018039	ENSMICG00000014971	Microcebus_murinus
ENSHGLP00000002771	ENSHGLG00000002085	Heterocephalus_glaber_HetGla_female_1.0
ENSNVIP00000020870	ENSNVIG00000016325	Neovison_vison
ENSCAFP00000003706	ENSCAFG00000002544	Canis_lupus_familiaris
ENSFCAP00000051265	ENSFCAG00000028168	Felis_catus
ENSTTRP00000004914	ENSTTRG00000005214	Tursiops_truncatus
ENSBIXP00000022796	ENSBIXG00000025587	Bos_indicus_x_Bos_taurus_UOA_Angus_1
MGP_PahariEiJ_P0079196	MGP_PahariEiJ_G0028726	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000031998	ENSMUGG00000026599	Meriones_unguiculatus
ENSMAUP00000017407	ENSMAUG00000016280	Mesocricetus_auratus
ENSCGRP00000001797	ENSCGRG00000001340	Cricetulus_griseus_CriGri_1.0
ENSNGAP00000011348	ENSNGAG00000013511	Nannospalax_galili
ENSHGLP00100022628	ENSHGLG00100016636	Heterocephalus_glaber_HetGla_1.0
ENSCPOP00000031396	ENSCPOG00000008214	Cavia_porcellus
ENSPANP00000003374	ENSPANG00000006391	Papio_anubis
ENSMMUP00000017263	ENSMMUG00000013129	Macaca_mulatta
ENSCATP00000004157	ENSCATG00000015048	Cercocebus_atys
ENSMLEP00000010303	ENSMLEG00000029287	Mandrillus_leucophaeus
ENSCANP00000038160	ENSCANG00000042759	Colobus_angolensis_palliatus
ENSGGOP00000035668	ENSGGOG00000022507	Gorilla_gorilla
ENSBMUP00000009251	ENSBMUG00000007203	Bos_mutus
ENSSSCP00000004285	ENSSSCG00000003964	Sus_scrofa_strain_reference
ENSMPUP00000013861	ENSMPUG00000013966	Mustela_putorius_furo
ENSMNEP00000042650	ENSMNEG00000044023	Macaca_nemestrina
ENSMFAP00000035963	ENSMFAG00000034307	Macaca_fascicularis
ENSPPYP00000001699	ENSPPYG00000001467	Pongo_abelii
ENSPPAP00000022353	ENSPPAG00000034314	Pan_paniscus
ENSCCAP00000033603	ENSCCAG00000034762	Cebus_capucinus_imitator
ENSCJAP00000072421	ENSCJAG00000067635	Callithrix_jacchus
ENSDORP00000023235	ENSDORG00000016152	Dipodomys_ordii
ENSLAFP00000013602	ENSLAFG00000016205	Loxodonta_africana
ENSPCIP00000009346	ENSPCIG00000007649	Phascolarctos_cinereus
ENSMUNP00000002024	ENSMUNG00000001804	Melopsittacus_undulatus
ENSPMJP00000003493	ENSPMJG00000003049	Parus_major
ENSGAGP00000031884	ENSGAGG00000022892	Gopherus_agassizii
ENSSDAP00000000431	ENSSDAG00000000414	Spermophilus_dauricus
ENSCHIP00000003751	ENSCHIG00000007905	Capra_hircus
ENSCJPP00005007795	ENSCJPG00005007086	Coturnix_japonica
ENSPCAP00000010375	ENSPCAG00000011139	Procavia_capensis
ENSTSYP00000033279	ENSTSYG00000028663	Carlito_syrichta
ENSBTAP00000057891	ENSBTAG00000004590	Bos_taurus
ENSTGUP00000017546	ENSTGUG00000017267	Taeniopygia_guttata
ENSCCEP00000016891	ENSCCEG00000015685	Cyanistes_caeruleus
ENSAHAP00000023218	ENSAHAG00000016180	Apteryx_haastii
ENSNSUP00000008088	ENSNSUG00000006292	Notechis_scutatus
ENSUAMP00000030891	ENSUAMG00000023712	Ursus_americanus
ENSUMAP00000028215	ENSUMAG00000020488	Ursus_maritimus
ENSECAP00000045284	ENSECAG00000009890	Equus_caballus
MGP_SPRETEiJ_P0033279	MGP_SPRETEiJ_G0018420	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0031820	MGP_CAROLIEiJ_G0017576	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0051298	MGP_PahariEiJ_G0022417	Mus_pahari_strain_PAHARI_EIJ
ENSDORP00000019128	ENSDORG00000028002	Dipodomys_ordii
ENSOANP00000024112	ENSOANG00000015321	Ornithorhynchus_anatinus
ENSPVIP00000023922	ENSPVIG00000018048	Pogona_vitticeps
ENSARWP00000000112	ENSARWG00000000134	Apteryx_rowi
ENSXETP00000033044	ENSXETG00000016559	Xenopus_tropicalis
ENSLACP00000020661	ENSLACG00000018153	Latimeria_chalumnae
ENSSFOP00015016948	ENSSFOG00015010908	Scleropages_formosus
ENSPKIP00000033133	ENSPKIG00000012944	Paramormyrops_kingsleyae
ENSCSEP00000030093	ENSCSEG00000019278	Cynoglossus_semilaevis
ENSPMGP00000008690	ENSPMGG00000007195	Periophthalmus_magnuspinnatus
ENSGWIP00000036189	ENSGWIG00000018680	Gouania_willdenowi
ENSTRUP00000039289	ENSTRUG00000015375	Takifugu_rubripes
ENSTNIP00000014950	ENSTNIG00000011990	Tetraodon_nigroviridis
ENSGACP00000008516	ENSGACG00000006443	Gasterosteus_aculeatus
ENSLCRP00005051366	ENSLCRG00005019308	Larimichthys_crocea
ENSLBEP00000007203	ENSLBEG00000005543	Labrus_bergylta
ENSMALP00000001664	ENSMALG00000001231	Monopterus_albus
ENSMMOP00000019684	ENSMMOG00000014944	Mola_mola
ENSATEP00000017976	ENSATEG00000012477	Anabas_testudineus
ENSBSLP00000006021	ENSBSLG00000003127	Betta_splendens
ENSMAMP00000027094	ENSMAMG00000018217	Mastacembelus_armatus
ENSCGOP00000001767	ENSCGOG00000000993	Cottoperca_gobio
ENSHCOP00000014079	ENSHCOG00000017359	Hippocampus_comes
ENSLCAP00010059085	ENSLCAG00010027545	Lates_calcarifer
ENSSMAP00000018606	ENSSMAG00000011404	Scophthalmus_maximus
ENSSDUP00000028850	ENSSDUG00000020802	Seriola_dumerili
ENSSLDP00000031690	ENSSLDG00000024331	Seriola_lalandi_dorsalis
