ENSVURP00010032168	ENSVURG00010024545	Vombatus_ursinus	ENSVURT00010036629
ENSPCIP00000055153	ENSPCIG00000020001	Phascolarctos_cinereus	ENSPCIT00000052944
ENSMEUP00000013491	ENSMEUG00000014774	Notamacropus_eugenii	ENSMEUT00000014821
ENSSHAP00000002038	ENSSHAG00000001812	Sarcophilus_harrisii	ENSSHAT00000002060
ENSPVAP00000012011	ENSPVAG00000012735	Pteropus_vampyrus
ENSMLUP00000014866	ENSMLUG00000016308	Myotis_lucifugus
ENSUMAP00000010686	ENSUMAG00000007813	Ursus_maritimus
ENSUAMP00000037017	ENSUAMG00000028011	Ursus_americanus
ENSAMEP00000009667	ENSAMEG00000009133	Ailuropoda_melanoleuca
ENSNVIP00000019868	ENSNVIG00000015417	Neovison_vison
ENSMPUP00000012003	ENSMPUG00000012097	Mustela_putorius_furo
ENSCAFP00020010385	ENSCAFG00020008367	Canis_lupus_dingo
ENSCAFP00000028568	ENSCAFG00000019339	Canis_lupus_familiaris
ENSVVUP00000036048	ENSVVUG00000025528	Vulpes_vulpes
ENSPPRP00000018031	ENSPPRG00000009839	Panthera_pardus
ENSPTIP00000000666	ENSPTIG00000001468	Panthera_tigris_altaica
ENSFCAP00000007337	ENSFCAG00000007921	Felis_catus
ENSOARP00000018383	ENSOARG00000017132	Ovis_aries
ENSCHIP00000030980	ENSCHIG00000025473	Capra_hircus
ENSBIXP00000009288	ENSBIXG00000015008	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005006111	ENSBIXG00005011682	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000025131	ENSBTAG00000018880	Bos_taurus
ENSBMUP00000015825	ENSBMUG00000011977	Bos_mutus
ENSBBBP00000027836	ENSBBBG00000008033	Bison_bison_bison
ENSTTRP00000001128	ENSTTRG00000001203	Tursiops_truncatus
ENSSSCP00000058489	ENSSSCG00000017863	Sus_scrofa_strain_reference
ENSECAP00000028605	ENSECAG00000022758	Equus_caballus
ENSEASP00005019086	ENSEASG00005012779	Equus_asinus_asinus
ENSSARP00000003962	ENSSARG00000004344	Sorex_araneus
ENSEEUP00000012186	ENSEEUG00000013355	Erinaceus_europaeus
ENSPTRP00000014623	ENSPTRG00000024045	Pan_troglodytes	ENSPTRT00000015805
ENSPPAP00000001491	ENSPPAG00000005768	Pan_paniscus	ENSPPAT00000007291
ENSGGOP00000009652	ENSGGOG00000009871	Gorilla_gorilla	ENSGGOT00000009919
ENSP00000459962	ENSG00000196689	Homo_sapiens	ENST00000572705
ENSPPYP00000008801	ENSPPYG00000007815	Pongo_abelii
ENSNLEP00000020944	ENSNLEG00000017243	Nomascus_leucogenys
ENSRROP00000017055	ENSRROG00000032639	Rhinopithecus_roxellana
ENSRBIP00000040575	ENSRBIG00000043697	Rhinopithecus_bieti
ENSPTEP00000042683	ENSPTEG00000038916	Piliocolobus_tephrosceles
ENSCANP00000019944	ENSCANG00000033282	Colobus_angolensis_palliatus
ENSTGEP00000020986	ENSTGEG00000016865	Theropithecus_gelada
ENSPANP00000029720	ENSPANG00000024358	Papio_anubis
ENSMLEP00000019008	ENSMLEG00000033670	Mandrillus_leucophaeus
ENSCATP00000038017	ENSCATG00000041693	Cercocebus_atys
ENSMFAP00000006865	ENSMFAG00000040334	Macaca_fascicularis
ENSMNEP00000006790	ENSMNEG00000027787	Macaca_nemestrina
ENSMMUP00000035417	ENSMMUG00000000711	Macaca_mulatta
ENSCSAP00000009773	ENSCSAG00000013654	Chlorocebus_sabaeus
ENSCCAP00000038706	ENSCCAG00000037184	Cebus_capucinus_imitator
ENSCJAP00000013185	ENSCJAG00000007063	Callithrix_jacchus
ENSSBOP00000034491	ENSSBOG00000033403	Saimiri_boliviensis_boliviensis
ENSANAP00000020839	ENSANAG00000028188	Aotus_nancymaae
ENSTSYP00000026337	ENSTSYG00000006457	Carlito_syrichta
ENSMICP00000014312	ENSMICG00000015702	Microcebus_murinus
ENSPCOP00000023343	ENSPCOG00000023804	Propithecus_coquereli
ENSPSMP00000026160	ENSPSMG00000018282	Prolemur_simus
ENSOGAP00000003971	ENSOGAG00000004445	Otolemur_garnettii
ENSTBEP00000004647	ENSTBEG00000005381	Tupaia_belangeri
ENSMSIP00000013785	ENSMSIG00000011817	Mus_spicilegus
MGP_SPRETEiJ_P0029496	MGP_SPRETEiJ_G0017529	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000099585	ENSMUSG00000005952	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0028114	MGP_CAROLIEiJ_G0016692	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0034849	MGP_PahariEiJ_G0017825	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000026493	ENSRNOG00000019486	Rattus_norvegicus
ENSMUGP00000024374	ENSMUGG00000020281	Meriones_unguiculatus
ENSCGRP00001016357	ENSCGRG00001016704	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015028523	ENSCGRG00015021468	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000017087	ENSCGRG00000012430	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000006135	ENSMAUG00000008181	Mesocricetus_auratus
ENSMOCP00000016866	ENSMOCG00000015640	Microtus_ochrogaster
ENSPEMP00000034017	ENSPEMG00000017952	Peromyscus_maniculatus_bairdii
ENSNGAP00000011898	ENSNGAG00000013930	Nannospalax_galili
ENSJJAP00000005461	ENSJJAG00000010388	Jaculus_jaculus
ENSCCNP00000007241	ENSCCNG00000007670	Castor_canadensis
ENSDORP00000009265	ENSDORG00000009857	Dipodomys_ordii
ENSHGLP00000016687	ENSHGLG00000011943	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001667	ENSHGLG00100001306	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017024	ENSFDAG00000005682	Fukomys_damarensis
ENSCLAP00000013161	ENSCLAG00000009084	Chinchilla_lanigera
ENSODEP00000022369	ENSODEG00000016421	Octodon_degus
ENSCPOP00000009106	ENSCPOG00000010142	Cavia_porcellus
ENSCAPP00000018069	ENSCAPG00000017565	Cavia_aperea
