ENSVURP00010018023	ENSVURG00010013773	Vombatus_ursinus	ENSVURT00010020482
ENSMEUP00000001528	ENSMEUG00000001676	Notamacropus_eugenii	ENSMEUT00000001676
ENSPCIP00000023615	ENSPCIG00000017901	Phascolarctos_cinereus	ENSPCIT00000029150
ENSSHAP00000019182	ENSSHAG00000016287	Sarcophilus_harrisii	ENSSHAT00000019338
ENSMODP00000021294	ENSMODG00000017068	Monodelphis_domestica	ENSMODT00000021668
ENSSSCP00000033028	ENSSSCG00000031228	Sus_scrofa_strain_reference
ENSTTRP00000005595	ENSTTRG00000005924	Tursiops_truncatus
ENSUAMP00000002350	ENSUAMG00000002170	Ursus_americanus
ENSUMAP00000029745	ENSUMAG00000021537	Ursus_maritimus
ENSAMEP00000002134	ENSAMEG00000002022	Ailuropoda_melanoleuca
ENSVVUP00000020261	ENSVVUG00000014933	Vulpes_vulpes
ENSCAFP00020002548	ENSCAFG00020002142	Canis_lupus_dingo
ENSPTIP00000003110	ENSPTIG00000005951	Panthera_tigris_altaica
ENSPPRP00000025665	ENSPPRG00000015985	Panthera_pardus
ENSFCAP00000001101	ENSFCAG00000001187	Felis_catus
ENSDNOP00000001207	ENSDNOG00000001561	Dasypus_novemcinctus
ENSEEUP00000002856	ENSEEUG00000003130	Erinaceus_europaeus
ENSNVIP00000024183	ENSNVIG00000018747	Neovison_vison
ENSCPOP00000024516	ENSCPOG00000015002	Cavia_porcellus
ENSCAPP00000001672	ENSCAPG00000003426	Cavia_aperea
ENSODEP00000006189	ENSODEG00000004636	Octodon_degus
ENSHGLP00000014562	ENSHGLG00000010426	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008473	ENSHGLG00100006305	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000011333	ENSFDAG00000018911	Fukomys_damarensis
ENSDORP00000010124	ENSDORG00000010774	Dipodomys_ordii
ENSUPAP00010004161	ENSUPAG00010003399	Urocitellus_parryii
ENSSTOP00000025573	ENSSTOG00000002983	Ictidomys_tridecemlineatus
ENSMUSP00000071513	ENSMUSG00000027584	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0059057	MGP_SPRETEiJ_G0025747	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0056821	MGP_CAROLIEiJ_G0024820	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0067844	MGP_PahariEiJ_G0026268	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000047053	ENSRNOG00000016768	Rattus_norvegicus
ENSMUGP00000003824	ENSMUGG00000003530	Meriones_unguiculatus
ENSMUGP00000004558	ENSMUGG00000004212	Meriones_unguiculatus
ENSCGRP00015024262	ENSCGRG00015018458	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000006146	ENSCGRG00000004504	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001014659	ENSCGRG00001015477	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000022854	ENSMAUG00000020165	Mesocricetus_auratus
ENSMOCP00000000135	ENSMOCG00000000133	Microtus_ochrogaster
ENSPEMP00000030589	ENSPEMG00000026614	Peromyscus_maniculatus_bairdii
ENSNGAP00000007182	ENSNGAG00000010506	Nannospalax_galili
ENSJJAP00000004631	ENSJJAG00000009621	Jaculus_jaculus
ENSPCOP00000024639	ENSPCOG00000024530	Propithecus_coquereli
ENSP00000336843	ENSG00000125510	Homo_sapiens
ENSPTRP00000078089	ENSPTRG00000049284	Pan_troglodytes
ENSGGOP00000020390	ENSGGOG00000024482	Gorilla_gorilla
ENSPPYP00000012580	ENSPPYG00000011261	Pongo_abelii
ENSNLEP00000012480	ENSNLEG00000010242	Nomascus_leucogenys
ENSTGEP00000009684	ENSTGEG00000007974	Theropithecus_gelada
ENSMFAP00000004532	ENSMFAG00000001971	Macaca_fascicularis
ENSCSAP00000012822	ENSCSAG00000016764	Chlorocebus_sabaeus
ENSRBIP00000000301	ENSRBIG00000001399	Rhinopithecus_bieti
ENSRROP00000036623	ENSRROG00000041764	Rhinopithecus_roxellana
ENSCANP00000035455	ENSCANG00000041409	Colobus_angolensis_palliatus
ENSSBOP00000020888	ENSSBOG00000027015	Saimiri_boliviensis_boliviensis
ENSCJAP00000056977	ENSCJAG00000043076	Callithrix_jacchus
ENSCCAP00000033794	ENSCCAG00000034908	Cebus_capucinus_imitator
ENSANAP00000011166	ENSANAG00000023538	Aotus_nancymaae
ENSTSYP00000032982	ENSTSYG00000034526	Carlito_syrichta
ENSPSMP00000000399	ENSPSMG00000000340	Prolemur_simus
ENSMICP00000042759	ENSMICG00000007196	Microcebus_murinus
ENSOGAP00000015648	ENSOGAG00000024132	Otolemur_garnettii
ENSECAP00000008845	ENSECAG00000010767	Equus_caballus
ENSEASP00005033725	ENSEASG00005023085	Equus_asinus_asinus
ENSOARP00000008733	ENSOARG00000008141	Ovis_aries
ENSCHIP00000028685	ENSCHIG00000024097	Capra_hircus
ENSBIXP00000015645	ENSBIXG00000020071	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005036537	ENSBIXG00005018072	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000061716	ENSBTAG00000049473	Bos_taurus
ENSBMUP00000033051	ENSBMUG00000024690	Bos_mutus
ENSBBBP00000010528	ENSBBBG00000004623	Bison_bison_bison
ENSSDAP00000008882	ENSSDAG00000008085	Spermophilus_dauricus
ENSMMMP00000000173	ENSMMMG00000000168	Marmota_marmota_marmota
ENSMLEP00000005953	ENSMLEG00000025528	Mandrillus_leucophaeus
ENSCATP00000016700	ENSCATG00000032267	Cercocebus_atys
ENSPANP00000029478	ENSPANG00000030156	Papio_anubis
ENSMMUP00000044226	ENSMMUG00000043739	Macaca_mulatta
ENSMNEP00000004513	ENSMNEG00000020794	Macaca_nemestrina
ENSPTEP00000007217	ENSPTEG00000008221	Piliocolobus_tephrosceles
ENSPPAP00000037176	ENSPPAG00000041333	Pan_paniscus
ENSCLAP00000004191	ENSCLAG00000002992	Chinchilla_lanigera
ENSPVAP00000002900	ENSPVAG00000003072	Pteropus_vampyrus
ENSPCAP00000009350	ENSPCAG00000010078	Procavia_capensis
ENSETEP00000007369	ENSETEG00000009084	Echinops_telfairi
ENSLAFP00000012324	ENSLAFG00000014724	Loxodonta_africana
ENSOANP00000007792	ENSOANG00000004916	Ornithorhynchus_anatinus
ENSACAP00000006172	ENSACAG00000006305	Anolis_carolinensis
ENSPVIP00000020816	ENSPVIG00000015859	Pogona_vitticeps
ENSNSUP00000012104	ENSNSUG00000009090	Notechis_scutatus
ENSSMRP00000024690	ENSSMRG00000019093	Salvator_merianae
ENSSPUP00000000779	ENSSPUG00000000599	Sphenodon_punctatus
ENSABRP00000007128	ENSABRG00000006548	Anser_brachyrhynchus
ENSAPLP00000027052	ENSAPLG00000026067	Anas_platyrhynchos_platyrhynchos
ENSGALP00000040637	ENSGALG00000027965	Gallus_gallus
ENSCJPP00005003537	ENSCJPG00005003692	Coturnix_japonica
ENSMGAP00000006644	ENSMGAG00000006616	Meleagris_gallopavo
ENSNMEP00000018451	ENSNMEG00000016052	Numida_meleagris
ENSCPUP00000009483	ENSCPUG00000006746	Calidris_pugnax
ENSCPGP00000000203	ENSCPGG00000000161	Calidris_pygmaea
ENSMUNP00000009574	ENSMUNG00000007562	Melopsittacus_undulatus
ENSMVIP00005006389	ENSMVIG00005004867	Manacus_vitellinus
ENSLCOP00000019411	ENSLCOG00000013741	Lepidothrix_coronata
ENSARWP00000014044	ENSARWG00000009723	Apteryx_rowi
ENSAOWP00000001559	ENSAOWG00000001111	Apteryx_owenii
ENSAHAP00000003589	ENSAHAG00000002820	Apteryx_haastii
ENSDNVP00000000071	ENSDNVG00000000040	Dromaius_novaehollandiae
ENSNPEP00000012652	ENSNPEG00000009457	Nothoprocta_perdicaria
ENSLSDP00000008500	ENSLSDG00000006353	Lonchura_striata_domestica
ENSTGUP00000007524	ENSTGUG00000007304	Taeniopygia_guttata
ENSSCAP00000020195	ENSSCAG00000014557	Serinus_canaria
ENSPMJP00000008938	ENSPMJG00000007207	Parus_major
ENSCCEP00000024234	ENSCCEG00000021581	Cyanistes_caeruleus
ENSZALP00000003371	ENSZALG00000003391	Zonotrichia_albicollis
ENSJHYP00000016524	ENSJHYG00000012635	Junco_hyemalis
ENSFALP00000010797	ENSFALG00000010352	Ficedula_albicollis
ENSCPRP00005008426	ENSCPRG00005006014	Crocodylus_porosus
ENSCABP00000001015	ENSCABG00000000859	Chelonoidis_abingdonii
ENSGAGP00000033921	ENSGAGG00000024122	Gopherus_agassizii
ENSCPBP00000019320	ENSCPBG00000013970	Chrysemys_picta_bellii
ENSPSIP00000011327	ENSPSIG00000010249	Pelodiscus_sinensis
ENSLACP00000012012	ENSLACG00000010572	Latimeria_chalumnae
ENSCHAP00000061675	ENSCHAG00000027504	Clupea_harengus
ENSDCDP00000043167	ENSDCDG00000027637	Denticeps_clupeoides
ENSAMXP00005022992	ENSAMXG00005011849	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000040113	ENSAMXG00000036124	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000032462	ENSPNAG00000020423	Pygocentrus_nattereri
ENSIPUP00000014969	ENSIPUG00000010202	Ictalurus_punctatus
ENSEEEP00000029279	ENSEEEG00000014031	Electrophorus_electricus
ENSDARP00000095906	ENSDARG00000071209	Danio_rerio
ENSMMOP00000013933	ENSMMOG00000010676	Mola_mola
ENSTRUP00000002419	ENSTRUG00000001034	Takifugu_rubripes
ENSCSEP00000012988	ENSCSEG00000008384	Cynoglossus_semilaevis
ENSCGOP00000031145	ENSCGOG00000014567	Cottoperca_gobio
ENSCGOP00000031159	ENSCGOG00000014573	Cottoperca_gobio
ENSLCRP00005027129	ENSLCRG00005010814	Larimichthys_crocea
ENSLBEP00000008087	ENSLBEG00000006238	Labrus_bergylta
ENSSLDP00000002589	ENSSLDG00000002070	Seriola_lalandi_dorsalis
ENSSDUP00000008805	ENSSDUG00000006467	Seriola_dumerili
ENSLCAP00010056832	ENSLCAG00010026526	Lates_calcarifer
ENSSMAP00000029228	ENSSMAG00000017892	Scophthalmus_maximus
ENSGACP00000013849	ENSGACG00000010479	Gasterosteus_aculeatus
ENSMALP00000026702	ENSMALG00000018537	Monopterus_albus
ENSMAMP00000010270	ENSMAMG00000006921	Mastacembelus_armatus
ENSATEP00000035982	ENSATEG00000024724	Anabas_testudineus
ENSAOCP00000004613	ENSAOCG00000008024	Amphiprion_ocellaris
ENSAPEP00000006268	ENSAPEG00000004527	Amphiprion_percula
ENSAPOP00000018333	ENSAPOG00000021676	Acanthochromis_polyacanthus
ENSSPAP00000003677	ENSSPAG00000002840	Stegastes_partitus
ENSPRNP00000050167	ENSPRNG00000023886	Parambassis_ranga
ENSXMAP00000032059	ENSXMAG00000009310	Xiphophorus_maculatus
ENSGAFP00000000711	ENSGAFG00000000519	Gambusia_affinis
ENSPMEP00000033323	ENSPMEG00000021776	Poecilia_mexicana
ENSPLAP00000022830	ENSPLAG00000007708	Poecilia_latipinna
ENSPFOP00000021967	ENSPFOG00000022257	Poecilia_formosa
ENSPREP00000006972	ENSPREG00000004786	Poecilia_reticulata
ENSFHEP00000030637	ENSFHEG00000016063	Fundulus_heteroclitus
ENSCVAP00000009089	ENSCVAG00000011000	Cyprinodon_variegatus
ENSKMAP00000020485	ENSKMAG00000015220	Kryptolebias_marmoratus
ENSORLP00000041516	ENSORLG00000026714	Oryzias_latipes_ASM223467v1
ENSORLP00020024137	ENSORLG00020005366	Oryzias_latipes_ASM223471v1
ENSORLP00015034506	ENSORLG00015020533	Oryzias_latipes_ASM223469v1
ENSOMEP00000012096	ENSOMEG00000013467	Oryzias_melastigma
ENSMZEP00005035898	ENSMZEG00005026803	Maylandia_zebra
ENSACLP00000011817	ENSACLG00000008077	Astatotilapia_calliptera
ENSPNYP00000020206	ENSPNYG00000015290	Pundamilia_nyererei
ENSHBUP00000004969	ENSHBUG00000006312	Haplochromis_burtoni
ENSNBRP00000011055	ENSNBRG00000008529	Neolamprologus_brichardi
ENSONIP00000018754	ENSONIG00000014898	Oreochromis_niloticus
ENSACIP00000001767	ENSACIG00000001445	Amphilophus_citrinellus
ENSGWIP00000032149	ENSGWIG00000016568	Gouania_willdenowi
ENSHCOP00000022696	ENSHCOG00000000683	Hippocampus_comes
ENSBSLP00000052833	ENSBSLG00000024945	Betta_splendens
ENSPMGP00000004509	ENSPMGG00000003822	Periophthalmus_magnuspinnatus
ENSTNIP00000014277	ENSTNIG00000011334	Tetraodon_nigroviridis
ENSGMOP00000014139	ENSGMOG00000013222	Gadus_morhua
ENSELUP00000018804	ENSELUG00000018241	Esox_lucius
ENSSFOP00015025929	ENSSFOG00015016672	Scleropages_formosus
ENSPKIP00000001574	ENSPKIG00000019824	Paramormyrops_kingsleyae
ENSPKIP00000011719	ENSPKIG00000018694	Paramormyrops_kingsleyae
ENSSFOP00015031908	ENSSFOG00015020438	Scleropages_formosus
ENSCHAP00000015259	ENSCHAG00000008183	Clupea_harengus
ENSDCDP00000024762	ENSDCDG00000018436	Denticeps_clupeoides
ENSAMXP00005035404	ENSAMXG00005016999	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000054328	ENSAMXG00000038862	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000032852	ENSPNAG00000021088	Pygocentrus_nattereri
ENSIPUP00000032647	ENSIPUG00000021946	Ictalurus_punctatus
ENSEEEP00000048333	ENSEEEG00000022762	Electrophorus_electricus
ENSLOCP00000006388	ENSLOCG00000005285	Lepisosteus_oculatus
ENSECRP00000034033	ENSECRG00000022992	Erpetoichthys_calabaricus
ENSCMIP00000026178	ENSCMIG00000011493	Callorhinchus_milii
