ENSJJAP00000001895	ENSJJAG00000002851	Jaculus_jaculus
ENSSCAP00000002048	ENSSCAG00000001780	Serinus_canaria
ENSPNYP00000028928	ENSPNYG00000021792	Pundamilia_nyererei
ENSECAP00000012132	ENSECAG00000014502	Equus_caballus
ENSAOWP00000000635	ENSAOWG00000000500	Apteryx_owenii
ENSGWIP00000056343	ENSGWIG00000026709	Gouania_willdenowi
ENSUMAP00000024110	ENSUMAG00000017564	Ursus_maritimus
ENSOANP00000016046	ENSOANG00000010121	Ornithorhynchus_anatinus
ENSSMAP00000031267	ENSSMAG00000019168	Scophthalmus_maximus
ENSPEMP00000010116	ENSPEMG00000011202	Peromyscus_maniculatus_bairdii
ENSCAFP00000002215	ENSCAFG00000001532	Canis_lupus_familiaris
ENSPSIP00000012958	ENSPSIG00000011600	Pelodiscus_sinensis
ENSPRNP00000043881	ENSPRNG00000021394	Parambassis_ranga
ENSAPEP00000030464	ENSAPEG00000021644	Amphiprion_percula
ENSGAFP00000022578	ENSGAFG00000015248	Gambusia_affinis
ENSACIP00000030902	ENSACIG00000023902	Amphilophus_citrinellus
ENSNVIP00000024768	ENSNVIG00000019180	Neovison_vison
ENSCAPP00000007499	ENSCAPG00000009416	Cavia_aperea
ENSAPOP00000034475	ENSAPOG00000023746	Acanthochromis_polyacanthus
ENSTRUP00000052187	ENSTRUG00000002191	Takifugu_rubripes	ENSTRUT00000053791
ENSPCAP00000014671	ENSPCAG00000015716	Procavia_capensis
ENSVVUP00000031380	ENSVVUG00000022834	Vulpes_vulpes
ENSAOCP00000027575	ENSAOCG00000016612	Amphiprion_ocellaris
ENSNBRP00000009635	ENSNBRG00000007509	Neolamprologus_brichardi
ENSPTEP00000008007	ENSPTEG00000009090	Piliocolobus_tephrosceles
ENSONIP00000016916	ENSONIG00000013453	Oreochromis_niloticus
ENSABRP00000021207	ENSABRG00000018017	Anser_brachyrhynchus
ENSLBEP00000027716	ENSLBEG00000020997	Labrus_bergylta
ENSHGLP00000017862	ENSHGLG00000012792	Heterocephalus_glaber_HetGla_female_1.0
ENSSSCP00000054147	ENSSSCG00000035730	Sus_scrofa_strain_reference
ENSGMOP00000005559	ENSGMOG00000005247	Gadus_morhua
ENSSTOP00000002870	ENSSTOG00000003224	Ictidomys_tridecemlineatus
ENSPKIP00000008278	ENSPKIG00000023846	Paramormyrops_kingsleyae
ENSFHEP00000026850	ENSFHEG00000009925	Fundulus_heteroclitus
ENSMMUP00000016310	ENSMMUG00000012426	Macaca_mulatta
ENSLSDP00000017862	ENSLSDG00000012762	Lonchura_striata_domestica
ENSSDUP00000008938	ENSSDUG00000006576	Seriola_dumerili	ENSSDUT00000009114
ENSRROP00000009142	ENSRROG00000028998	Rhinopithecus_roxellana
ENSCSEP00000014678	ENSCSEG00000009439	Cynoglossus_semilaevis
ENSNPEP00000008953	ENSNPEG00000006720	Nothoprocta_perdicaria
ENSMVIP00005013622	ENSMVIG00005009853	Manacus_vitellinus
ENSCHAP00000034893	ENSCHAG00000016598	Clupea_harengus
ENSPMAP00000003466	ENSPMAG00000003180	Petromyzon_marinus
ENSSDAP00000017290	ENSSDAG00000015650	Spermophilus_dauricus
ENSCSAP00000005422	ENSCSAG00000009169	Chlorocebus_sabaeus
ENSSMRP00000008612	ENSSMRG00000006897	Salvator_merianae
MGP_PahariEiJ_P0077912	MGP_PahariEiJ_G0028457	Mus_pahari_strain_PAHARI_EIJ
ENSORLP00020012447	ENSORLG00020013390	Oryzias_latipes_ASM223471v1
ENSPTRP00000035537	ENSPTRG00000020779	Pan_troglodytes
ENSSPUP00000013355	ENSSPUG00000010263	Sphenodon_punctatus
ENSHGLP00000025520	ENSHGLG00000018178	Heterocephalus_glaber_HetGla_female_1.0
ENSARWP00000011634	ENSARWG00000008063	Apteryx_rowi
ENSCCNP00000008778	ENSCCNG00000009250	Castor_canadensis
ENSFALP00000006725	ENSFALG00000006448	Ficedula_albicollis
ENSTGUP00000004765	ENSTGUG00000004621	Taeniopygia_guttata
ENSANAP00000023433	ENSANAG00000029465	Aotus_nancymaae
ENSPPAP00000030920	ENSPPAG00000038407	Pan_paniscus
ENSPMJP00000023948	ENSPMJG00000017642	Parus_major
ENSMALP00000026280	ENSMALG00000018245	Monopterus_albus	ENSMALT00000026761
