ENSLOCP00000020262	ENSLOCG00000016408	Lepisosteus_oculatus
ENSCAFP00000016735	ENSCAFG00000011373	Canis_lupus_familiaris
ENSIPUP00000035932	ENSIPUG00000024087	Ictalurus_punctatus
ENSCHIP00000012065	ENSCHIG00000013995	Capra_hircus
ENSAPLP00000020607	ENSAPLG00000007276	Anas_platyrhynchos_platyrhynchos
ENSPPYP00000000193	ENSPPYG00000000190	Pongo_abelii
ENSCPBP00000016887	ENSCPBG00000012419	Chrysemys_picta_bellii
ENSCJPP00005007874	ENSCJPG00005007148	Coturnix_japonica
ENSNVIP00000020504	ENSNVIG00000016034	Neovison_vison
ENSPTEP00000004309	ENSPTEG00000005055	Piliocolobus_tephrosceles
ENSCPUP00000026749	ENSCPUG00000017992	Calidris_pugnax
ENSJHYP00000004719	ENSJHYG00000003887	Junco_hyemalis
ENSMPUP00000003015	ENSMPUG00000003045	Mustela_putorius_furo
ENSACAP00000002394	ENSACAG00000002487	Anolis_carolinensis	ENSACAT00000002455
ENSMOCP00000025329	ENSMOCG00000021482	Microtus_ochrogaster
ENSXETP00000013780	ENSXETG00000000919	Xenopus_tropicalis
ENSABRP00000017982	ENSABRG00000015513	Anser_brachyrhynchus
ENSMODP00000006104	ENSMODG00000004959	Monodelphis_domestica
ENSNPEP00000002838	ENSNPEG00000002189	Nothoprocta_perdicaria
ENSCGRP00001016890	ENSCGRG00001017083	Cricetulus_griseus_CHOK1GS_HDv1
ENSAOWP00000005730	ENSAOWG00000003931	Apteryx_owenii
ENSPTRP00000051123	ENSPTRG00000002014	Pan_troglodytes
ENSAMXP00005015147	ENSAMXG00005008033	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSDAP00000000534	ENSSDAG00000000586	Spermophilus_dauricus
ENSSBOP00000035469	ENSSBOG00000033888	Saimiri_boliviensis_boliviensis
ENSPSIP00000008532	ENSPSIG00000007761	Pelodiscus_sinensis
ENSSMRP00000000443	ENSSMRG00000000418	Salvator_merianae	ENSSMRT00000000541
