ENSIPUP00000035560	ENSIPUG00000023836	Ictalurus_punctatus
ENSIPUP00000036647	ENSIPUG00000024541	Ictalurus_punctatus
ENSORLP00015018061	ENSORLG00015019098	Oryzias_latipes_ASM223469v1
ENSORLP00015033605	ENSORLG00015019103	Oryzias_latipes_ASM223469v1
ENSORLP00000038914	ENSORLG00000025438	Oryzias_latipes_ASM223467v1
ENSORLP00020001531	ENSORLG00020002233	Oryzias_latipes_ASM223471v1
ENSORLP00020035108	ENSORLG00020021935	Oryzias_latipes_ASM223471v1
ENSORLP00000036361	ENSORLG00000027319	Oryzias_latipes_ASM223467v1
ENSORLP00020030951	ENSORLG00020015722	Oryzias_latipes_ASM223471v1
ENSORLP00015026843	ENSORLG00015008652	Oryzias_latipes_ASM223469v1
ENSORLP00020019711	ENSORLG00020020716	Oryzias_latipes_ASM223471v1
