ENSCINP00000030120	ENSCING00000018496	Ciona_intestinalis	ENSCINT00000031081
ENSCSAVP00000008817	ENSCSAVG00000005231	Ciona_savignyi	ENSCSAVT00000008930
ENSHHUP00000031239	ENSHHUG00000019854	Hucho_hucho
ENSELUP00000015649	ENSELUG00000015592	Esox_lucius
ENSECRP00000032881	ENSECRG00000022275	Erpetoichthys_calabaricus
ENSOGAP00000018531	ENSOGAG00000034723	Otolemur_garnettii
ENSOGAP00000022009	ENSOGAG00000025900	Otolemur_garnettii
ENSMICP00000033809	ENSMICG00000028175	Microcebus_murinus
ENSMICP00000002459	ENSMICG00000002705	Microcebus_murinus
ENSOGAP00000012332	ENSOGAG00000013766	Otolemur_garnettii
ENSOGAP00000020677	ENSOGAG00000027259	Otolemur_garnettii
ENSOGAP00000022172	ENSOGAG00000028514	Otolemur_garnettii
ENSMICP00000044778	ENSMICG00000044913	Microcebus_murinus
ENSPSMP00000005787	ENSPSMG00000004399	Prolemur_simus
ENSMICP00000047271	ENSMICG00000045877	Microcebus_murinus
ENSPSMP00000014206	ENSPSMG00000010195	Prolemur_simus
ENSPCOP00000016698	ENSPCOG00000020127	Propithecus_coquereli
ENSOGAP00000016066	ENSOGAG00000031859	Otolemur_garnettii
ENSSBOP00000004603	ENSSBOG00000018955	Saimiri_boliviensis_boliviensis
ENSTSYP00000020645	ENSTSYG00000035178	Carlito_syrichta
ENSTSYP00000017031	ENSTSYG00000029312	Carlito_syrichta
ENSTSYP00000006361	ENSTSYG00000007004	Carlito_syrichta
ENSHGLP00100005947	ENSHGLG00100004483	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017729	ENSHGLG00000012678	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000000175	ENSHGLG00000000188	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007978	ENSHGLG00100005940	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000012541	ENSFDAG00000019888	Fukomys_damarensis
ENSCPOP00000028542	ENSCPOG00000011738	Cavia_porcellus
ENSCAPP00000009410	ENSCAPG00000010882	Cavia_aperea
ENSCLAP00000016252	ENSCLAG00000011185	Chinchilla_lanigera
ENSODEP00000015336	ENSODEG00000011316	Octodon_degus
ENSODEP00000026070	ENSODEG00000019436	Octodon_degus
ENSODEP00000026888	ENSODEG00000020382	Octodon_degus
ENSODEP00000026324	ENSODEG00000019735	Octodon_degus
ENSODEP00000025036	ENSODEG00000018318	Octodon_degus
ENSODEP00000025281	ENSODEG00000018496	Octodon_degus
ENSODEP00000026783	ENSODEG00000020261	Octodon_degus
ENSODEP00000026638	ENSODEG00000020093	Octodon_degus
ENSODEP00000026724	ENSODEG00000020189	Octodon_degus
ENSODEP00000026363	ENSODEG00000019782	Octodon_degus
ENSODEP00000026585	ENSODEG00000020035	Octodon_degus
ENSODEP00000025390	ENSODEG00000018632	Octodon_degus
ENSODEP00000026403	ENSODEG00000019828	Octodon_degus
ENSODEP00000006748	ENSODEG00000005047	Octodon_degus
ENSMLUP00000013741	ENSMLUG00000015088	Myotis_lucifugus
ENSSARP00000012252	ENSSARG00000013572	Sorex_araneus
ENSBIXP00005002833	ENSBIXG00005009133	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005000757	ENSBIXG00005029871	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000000039	ENSBIXG00000030341	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000024788	ENSBTAG00000018628	Bos_taurus
ENSBMUP00000010499	ENSBMUG00000008110	Bos_mutus
ENSCHIP00000001787	ENSCHIG00000003692	Capra_hircus
ENSCHIP00000005373	ENSCHIG00000009503	Capra_hircus
ENSCHIP00000002479	ENSCHIG00000005776	Capra_hircus
ENSOARP00000006908	ENSOARG00000006456	Ovis_aries
ENSCHIP00000011774	ENSCHIG00000013811	Capra_hircus
ENSSSCP00000045632	ENSSSCG00000027573	Sus_scrofa_strain_reference
ENSMPUP00000018854	ENSMPUG00000018974	Mustela_putorius_furo
ENSTTRP00000003292	ENSTTRG00000003514	Tursiops_truncatus
ENSCHIP00000003912	ENSCHIG00000008135	Capra_hircus
ENSPVAP00000011762	ENSPVAG00000012478	Pteropus_vampyrus
ENSUAMP00000002840	ENSUAMG00000002601	Ursus_americanus
ENSUMAP00000027257	ENSUMAG00000019799	Ursus_maritimus
ENSAMEP00000001707	ENSAMEG00000001632	Ailuropoda_melanoleuca
