ENSLCOP00000006400	ENSLCOG00000004749	Lepidothrix_coronata
ENSMVIP00005013626	ENSMVIG00005009805	Manacus_vitellinus
ENSCCEP00000013406	ENSCCEG00000012902	Cyanistes_caeruleus
ENSCCEP00000006683	ENSCCEG00000007115	Cyanistes_caeruleus
ENSSCAP00000014271	ENSSCAG00000010493	Serinus_canaria
ENSTGUP00000009901	ENSTGUG00000009599	Taeniopygia_guttata
ENSJHYP00000018667	ENSJHYG00000014198	Junco_hyemalis
ENSZALP00000000344	ENSZALG00000000103	Zonotrichia_albicollis
ENSSCAP00000014276	ENSSCAG00000010498	Serinus_canaria
ENSLSDP00000015311	ENSLSDG00000011036	Lonchura_striata_domestica
ENSFALP00000010580	ENSFALG00000010146	Ficedula_albicollis
ENSGALP00000012944	ENSGALG00000007981	Gallus_gallus
ENSMGAP00000010412	ENSMGAG00000010054	Meleagris_gallopavo
ENSCJPP00005027036	ENSCJPG00005020996	Coturnix_japonica
ENSNMEP00000000313	ENSNMEG00000000450	Numida_meleagris
ENSMUNP00000006402	ENSMUNG00000005163	Melopsittacus_undulatus
ENSCPUP00000009340	ENSCPUG00000006650	Calidris_pugnax
ENSCPUP00000009337	ENSCPUG00000006647	Calidris_pugnax
ENSCPGP00000027807	ENSCPGG00000019177	Calidris_pygmaea
ENSABRP00000009287	ENSABRG00000008307	Anser_brachyrhynchus
ENSAPLP00000002656	ENSAPLG00000003181	Anas_platyrhynchos_platyrhynchos
ENSNPEP00000011634	ENSNPEG00000008744	Nothoprocta_perdicaria
ENSNPEP00000011637	ENSNPEG00000008745	Nothoprocta_perdicaria
ENSAOWP00000009185	ENSAOWG00000006273	Apteryx_owenii
ENSAHAP00000028044	ENSAHAG00000019487	Apteryx_haastii
ENSARWP00000019225	ENSARWG00000013181	Apteryx_rowi
ENSDNVP00000004485	ENSDNVG00000003182	Dromaius_novaehollandiae
ENSCPRP00005001137	ENSCPRG00005000877	Crocodylus_porosus
ENSCABP00000009365	ENSCABG00000007043	Chelonoidis_abingdonii
ENSGAGP00000013897	ENSGAGG00000010585	Gopherus_agassizii
ENSCPBP00000036802	ENSCPBG00000025538	Chrysemys_picta_bellii
ENSPSIP00000014012	ENSPSIG00000012575	Pelodiscus_sinensis
ENSSPUP00000017024	ENSSPUG00000013176	Sphenodon_punctatus
ENSOANP00000032955	ENSOANG00000029510	Ornithorhynchus_anatinus
ENSCCNP00000004016	ENSCCNG00000004246	Castor_canadensis
ENSDORP00000002515	ENSDORG00000002678	Dipodomys_ordii
ENSSTOP00000013910	ENSSTOG00000015540	Ictidomys_tridecemlineatus
ENSMMMP00000006340	ENSMMMG00000005687	Marmota_marmota_marmota
ENSUPAP00010022336	ENSUPAG00010017740	Urocitellus_parryii
ENSSDAP00000017365	ENSSDAG00000015745	Spermophilus_dauricus
ENSMSIP00000002073	ENSMSIG00000001974	Mus_spicilegus
MGP_SPRETEiJ_P0091871	MGP_SPRETEiJ_G0033465	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000034776	ENSMUSG00000032245	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0088250	MGP_CAROLIEiJ_G0032327	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000035915	ENSRNOG00000007164	Rattus_norvegicus
ENSMUGP00000006585	ENSMUGG00000006075	Meriones_unguiculatus
ENSCGRP00015027942	ENSCGRG00015021201	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001015839	ENSCGRG00001016348	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000004749	ENSCGRG00000003488	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000008022	ENSMAUG00000009546	Mesocricetus_auratus
ENSMOCP00000026068	ENSMOCG00000021992	Microtus_ochrogaster
ENSPEMP00000037133	ENSPEMG00000030484	Peromyscus_maniculatus_bairdii
ENSNGAP00000026073	ENSNGAG00000023832	Nannospalax_galili
ENSJJAP00000025138	ENSJJAG00000024405	Jaculus_jaculus
ENSHGLP00000025206	ENSHGLG00000017958	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100017714	ENSHGLG00100013070	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009050	ENSFDAG00000017155	Fukomys_damarensis
ENSCPOP00000006561	ENSCPOG00000007282	Cavia_porcellus
ENSCAPP00000014724	ENSCAPG00000015030	Cavia_aperea
ENSODEP00000021591	ENSODEG00000015888	Octodon_degus
ENSCLAP00000010161	ENSCLAG00000007035	Chinchilla_lanigera
ENSPCOP00000028527	ENSPCOG00000026911	Propithecus_coquereli
ENSMICP00000044906	ENSMICG00000016990	Microcebus_murinus
ENSPSMP00000002677	ENSPSMG00000002045	Prolemur_simus
ENSOGAP00000012667	ENSOGAG00000014142	Otolemur_garnettii
ENSGGOP00000049749	ENSGGOG00000007840	Gorilla_gorilla
ENSP00000249806	ENSG00000128973	Homo_sapiens
ENSPPYP00000007473	ENSPPYG00000006591	Pongo_abelii
ENSPPAP00000014696	ENSPPAG00000030498	Pan_paniscus
ENSNLEP00000027953	ENSNLEG00000013178	Nomascus_leucogenys
ENSRROP00000017909	ENSRROG00000033033	Rhinopithecus_roxellana
ENSRBIP00000008450	ENSRBIG00000028123	Rhinopithecus_bieti
ENSCANP00000038146	ENSCANG00000042765	Colobus_angolensis_palliatus
ENSPTEP00000033733	ENSPTEG00000032138	Piliocolobus_tephrosceles
ENSTGEP00000032084	ENSTGEG00000025658	Theropithecus_gelada
ENSMFAP00000022544	ENSMFAG00000042975	Macaca_fascicularis
ENSMMUP00000052286	ENSMMUG00000011703	Macaca_mulatta
ENSCATP00000000797	ENSCATG00000003907	Cercocebus_atys
ENSMNEP00000022132	ENSMNEG00000034743	Macaca_nemestrina
ENSPANP00000034719	ENSPANG00000016585	Papio_anubis
ENSMLEP00000015169	ENSMLEG00000031755	Mandrillus_leucophaeus
ENSCSAP00000009639	ENSCSAG00000013477	Chlorocebus_sabaeus
ENSCCAP00000030870	ENSCCAG00000033490	Cebus_capucinus_imitator
ENSCJAP00000060954	ENSCJAG00000002250	Callithrix_jacchus
ENSSBOP00000039502	ENSSBOG00000035779	Saimiri_boliviensis_boliviensis
ENSANAP00000027387	ENSANAG00000031462	Aotus_nancymaae
ENSTSYP00000019258	ENSTSYG00000025814	Carlito_syrichta
ENSTBEP00000013764	ENSTBEG00000015859	Tupaia_belangeri
ENSEASP00005008724	ENSEASG00005006256	Equus_asinus_asinus
ENSECAP00000014672	ENSECAG00000016991	Equus_caballus
ENSMLUP00000008168	ENSMLUG00000008964	Myotis_lucifugus
ENSTTRP00000015188	ENSTTRG00000016026	Tursiops_truncatus
ENSSSCP00000005332	ENSSSCG00000004957	Sus_scrofa_strain_reference
ENSBIXP00000039891	ENSBIXG00000023906	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000007315	ENSBTAG00000005565	Bos_taurus
ENSBMUP00000008393	ENSBMUG00000006571	Bos_mutus
ENSBBBP00000000300	ENSBBBG00000001505	Bison_bison_bison
ENSCHIP00000028732	ENSCHIG00000024128	Capra_hircus
