ENSOPRP00000005567	ENSOPRG00000006071	Ochotona_princeps
ENSPPYP00000018518	ENSPPYG00000016556	Pongo_abelii
ENSMICP00000041965	ENSMICG00000045729	Microcebus_murinus
ENSRBIP00000030717	ENSRBIG00000039198	Rhinopithecus_bieti
ENSMUGP00000028694	ENSMUGG00000023782	Meriones_unguiculatus
ENSETEP00000014482	ENSETEG00000017823	Echinops_telfairi
ENSPPRP00000011374	ENSPPRG00000005249	Panthera_pardus
ENSCPOP00000018312	ENSCPOG00000026871	Cavia_porcellus
ENSANAP00000002610	ENSANAG00000018843	Aotus_nancymaae
ENSPCOP00000012662	ENSPCOG00000017925	Propithecus_coquereli
ENSPANP00000012532	ENSPANG00000021277	Papio_anubis
ENSMMMP00000027974	ENSMMMG00000024384	Marmota_marmota_marmota
ENSTTRP00000001843	ENSTTRG00000001964	Tursiops_truncatus
ENSMLEP00000012154	ENSMLEG00000030241	Mandrillus_leucophaeus
ENSBMUP00000027608	ENSBMUG00000020677	Bos_mutus
ENSEASP00005031390	ENSEASG00005021366	Equus_asinus_asinus
ENSUMAP00000013463	ENSUMAG00000009937	Ursus_maritimus
ENSJJAP00000022423	ENSJJAG00000022488	Jaculus_jaculus
ENSCAFP00020009064	ENSCAFG00020007333	Canis_lupus_dingo
ENSCAFP00000002073	ENSCAFG00000001438	Canis_lupus_familiaris
ENSHGLP00000027065	ENSHGLG00000019247	Heterocephalus_glaber_HetGla_female_1.0
ENSTGEP00000037133	ENSTGEG00000029549	Theropithecus_gelada
ENSMAUP00000012842	ENSMAUG00000013039	Mesocricetus_auratus
ENSMFAP00000023201	ENSMFAG00000043273	Macaca_fascicularis
ENSBBBP00000019706	ENSBBBG00000013157	Bison_bison_bison
ENSNVIP00000017672	ENSNVIG00000013829	Neovison_vison
ENSMUSP00000110349	ENSMUSG00000024011	Mus_musculus_strain_reference_(CL57BL6)
ENSCCNP00000003595	ENSCCNG00000003844	Castor_canadensis	ENSCCNT00000004723
ENSCANP00000012129	ENSCANG00000029449	Colobus_angolensis_palliatus
ENSOARP00000015153	ENSOARG00000014123	Ovis_aries
ENSECAP00000022379	ENSECAG00000024845	Equus_caballus
ENSBTAP00000002703	ENSBTAG00000002092	Bos_taurus
ENSP00000497550	ENSG00000164530	Homo_sapiens
ENSTSYP00000019772	ENSTSYG00000035086	Carlito_syrichta
MGP_CAROLIEiJ_P0043744	MGP_CAROLIEiJ_G0021342	Mus_caroli_strain_CAROLI_EIJ
ENSVVUP00000036885	ENSVVUG00000026401	Vulpes_vulpes
ENSVPAP00000011575	ENSVPAG00000012451	Vicugna_pacos
ENSBIXP00000005966	ENSBIXG00000012106	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSBOP00000000755	ENSSBOG00000003322	Saimiri_boliviensis_boliviensis
ENSCHOP00000003572	ENSCHOG00000004041	Choloepus_hoffmanni
ENSPVAP00000013790	ENSPVAG00000014629	Pteropus_vampyrus
ENSNLEP00000013216	ENSNLEG00000010853	Nomascus_leucogenys
ENSPTRP00000030941	ENSPTRG00000018114	Pan_troglodytes
ENSEEUP00000006083	ENSEEUG00000006661	Erinaceus_europaeus
ENSNGAP00000004386	ENSNGAG00000005752	Nannospalax_galili
ENSGGOP00000022049	ENSGGOG00000003906	Gorilla_gorilla
ENSHGLP00100025509	ENSHGLG00100018710	Heterocephalus_glaber_HetGla_1.0
ENSPPAP00000029388	ENSPPAG00000037700	Pan_paniscus
ENSPTIP00000013805	ENSPTIG00000013417	Panthera_tigris_altaica
ENSETEP00000013449	ENSETEG00000016574	Echinops_telfairi
ENSMLUP00000009850	ENSMLUG00000010779	Myotis_lucifugus
ENSAMEP00000001186	ENSAMEG00000001128	Ailuropoda_melanoleuca
ENSMNEP00000006530	ENSMNEG00000027549	Macaca_nemestrina
ENSOGAP00000002957	ENSOGAG00000003312	Otolemur_garnettii
ENSCGRP00000019406	ENSCGRG00000014139	Cricetulus_griseus_CriGri_1.0
ENSRNOP00000000632	ENSRNOG00000000525	Rattus_norvegicus
ENSCLAP00000021130	ENSCLAG00000014479	Chinchilla_lanigera
ENSCHIP00000008802	ENSCHIG00000011873	Capra_hircus
ENSSDAP00000006977	ENSSDAG00000006431	Spermophilus_dauricus
ENSTBEP00000008787	ENSTBEG00000010154	Tupaia_belangeri
ENSFCAP00000019041	ENSFCAG00000028703	Felis_catus
ENSRROP00000017541	ENSRROG00000032859	Rhinopithecus_roxellana
ENSCGRP00015032061	ENSCGRG00015024202	Cricetulus_griseus_CriGri-PICR
MGP_PahariEiJ_P0056038	MGP_PahariEiJ_G0023660	Mus_pahari_strain_PAHARI_EIJ
ENSSTOP00000018973	ENSSTOG00000002382	Ictidomys_tridecemlineatus
ENSUAMP00000000254	ENSUAMG00000000302	Ursus_americanus
ENSPSMP00000016379	ENSPSMG00000011660	Prolemur_simus
ENSBIXP00005004900	ENSBIXG00005010725	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCSAP00000006594	ENSCSAG00000010367	Chlorocebus_sabaeus
ENSMOCP00000027435	ENSMOCG00000022919	Microtus_ochrogaster
ENSPEMP00000007643	ENSPEMG00000009543	Peromyscus_maniculatus_bairdii
ENSLAFP00000003729	ENSLAFG00000004471	Loxodonta_africana
ENSPTEP00000034819	ENSPTEG00000032987	Piliocolobus_tephrosceles
ENSSARP00000010554	ENSSARG00000011688	Sorex_araneus
MGP_SPRETEiJ_P0045653	MGP_SPRETEiJ_G0022255	Mus_spretus_strain_SPRET/EiJ
ENSCATP00000024932	ENSCATG00000035965	Cercocebus_atys
ENSCJAP00000009631	ENSCJAG00000005267	Callithrix_jacchus
ENSSSCP00000001705	ENSSSCG00000001570	Sus_scrofa_strain_reference
ENSCGRP00001005748	ENSCGRG00001007606	Cricetulus_griseus_CHOK1GS_HDv1
ENSCCAP00000029141	ENSCCAG00000032608	Cebus_capucinus_imitator
ENSUPAP00010020301	ENSUPAG00010016051	Urocitellus_parryii
ENSDORP00000007349	ENSDORG00000007840	Dipodomys_ordii	ENSDORT00000007839
ENSMMUP00000028941	ENSMMUG00000021977	Macaca_mulatta
