ENSMMMP00000013011	ENSMMMG00000011625	Marmota_marmota_marmota
ENSUPAP00010019842	ENSUPAG00010015708	Urocitellus_parryii
ENSMAUP00000000390	ENSMAUG00000000344	Mesocricetus_auratus
ENSPEMP00000011069	ENSPEMG00000011835	Peromyscus_maniculatus_bairdii
ENSMUGP00000007844	ENSMUGG00000007114	Meriones_unguiculatus
ENSMAUP00000002687	ENSMAUG00000002398	Mesocricetus_auratus
ENSPEMP00000004097	ENSPEMG00000006219	Peromyscus_maniculatus_bairdii
MGP_CAROLIEiJ_P0092724	MGP_CAROLIEiJ_G0033407	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0096486	MGP_SPRETEiJ_G0034576	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000073355	ENSMUSG00000060726	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0090338	MGP_PahariEiJ_G0031947	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000074123	ENSRNOG00000053780	Rattus_norvegicus
ENSNMEP00000012372	ENSNMEG00000011466	Numida_meleagris
