ENSEEEP00000011805	ENSEEEG00000005944	Electrophorus_electricus
ENSCHAP00000055455	ENSCHAG00000025114	Clupea_harengus
ENSSMAP00000000921	ENSSMAG00000000577	Scophthalmus_maximus
ENSCSEP00000027324	ENSCSEG00000017459	Cynoglossus_semilaevis
ENSACIP00000010006	ENSACIG00000007849	Amphilophus_citrinellus
ENSNBRP00000018915	ENSNBRG00000014592	Neolamprologus_brichardi
ENSFHEP00000033440	ENSFHEG00000020582	Fundulus_heteroclitus
ENSKMAP00000019507	ENSKMAG00000014514	Kryptolebias_marmoratus
ENSOMEP00000001778	ENSOMEG00000002682	Oryzias_melastigma	ENSOMET00000013626
ENSORLP00020007233	ENSORLG00020008108	Oryzias_latipes_ASM223471v1
ENSTRUP00000053645	ENSTRUG00000024675	Takifugu_rubripes
ENSHCOP00000025919	ENSHCOG00000016420	Hippocampus_comes
ENSPMGP00000008898	ENSPMGG00000007356	Periophthalmus_magnuspinnatus
ENSSFOP00015007493	ENSSFOG00015004925	Scleropages_formosus
