ENSPTRP00000037502	ENSPTRG00000021842	Pan_troglodytes	ENSPTRT00000040584
ENSPPAP00000038727	ENSPPAG00000042083	Pan_paniscus	ENSPPAT00000061633
ENSP00000366273	ENSG00000147117	Homo_sapiens	ENST00000377073
ENSGGOP00000012847	ENSGGOG00000013173	Gorilla_gorilla	ENSGGOT00000013218
ENSPPYP00000022711	ENSPPYG00000020291	Pongo_abelii	ENSPPYT00000023673
ENSNLEP00000004025	ENSNLEG00000003324	Nomascus_leucogenys	ENSNLET00000004222
ENSCANP00000038578	ENSCANG00000042971	Colobus_angolensis_palliatus
ENSPTEP00000009236	ENSPTEG00000010482	Piliocolobus_tephrosceles
ENSRROP00000007259	ENSRROG00000027232	Rhinopithecus_roxellana
ENSRBIP00000029323	ENSRBIG00000038542	Rhinopithecus_bieti
ENSMFAP00000016171	ENSMFAG00000031278	Macaca_fascicularis
ENSMMUP00000011236	ENSMMUG00000008566	Macaca_mulatta
ENSMNEP00000030760	ENSMNEG00000038828	Macaca_nemestrina
ENSTGEP00000006570	ENSTGEG00000005398	Theropithecus_gelada
ENSPANP00000005615	ENSPANG00000011866	Papio_anubis
ENSMLEP00000031529	ENSMLEG00000039982	Mandrillus_leucophaeus
ENSCATP00000032359	ENSCATG00000039253	Cercocebus_atys
ENSCSAP00000009795	ENSCSAG00000013645	Chlorocebus_sabaeus
ENSCCAP00000040080	ENSCCAG00000037848	Cebus_capucinus_imitator
ENSSBOP00000038620	ENSSBOG00000035370	Saimiri_boliviensis_boliviensis
ENSCJAP00000022726	ENSCJAG00000012396	Callithrix_jacchus
ENSANAP00000033268	ENSANAG00000034310	Aotus_nancymaae
ENSTSYP00000008779	ENSTSYG00000009581	Carlito_syrichta
ENSMICP00000015892	ENSMICG00000017445	Microcebus_murinus
ENSPSMP00000022620	ENSPSMG00000015998	Prolemur_simus
ENSPCOP00000021802	ENSPCOG00000022946	Propithecus_coquereli
ENSOGAP00000021896	ENSOGAG00000016607	Otolemur_garnettii
ENSCGRP00000005638	ENSCGRG00000004129	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015004561	ENSCGRG00015003612	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001009916	ENSCGRG00001011925	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000034435	ENSPEMG00000027777	Peromyscus_maniculatus_bairdii
ENSNGAP00000013212	ENSNGAG00000014861	Nannospalax_galili
ENSJJAP00000018454	ENSJJAG00000019723	Jaculus_jaculus
ENSSTOP00000032594	ENSSTOG00000032405	Ictidomys_tridecemlineatus
ENSUPAP00010011082	ENSUPAG00010008982	Urocitellus_parryii
ENSSDAP00000015572	ENSSDAG00000014056	Spermophilus_dauricus
ENSMMMP00000013926	ENSMMMG00000012411	Marmota_marmota_marmota
ENSCLAP00000002337	ENSCLAG00000001691	Chinchilla_lanigera
ENSODEP00000011801	ENSODEG00000008760	Octodon_degus
ENSCPOP00000026759	ENSCPOG00000035046	Cavia_porcellus
ENSHGLP00000001899	ENSHGLG00000001450	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003124	ENSHGLG00100002389	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018982	ENSFDAG00000009449	Fukomys_damarensis
ENSOCUP00000026840	ENSOCUG00000029541	Oryctolagus_cuniculus
ENSUAMP00000022061	ENSUAMG00000017373	Ursus_americanus
ENSUMAP00000010806	ENSUMAG00000008138	Ursus_maritimus
ENSAMEP00000013728	ENSAMEG00000013046	Ailuropoda_melanoleuca
ENSNVIP00000022320	ENSNVIG00000017417	Neovison_vison
ENSMPUP00000013236	ENSMPUG00000013335	Mustela_putorius_furo
ENSCAFP00020027276	ENSCAFG00020021396	Canis_lupus_dingo
ENSCAFP00000044811	ENSCAFG00000045969	Canis_lupus_familiaris
ENSVVUP00000023855	ENSVVUG00000017508	Vulpes_vulpes
ENSPTIP00000019774	ENSPTIG00000017463	Panthera_tigris_altaica
ENSPPRP00000015084	ENSPPRG00000007771	Panthera_pardus
ENSFCAP00000038374	ENSFCAG00000034095	Felis_catus
ENSTTRP00000001290	ENSTTRG00000001373	Tursiops_truncatus
ENSVPAP00000001390	ENSVPAG00000001510	Vicugna_pacos
ENSSSCP00000025332	ENSSSCG00000012272	Sus_scrofa_strain_reference
ENSCHIP00000020237	ENSCHIG00000018961	Capra_hircus
ENSOARP00000014267	ENSOARG00000013310	Ovis_aries
ENSBIXP00005001916	ENSBIXG00005008360	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000027835	ENSBIXG00000008801	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000034830	ENSBMUG00000025929	Bos_mutus
ENSECAP00000018678	ENSECAG00000021242	Equus_caballus
ENSBTAP00000049039	ENSBTAG00000038589	Bos_taurus
ENSDNOP00000018698	ENSDNOG00000030663	Dasypus_novemcinctus
ENSCHOP00000008825	ENSCHOG00000009969	Choloepus_hoffmanni
ENSPCAP00000003670	ENSPCAG00000003964	Procavia_capensis
