ENSTBEP00000007272	ENSTBEG00000008369	Tupaia_belangeri
ENSOGAP00000011821	ENSOGAG00000013191	Otolemur_garnettii
ENSHGLP00100001788	ENSHGLG00100001392	Heterocephalus_glaber_HetGla_1.0
ENSCGRP00000009864	ENSCGRG00000007225	Cricetulus_griseus_CriGri_1.0
ENSOCUP00000006947	ENSOCUG00000008038	Oryctolagus_cuniculus
ENSAMEP00000000930	ENSAMEG00000000902	Ailuropoda_melanoleuca
ENSEEUP00000010835	ENSEEUG00000011839	Erinaceus_europaeus
ENSDNOP00000012419	ENSDNOG00000016006	Dasypus_novemcinctus
ENSETEP00000010884	ENSETEG00000013418	Echinops_telfairi
ENSMEUP00000000339	ENSMEUG00000000359	Notamacropus_eugenii
ENSNMEP00000026322	ENSNMEG00000022211	Numida_meleagris
ENSMGAP00000009954	ENSMGAG00000009612	Meleagris_gallopavo
ENSAPLP00000010556	ENSAPLG00000010831	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000015293	ENSLSDG00000010999	Lonchura_striata_domestica
ENSTGUP00000009381	ENSTGUG00000009073	Taeniopygia_guttata
ENSSCAP00000022663	ENSSCAG00000016248	Serinus_canaria
ENSJHYP00000016332	ENSJHYG00000012381	Junco_hyemalis
ENSPMJP00000025104	ENSPMJG00000018406	Parus_major
ENSLCOP00000023223	ENSLCOG00000016290	Lepidothrix_coronata
ENSCPGP00000024853	ENSCPGG00000017075	Calidris_pygmaea
ENSCPUP00000007083	ENSCPUG00000005002	Calidris_pugnax
ENSMUNP00000009957	ENSMUNG00000007882	Melopsittacus_undulatus
ENSDNVP00000025011	ENSDNVG00000017362	Dromaius_novaehollandiae
ENSNPEP00000020215	ENSNPEG00000015027	Nothoprocta_perdicaria
ENSCPRP00005019748	ENSCPRG00005013750	Crocodylus_porosus
ENSPSIP00000002990	ENSPSIG00000002895	Pelodiscus_sinensis
ENSSMRP00000023481	ENSSMRG00000018228	Salvator_merianae
ENSGAGP00000024082	ENSGAGG00000017619	Gopherus_agassizii	ENSGAGT00000027425
ENSCABP00000024502	ENSCABG00000018026	Chelonoidis_abingdonii	ENSCABT00000026850
ENSCPBP00000004030	ENSCPBG00000003283	Chrysemys_picta_bellii
ENSSPUP00000007347	ENSSPUG00000005529	Sphenodon_punctatus
ENSXETP00000051634	ENSXETG00000018043	Xenopus_tropicalis
ENSLACP00000012930	ENSLACG00000011387	Latimeria_chalumnae
ENSAMXP00000043736	ENSAMXG00000007277	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005005677	ENSAMXG00005003460	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000015613	ENSPNAG00000021682	Pygocentrus_nattereri
ENSIPUP00000029006	ENSIPUG00000019607	Ictalurus_punctatus
ENSEEEP00000023074	ENSEEEG00000011195	Electrophorus_electricus
ENSDARP00000087859	ENSDARG00000063732	Danio_rerio
ENSDCDP00000060381	ENSDCDG00000034677	Denticeps_clupeoides
ENSHHUP00000056957	ENSHHUG00000033970	Hucho_hucho
ENSELUP00000042092	ENSELUG00000023192	Esox_lucius
ENSGMOP00000004383	ENSGMOG00000004113	Gadus_morhua
ENSAOCP00000020145	ENSAOCG00000000142	Amphiprion_ocellaris
ENSAPEP00000031919	ENSAPEG00000022643	Amphiprion_percula
ENSSPAP00000011658	ENSSPAG00000008821	Stegastes_partitus
ENSGWIP00000042772	ENSGWIG00000021426	Gouania_willdenowi
ENSPLAP00000023320	ENSPLAG00000008647	Poecilia_latipinna
ENSPFOP00000014353	ENSPFOG00000014118	Poecilia_formosa
ENSPREP00000008071	ENSPREG00000005502	Poecilia_reticulata
ENSXMAP00000026778	ENSXMAG00000023835	Xiphophorus_maculatus
ENSXCOP00000002265	ENSXCOG00000001803	Xiphophorus_couchianus
ENSGAFP00000006299	ENSGAFG00000004213	Gambusia_affinis
ENSFHEP00000006304	ENSFHEG00000007441	Fundulus_heteroclitus
ENSKMAP00000021679	ENSKMAG00000016087	Kryptolebias_marmoratus
ENSORLP00015013771	ENSORLG00015014695	Oryzias_latipes_ASM223469v1
ENSORLP00020034209	ENSORLG00020020584	Oryzias_latipes_ASM223471v1
ENSORLP00000045289	ENSORLG00000024999	Oryzias_latipes_ASM223467v1
ENSOMEP00000024379	ENSOMEG00000004995	Oryzias_melastigma
ENSCSEP00000004490	ENSCSEG00000002906	Cynoglossus_semilaevis
ENSPMGP00000000920	ENSPMGG00000000842	Periophthalmus_magnuspinnatus
