ENSCAFP00020017750	ENSCAFG00020014211	Canis_lupus_dingo
ENSMUGP00000006848	ENSMUGG00000006315	Meriones_unguiculatus
ENSCATP00000032017	ENSCATG00000039107	Cercocebus_atys
ENSPMGP00000026986	ENSPMGG00000021780	Periophthalmus_magnuspinnatus
ENSAMXP00005053095	ENSAMXG00005023823	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSFCAP00000045136	ENSFCAG00000046658	Felis_catus
ENSCJAP00000054643	ENSCJAG00000038934	Callithrix_jacchus
ENSPANP00000045369	ENSPANG00000035859	Papio_anubis
ENSLCRP00005007109	ENSLCRG00005003534	Larimichthys_crocea
ENSGAFP00000011961	ENSGAFG00000008107	Gambusia_affinis	ENSGAFT00000012085
ENSAMXP00000042932	ENSAMXG00000032423	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPEMP00000032743	ENSPEMG00000028548	Peromyscus_maniculatus_bairdii
ENSSTOP00000029839	ENSSTOG00000034367	Ictidomys_tridecemlineatus
ENSAMXP00000043838	ENSAMXG00000037207	Astyanax_mexicanus_Astyanax_mexicanus-2.0
MGP_PahariEiJ_P0083381	MGP_PahariEiJ_G0029845	Mus_pahari_strain_PAHARI_EIJ
ENSCPGP00000011637	ENSCPGG00000008300	Calidris_pygmaea
ENSFHEP00000010315	ENSFHEG00000011610	Fundulus_heteroclitus	ENSFHET00000016999
MGP_SPRETEiJ_P0034800	MGP_SPRETEiJ_G0018937	Mus_spretus_strain_SPRET/EiJ
ENSPCIP00000018730	ENSPCIG00000014319	Phascolarctos_cinereus
ENSORLP00015014987	ENSORLG00015015888	Oryzias_latipes_ASM223469v1
ENSSFOP00015006222	ENSSFOG00015004080	Scleropages_formosus
ENSTRUP00000055638	ENSTRUG00000022970	Takifugu_rubripes
ENSDCDP00000008285	ENSDCDG00000004237	Denticeps_clupeoides
ENSHGLP00000014045	ENSHGLG00000010029	Heterocephalus_glaber_HetGla_female_1.0
ENSAHAP00000007203	ENSAHAG00000005413	Apteryx_haastii
ENSJHYP00000005136	ENSJHYG00000004204	Junco_hyemalis
ENSIPUP00000007426	ENSIPUG00000005128	Ictalurus_punctatus
ENSAPOP00000010873	ENSAPOG00000013376	Acanthochromis_polyacanthus
ENSOCUP00000037756	ENSOCUG00000036688	Oryctolagus_cuniculus
ENSGGOP00000038668	ENSGGOG00000042465	Gorilla_gorilla
ENSATEP00000019152	ENSATEG00000013340	Anabas_testudineus
ENSKMAP00000014152	ENSKMAG00000010612	Kryptolebias_marmoratus	ENSKMAT00000014363
ENSLCAP00010039428	ENSLCAG00010018421	Lates_calcarifer
ENSNLEP00000040174	ENSNLEG00000035486	Nomascus_leucogenys
ENSEASP00005031609	ENSEASG00005021517	Equus_asinus_asinus
ENSDNVP00000016988	ENSDNVG00000011872	Dromaius_novaehollandiae
ENSBMUP00000002895	ENSBMUG00000002296	Bos_mutus
ENSMSIP00000011181	ENSMSIG00000009799	Mus_spicilegus
