ENSVURP00010003785	ENSVURG00010002998	Vombatus_ursinus	ENSVURT00010004288
ENSPCIP00000038105	ENSPCIG00000028052	Phascolarctos_cinereus	ENSPCIT00000046895
ENSMEUP00000013217	ENSMEUG00000014476	Notamacropus_eugenii	ENSMEUT00000014524
ENSSHAP00000018692	ENSSHAG00000015868	Sarcophilus_harrisii	ENSSHAT00000018846
ENSMODP00000047008	ENSMODG00000015312	Monodelphis_domestica	ENSMODT00000083642
ENSTTRP00000002652	ENSTTRG00000002829	Tursiops_truncatus
ENSVPAP00000008400	ENSVPAG00000009029	Vicugna_pacos
ENSBIXP00005019554	ENSBIXG00005022780	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000037069	ENSBIXG00000003812	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000017541	ENSBTAG00000013180	Bos_taurus
ENSBMUP00000022570	ENSBMUG00000016987	Bos_mutus
ENSBBBP00000019975	ENSBBBG00000013500	Bison_bison_bison
ENSCHIP00000013444	ENSCHIG00000014866	Capra_hircus
ENSOARP00000001595	ENSOARG00000001527	Ovis_aries
ENSSSCP00000017581	ENSSSCG00000016597	Sus_scrofa_strain_reference
ENSAMEP00000015897	ENSAMEG00000015057	Ailuropoda_melanoleuca
ENSUMAP00000007560	ENSUMAG00000005740	Ursus_maritimus
ENSMPUP00000006699	ENSMPUG00000006753	Mustela_putorius_furo
ENSNVIP00000000745	ENSNVIG00000000588	Neovison_vison
ENSCAFP00000002549	ENSCAFG00000001754	Canis_lupus_familiaris
ENSCAFP00020027501	ENSCAFG00020021591	Canis_lupus_dingo
ENSVVUP00000009305	ENSVVUG00000006943	Vulpes_vulpes
ENSPTIP00000010685	ENSPTIG00000011376	Panthera_tigris_altaica
ENSPPRP00000011627	ENSPPRG00000005418	Panthera_pardus
ENSFCAP00000021463	ENSFCAG00000023466	Felis_catus
ENSPVAP00000008773	ENSPVAG00000009302	Pteropus_vampyrus
ENSMLUP00000001704	ENSMLUG00000001872	Myotis_lucifugus
ENSEEUP00000006577	ENSEEUG00000007191	Erinaceus_europaeus
ENSSARP00000011672	ENSSARG00000012923	Sorex_araneus
ENSEASP00005012152	ENSEASG00005008485	Equus_asinus_asinus
ENSECAP00000033327	ENSECAG00000008647	Equus_caballus
ENSHGLP00100008427	ENSHGLG00100006267	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000005401	ENSHGLG00000003954	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003322	ENSFDAG00000012804	Fukomys_damarensis
ENSCLAP00000006290	ENSCLAG00000004448	Chinchilla_lanigera
ENSODEP00000015454	ENSODEG00000011405	Octodon_degus
ENSCPOP00000030604	ENSCPOG00000014166	Cavia_porcellus
ENSCAPP00000018638	ENSCAPG00000017984	Cavia_aperea
ENSUPAP00010022094	ENSUPAG00010017535	Urocitellus_parryii
ENSSTOP00000030164	ENSSTOG00000025409	Ictidomys_tridecemlineatus
ENSSDAP00000014239	ENSSDAG00000012773	Spermophilus_dauricus
ENSMMMP00000017428	ENSMMMG00000015400	Marmota_marmota_marmota
ENSMSIP00000002111	ENSMSIG00000001985	Mus_spicilegus
MGP_SPRETEiJ_P0075682	MGP_SPRETEiJ_G0029152	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000110986	ENSMUSG00000029676	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0072841	MGP_CAROLIEiJ_G0028152	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0048964	MGP_PahariEiJ_G0021910	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000070115	ENSRNOG00000019986	Rattus_norvegicus
ENSMUGP00000024785	ENSMUGG00000020694	Meriones_unguiculatus
ENSPEMP00000019095	ENSPEMG00000017491	Peromyscus_maniculatus_bairdii
ENSMOCP00000014158	ENSMOCG00000013730	Microtus_ochrogaster
ENSCGRP00000008398	ENSCGRG00000006120	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015033556	ENSCGRG00015025303	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001027764	ENSCGRG00001024686	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000021857	ENSMAUG00000019453	Mesocricetus_auratus
ENSMUSP00000084089	ENSMUSG00000024174	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0047171	MGP_SPRETEiJ_G0022661	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000014842	ENSMSIG00000012767	Mus_spicilegus
MGP_CAROLIEiJ_P0045278	MGP_CAROLIEiJ_G0021749	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0044786	MGP_PahariEiJ_G0020738	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064381	ENSRNOG00000047439	Rattus_norvegicus
ENSMUGP00000013407	ENSMUGG00000011629	Meriones_unguiculatus
ENSCGRP00000022216	ENSCGRG00000016094	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001027900	ENSCGRG00001024775	Cricetulus_griseus_CHOK1GS_HDv1
