ENSVURP00010023872	ENSVURG00010018291	Vombatus_ursinus	ENSVURT00010027165
ENSPCIP00000046319	ENSPCIG00000015253	Phascolarctos_cinereus	ENSPCIT00000054659
ENSMEUP00000012162	ENSMEUG00000013337	Notamacropus_eugenii	ENSMEUT00000013375
ENSSHAP00000014333	ENSSHAG00000012245	Sarcophilus_harrisii	ENSSHAT00000014452
ENSMODP00000001189	ENSMODG00000000999	Monodelphis_domestica	ENSMODT00000001213
ENSOANP00000010478	ENSOANG00000006566	Ornithorhynchus_anatinus	ENSOANT00000010480
ENSLAFP00000001659	ENSLAFG00000001983	Loxodonta_africana
ENSPCAP00000005168	ENSPCAG00000005568	Procavia_capensis
ENSETEP00000006099	ENSETEG00000007506	Echinops_telfairi
ENSDNOP00000029372	ENSDNOG00000038673	Dasypus_novemcinctus
ENSCLAP00000012497	ENSCLAG00000008640	Chinchilla_lanigera
ENSODEP00000012295	ENSODEG00000009122	Octodon_degus
ENSCPOP00000008123	ENSCPOG00000009042	Cavia_porcellus
ENSCAPP00000018538	ENSCAPG00000017905	Cavia_aperea
ENSHGLP00100011762	ENSHGLG00100008732	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007432	ENSHGLG00000005412	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005985	ENSFDAG00000014858	Fukomys_damarensis
ENSDORP00000009472	ENSDORG00000010081	Dipodomys_ordii
ENSMSIP00000035500	ENSMSIG00000029536	Mus_spicilegus
ENSMUSP00000041700	ENSMUSG00000066640	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0074756	MGP_SPRETEiJ_G0028971	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0071938	MGP_CAROLIEiJ_G0027967	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0060149	MGP_PahariEiJ_G0024539	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001479	ENSRNOG00000001117	Rattus_norvegicus
ENSMUGP00000015681	ENSMUGG00000013496	Meriones_unguiculatus
ENSCGRP00015018050	ENSCGRG00015013836	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001026577	ENSCGRG00001023848	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000025464	ENSCGRG00000018436	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000011643	ENSMAUG00000012173	Mesocricetus_auratus
ENSMOCP00000007973	ENSMOCG00000007883	Microtus_ochrogaster
ENSPEMP00000007217	ENSPEMG00000009240	Peromyscus_maniculatus_bairdii
ENSNGAP00000012261	ENSNGAG00000014197	Nannospalax_galili
ENSJJAP00000017779	ENSJJAG00000019235	Jaculus_jaculus
ENSSTOP00000019796	ENSSTOG00000028236	Ictidomys_tridecemlineatus
ENSUPAP00010014149	ENSUPAG00010011378	Urocitellus_parryii
ENSSDAP00000019645	ENSSDAG00000017900	Spermophilus_dauricus
ENSMMMP00000008435	ENSMMMG00000007533	Marmota_marmota_marmota
ENSOCUP00000048362	ENSOCUG00000006567	Oryctolagus_cuniculus
ENSOPRP00000005481	ENSOPRG00000005976	Ochotona_princeps
ENSCCNP00000000059	ENSCCNG00000000091	Castor_canadensis
ENSTBEP00000005751	ENSTBEG00000006668	Tupaia_belangeri
ENSCANP00000039299	ENSCANG00000043320	Colobus_angolensis_palliatus
ENSPTEP00000019942	ENSPTEG00000021233	Piliocolobus_tephrosceles
ENSRBIP00000010041	ENSRBIG00000028880	Rhinopithecus_bieti
ENSMNEP00000001554	ENSMNEG00000006983	Macaca_nemestrina
ENSMFAP00000028679	ENSMFAG00000041637	Macaca_fascicularis
ENSTGEP00000002225	ENSTGEG00000001964	Theropithecus_gelada
ENSPANP00000041541	ENSPANG00000018934	Papio_anubis
ENSCATP00000020250	ENSCATG00000033897	Cercocebus_atys
ENSCSAP00000013691	ENSCSAG00000017668	Chlorocebus_sabaeus
ENSP00000371805	ENSG00000155034	Homo_sapiens
ENSGGOP00000013694	ENSGGOG00000014037	Gorilla_gorilla
ENSPPAP00000008763	ENSPPAG00000027621	Pan_paniscus
ENSPTRP00000032257	ENSPTRG00000018889	Pan_troglodytes
ENSPPYP00000019426	ENSPPYG00000017335	Pongo_abelii
ENSNLEP00000014218	ENSNLEG00000011689	Nomascus_leucogenys
ENSSBOP00000023876	ENSSBOG00000028437	Saimiri_boliviensis_boliviensis
ENSCCAP00000014963	ENSCCAG00000025281	Cebus_capucinus_imitator
ENSCJAP00000075171	ENSCJAG00000000010	Callithrix_jacchus
ENSANAP00000022471	ENSANAG00000028997	Aotus_nancymaae
ENSTSYP00000011235	ENSTSYG00000012252	Carlito_syrichta
ENSMICP00000031157	ENSMICG00000027885	Microcebus_murinus
ENSPCOP00000013574	ENSPCOG00000018422	Propithecus_coquereli
ENSPSMP00000015145	ENSPSMG00000010818	Prolemur_simus
ENSOGAP00000007472	ENSOGAG00000008341	Otolemur_garnettii
ENSSSCP00000068628	ENSSSCG00000038526	Sus_scrofa_strain_reference
ENSTTRP00000001833	ENSTTRG00000001952	Tursiops_truncatus
ENSCHIP00000001057	ENSCHIG00000001815	Capra_hircus
ENSOARP00000003297	ENSOARG00000003096	Ovis_aries
ENSBIXP00005013025	ENSBIXG00005017190	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000031933	ENSBIXG00000001704	Bos_indicus_x_Bos_taurus_UOA_Angus_1
