ENSOCUP00000002554	ENSOCUG00000002940	Oryctolagus_cuniculus
ENSOPRP00000002840	ENSOPRG00000003083	Ochotona_princeps
ENSEEUP00000000328	ENSEEUG00000000377	Erinaceus_europaeus
ENSSARP00000011033	ENSSARG00000012218	Sorex_araneus
ENSPTRP00000029114	ENSPTRG00000016999	Pan_troglodytes
ENSPPAP00000029440	ENSPPAG00000037734	Pan_paniscus
ENSP00000410216	ENSG00000152359	Homo_sapiens
ENSGGOP00000014745	ENSGGOG00000015106	Gorilla_gorilla
ENSPPYP00000017400	ENSPPYG00000015564	Pongo_abelii
ENSNLEP00000040492	ENSNLEG00000005274	Nomascus_leucogenys
ENSTGEP00000028038	ENSTGEG00000022585	Theropithecus_gelada
ENSPANP00000000844	ENSPANG00000013599	Papio_anubis
ENSCATP00000043282	ENSCATG00000044188	Cercocebus_atys
ENSMLEP00000031219	ENSMLEG00000039781	Mandrillus_leucophaeus
ENSMNEP00000009066	ENSMNEG00000028970	Macaca_nemestrina
ENSMFAP00000040166	ENSMFAG00000046231	Macaca_fascicularis
ENSMMUP00000008075	ENSMMUG00000006146	Macaca_mulatta
ENSCSAP00000011480	ENSCSAG00000015388	Chlorocebus_sabaeus
ENSCANP00000034349	ENSCANG00000040825	Colobus_angolensis_palliatus
ENSPTEP00000035082	ENSPTEG00000033168	Piliocolobus_tephrosceles
ENSRBIP00000035799	ENSRBIG00000041501	Rhinopithecus_bieti
ENSRROP00000037817	ENSRROG00000042318	Rhinopithecus_roxellana
ENSCCAP00000002228	ENSCCAG00000013495	Cebus_capucinus_imitator
ENSSBOP00000035888	ENSSBOG00000034084	Saimiri_boliviensis_boliviensis
ENSCJAP00000031582	ENSCJAG00000017148	Callithrix_jacchus
ENSANAP00000032649	ENSANAG00000033971	Aotus_nancymaae
ENSTSYP00000020268	ENSTSYG00000000323	Carlito_syrichta
ENSMICP00000032457	ENSMICG00000006494	Microcebus_murinus
ENSMICP00000035244	ENSMICG00000031237	Microcebus_murinus
ENSPCOP00000025869	ENSPCOG00000025218	Propithecus_coquereli
ENSPSMP00000010270	ENSPSMG00000007439	Prolemur_simus
ENSOGAP00000014928	ENSOGAG00000016674	Otolemur_garnettii
ENSHGLP00100002805	ENSHGLG00100002175	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000001443	ENSHGLG00000001114	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000763	ENSFDAG00000010922	Fukomys_damarensis
ENSCLAP00000014245	ENSCLAG00000009830	Chinchilla_lanigera
ENSODEP00000003942	ENSODEG00000003014	Octodon_degus
ENSCPOP00000004891	ENSCPOG00000005435	Cavia_porcellus
ENSCAPP00000003262	ENSCAPG00000006079	Cavia_aperea
ENSSDAP00000017174	ENSSDAG00000015551	Spermophilus_dauricus
ENSSTOP00000008825	ENSSTOG00000009839	Ictidomys_tridecemlineatus
ENSUPAP00010007459	ENSUPAG00010005963	Urocitellus_parryii
ENSMMMP00000001157	ENSMMMG00000000939	Marmota_marmota_marmota
ENSCCNP00000023431	ENSCCNG00000023011	Castor_canadensis
ENSDORP00000000777	ENSDORG00000000829	Dipodomys_ordii
ENSMSIP00000001388	ENSMSIG00000001376	Mus_spicilegus
MGP_SPRETEiJ_P0036859	MGP_SPRETEiJ_G0019686	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000096898	ENSMUSG00000021671	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0035182	MGP_CAROLIEiJ_G0018803	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0026846	MGP_PahariEiJ_G0015880	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075735	ENSRNOG00000018193	Rattus_norvegicus
ENSMUGP00000028152	ENSMUGG00000023362	Meriones_unguiculatus
ENSMUGP00000028175	ENSMUGG00000023370	Meriones_unguiculatus
ENSCGRP00000004720	ENSCGRG00000003463	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001015141	ENSCGRG00001015817	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015013422	ENSCGRG00015010269	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003073	ENSMAUG00000003174	Mesocricetus_auratus
ENSMOCP00000008973	ENSMOCG00000009038	Microtus_ochrogaster
ENSPEMP00000006369	ENSPEMG00000008614	Peromyscus_maniculatus_bairdii
ENSNGAP00000008184	ENSNGAG00000011239	Nannospalax_galili
ENSJJAP00000018382	ENSJJAG00000019666	Jaculus_jaculus
ENSSSCP00000068678	ENSSSCG00000014084	Sus_scrofa_strain_reference
ENSVPAP00000008729	ENSVPAG00000009382	Vicugna_pacos
ENSBIXP00005004929	ENSBIXG00005010780	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000021498	ENSBIXG00000024573	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000074301	ENSBTAG00000007114	Bos_taurus
ENSBMUP00000015251	ENSBMUG00000011568	Bos_mutus
ENSBBBP00000026143	ENSBBBG00000021773	Bison_bison_bison
ENSOARP00000018069	ENSOARG00000016818	Ovis_aries
ENSCHIP00000004973	ENSCHIG00000009080	Capra_hircus
ENSTTRP00000016419	ENSTTRG00000017326	Tursiops_truncatus
ENSEASP00005027088	ENSEASG00005018452	Equus_asinus_asinus
ENSECAP00000011626	ENSECAG00000013824	Equus_caballus
ENSPVAP00000007515	ENSPVAG00000007963	Pteropus_vampyrus
ENSMLUP00000014307	ENSMLUG00000015701	Myotis_lucifugus
ENSUMAP00000009518	ENSUMAG00000007198	Ursus_maritimus
