ENSLCRP00005004804	ENSLCRG00005002464	Larimichthys_crocea
ENSKMAP00000008086	ENSKMAG00000006071	Kryptolebias_marmoratus
ENSNPEP00000017577	ENSNPEG00000013064	Nothoprocta_perdicaria
ENSPTIP00000019622	ENSPTIG00000017357	Panthera_tigris_altaica
MGP_PahariEiJ_P0038833	MGP_PahariEiJ_G0018806	Mus_pahari_strain_PAHARI_EIJ
ENSTNIP00000014158	ENSTNIG00000011223	Tetraodon_nigroviridis
ENSOPRP00000013808	ENSOPRG00000015112	Ochotona_princeps
ENSSHAP00000001869	ENSSHAG00000001665	Sarcophilus_harrisii	ENSSHAT00000001890
ENSGWIP00000014508	ENSGWIG00000007857	Gouania_willdenowi
ENSOANP00000032323	ENSOANG00000030708	Ornithorhynchus_anatinus
ENSSFOP00015026187	ENSSFOG00015016831	Scleropages_formosus
ENSPTRP00000021285	ENSPTRG00000012429	Pan_troglodytes
ENSEBUP00000018803	ENSEBUG00000011706	Eptatretus_burgeri
ENSDNOP00000006951	ENSDNOG00000008948	Dasypus_novemcinctus
ENSCABP00000026010	ENSCABG00000019132	Chelonoidis_abingdonii
ENSNMEP00000018695	ENSNMEG00000016214	Numida_meleagris
ENSSBOP00000010195	ENSSBOG00000021948	Saimiri_boliviensis_boliviensis
ENSNSUP00000016235	ENSNSUG00000012013	Notechis_scutatus
ENSORLP00015028505	ENSORLG00015011218	Oryzias_latipes_ASM223469v1
ENSXETP00000041726	ENSXETG00000002396	Xenopus_tropicalis
ENSVURP00010015824	ENSVURG00010012124	Vombatus_ursinus	ENSVURT00010017993
ENSSDAP00000018532	ENSSDAG00000016910	Spermophilus_dauricus
ENSMFAP00000011802	ENSMFAG00000016975	Macaca_fascicularis
ENSPSMP00000002302	ENSPSMG00000001725	Prolemur_simus
ENSNVIP00000030773	ENSNVIG00000023689	Neovison_vison	ENSNVIT00000035643
ENSHBUP00000015737	ENSHBUG00000017677	Haplochromis_burtoni
ENSMSIP00000038248	ENSMSIG00000031883	Mus_spicilegus
