ENSPTEP00000038736	ENSPTEG00000035949	Piliocolobus_tephrosceles
ENSMNEP00000005750	ENSMNEG00000026104	Macaca_nemestrina
ENSOCUP00000013629	ENSOCUG00000015869	Oryctolagus_cuniculus
ENSMFAP00000020824	ENSMFAG00000033361	Macaca_fascicularis
ENSPTRP00000006229	ENSPTRG00000029940	Pan_troglodytes
ENSPTRP00000050811	ENSPTRG00000043538	Pan_troglodytes
ENSPPAP00000039532	ENSPPAG00000042458	Pan_paniscus
ENSNLEP00000012768	ENSNLEG00000010496	Nomascus_leucogenys
ENSANAP00000016019	ENSANAG00000025882	Aotus_nancymaae
ENSNLEP00000038282	ENSNLEG00000031634	Nomascus_leucogenys
ENSMNEP00000043403	ENSMNEG00000044387	Macaca_nemestrina
ENSPPYP00000014209	ENSPPYG00000012731	Pongo_abelii
ENSSBOP00000008005	ENSSBOG00000020924	Saimiri_boliviensis_boliviensis
ENSNLEP00000012734	ENSNLEG00000010471	Nomascus_leucogenys
ENSPPAP00000006452	ENSPPAG00000025107	Pan_paniscus
ENSP00000497716	ENSG00000220948	Homo_sapiens
ENSPTRP00000048088	ENSPTRG00000024137	Pan_troglodytes
ENSCANP00000008241	ENSCANG00000027164	Colobus_angolensis_palliatus
ENSSDAP00000004732	ENSSDAG00000004326	Spermophilus_dauricus	ENSSDAT00000005429
ENSPTRP00000067584	ENSPTRG00000048980	Pan_troglodytes
ENSCANP00000022596	ENSCANG00000034731	Colobus_angolensis_palliatus
ENSPPAP00000013139	ENSPPAG00000029742	Pan_paniscus
ENSPTRP00000054547	ENSPTRG00000048933	Pan_troglodytes
ENSCJAP00000076843	ENSCJAG00000033850	Callithrix_jacchus
ENSMFAP00000024975	ENSMFAG00000044028	Macaca_fascicularis
ENSCSAP00000014474	ENSCSAG00000003574	Chlorocebus_sabaeus
ENSMFAP00000025617	ENSMFAG00000044302	Macaca_fascicularis
ENSOCUP00000007517	ENSOCUG00000008705	Oryctolagus_cuniculus
ENSRROP00000018483	ENSRROG00000033294	Rhinopithecus_roxellana
ENSGGOP00000025616	ENSGGOG00000023497	Gorilla_gorilla
ENSANAP00000006950	ENSANAG00000021553	Aotus_nancymaae
ENSRROP00000016254	ENSRROG00000032282	Rhinopithecus_roxellana
ENSMMMP00000000838	ENSMMMG00000000700	Marmota_marmota_marmota
ENSP00000395086	ENSG00000124900	Homo_sapiens
ENSCANP00000012768	ENSCANG00000029792	Colobus_angolensis_palliatus
ENSPPYP00000004306	ENSPPYG00000003762	Pongo_abelii
ENSMMUP00000013378	ENSMMUG00000064584	Macaca_mulatta
ENSPPYP00000022318	ENSPPYG00000019926	Pongo_abelii
ENSCCAP00000031898	ENSCCAG00000033976	Cebus_capucinus_imitator
ENSCJAP00000069299	ENSCJAG00000050888	Callithrix_jacchus
ENSPPAP00000010792	ENSPPAG00000028607	Pan_paniscus
ENSPANP00000029645	ENSPANG00000012470	Papio_anubis
