ENSCINP00000031986	ENSCING00000024160	Ciona_intestinalis
ENSCSAVP00000002342	ENSCSAVG00000001373	Ciona_savignyi
ENSPTRP00000020103	ENSPTRG00000011702	Pan_troglodytes
ENSPPAP00000020191	ENSPPAG00000033306	Pan_paniscus
ENSGGOP00000005898	ENSGGOG00000006027	Gorilla_gorilla
ENSP00000238789	ENSG00000119778	Homo_sapiens
ENSPPYP00000014079	ENSPPYG00000012609	Pongo_abelii
ENSNLEP00000000863	ENSNLEG00000000713	Nomascus_leucogenys
ENSRROP00000015044	ENSRROG00000031703	Rhinopithecus_roxellana
ENSRBIP00000031043	ENSRBIG00000039362	Rhinopithecus_bieti
ENSCANP00000001409	ENSCANG00000004878	Colobus_angolensis_palliatus
ENSPTEP00000040806	ENSPTEG00000037536	Piliocolobus_tephrosceles
ENSMLEP00000012167	ENSMLEG00000030250	Mandrillus_leucophaeus
ENSCATP00000024157	ENSCATG00000035587	Cercocebus_atys
ENSTGEP00000023628	ENSTGEG00000019100	Theropithecus_gelada
ENSPANP00000036155	ENSPANG00000021884	Papio_anubis
ENSMFAP00000039445	ENSMFAG00000045919	Macaca_fascicularis
ENSMNEP00000035112	ENSMNEG00000040701	Macaca_nemestrina
ENSMMUP00000073515	ENSMMUG00000020952	Macaca_mulatta
ENSCSAP00000004540	ENSCSAG00000008290	Chlorocebus_sabaeus
ENSCCAP00000026683	ENSCCAG00000031116	Cebus_capucinus_imitator
ENSSBOP00000032862	ENSSBOG00000032583	Saimiri_boliviensis_boliviensis
ENSCJAP00000014190	ENSCJAG00000007628	Callithrix_jacchus
ENSANAP00000013087	ENSANAG00000024449	Aotus_nancymaae
ENSTSYP00000005386	ENSTSYG00000005859	Carlito_syrichta
ENSPSMP00000009222	ENSPSMG00000006746	Prolemur_simus
ENSMICP00000003176	ENSMICG00000003489	Microcebus_murinus
ENSPCOP00000031312	ENSPCOG00000028416	Propithecus_coquereli
ENSPEMP00000009115	ENSPEMG00000010515	Peromyscus_maniculatus_bairdii
ENSMOCP00000000517	ENSMOCG00000000408	Microtus_ochrogaster
ENSCGRP00000003455	ENSCGRG00000002542	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001016770	ENSCGRG00001016996	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015036047	ENSCGRG00015027039	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000017953	ENSMAUG00000016676	Mesocricetus_auratus
ENSMSIP00000025810	ENSMSIG00000021765	Mus_spicilegus
MGP_SPRETEiJ_P0033325	MGP_SPRETEiJ_G0018439	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000047445	ENSMUSG00000052812	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0031863	MGP_CAROLIEiJ_G0017595	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0081979	MGP_PahariEiJ_G0029353	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000070114	ENSRNOG00000058973	Rattus_norvegicus
ENSMUGP00000004053	ENSMUGG00000003719	Meriones_unguiculatus
ENSNGAP00000003300	ENSNGAG00000003640	Nannospalax_galili
ENSJJAP00000014967	ENSJJAG00000017291	Jaculus_jaculus
ENSCCNP00000028714	ENSCCNG00000027615	Castor_canadensis
ENSUPAP00010010874	ENSUPAG00010008759	Urocitellus_parryii
ENSMMMP00000025111	ENSMMMG00000021898	Marmota_marmota_marmota
ENSSTOP00000022496	ENSSTOG00000021066	Ictidomys_tridecemlineatus
ENSSDAP00000026558	ENSSDAG00000024064	Spermophilus_dauricus
ENSHGLP00100008042	ENSHGLG00100005982	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000022336	ENSHGLG00000015927	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000013526	ENSFDAG00000000237	Fukomys_damarensis
ENSCPOP00000012771	ENSCPOG00000014176	Cavia_porcellus
ENSCAPP00000015846	ENSCAPG00000015864	Cavia_aperea
ENSCLAP00000007414	ENSCLAG00000005215	Chinchilla_lanigera
ENSOCUP00000043652	ENSOCUG00000005723	Oryctolagus_cuniculus
ENSTBEP00000005783	ENSTBEG00000006692	Tupaia_belangeri
ENSOGAP00000004082	ENSOGAG00000004574	Otolemur_garnettii
ENSOPRP00000015380	ENSOPRG00000016845	Ochotona_princeps
ENSDORP00000022988	ENSDORG00000027743	Dipodomys_ordii
ENSODEP00000013293	ENSODEG00000009834	Octodon_degus
ENSTSYP00000014854	ENSTSYG00000026363	Carlito_syrichta
ENSUMAP00000031885	ENSUMAG00000022911	Ursus_maritimus
ENSUAMP00000030496	ENSUAMG00000023421	Ursus_americanus
ENSAMEP00000003024	ENSAMEG00000002853	Ailuropoda_melanoleuca
ENSMPUP00000013752	ENSMPUG00000013855	Mustela_putorius_furo
ENSNVIP00000016274	ENSNVIG00000012717	Neovison_vison
ENSCAFP00000005846	ENSCAFG00000003926	Canis_lupus_familiaris
ENSCAFP00020032973	ENSCAFG00020025604	Canis_lupus_dingo
ENSVVUP00000020162	ENSVVUG00000014891	Vulpes_vulpes
ENSPPRP00000029470	ENSPPRG00000022083	Panthera_pardus
