ENSCCNP00000017013	ENSCCNG00000017296	Castor_canadensis	ENSCCNT00000022133
ENSDORP00000001363	ENSDORG00000001459	Dipodomys_ordii	ENSDORT00000001460
ENSCGRP00015032610	ENSCGRG00015024606	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000012506	ENSCGRG00000009109	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001023135	ENSCGRG00001021444	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000014018	ENSMAUG00000013903	Mesocricetus_auratus
ENSPEMP00000009022	ENSPEMG00000010462	Peromyscus_maniculatus_bairdii
ENSMOCP00000004424	ENSMOCG00000003655	Microtus_ochrogaster
MGP_SPRETEiJ_P0047012	MGP_SPRETEiJ_G0022620	Mus_spretus_strain_SPRET/EiJ
MGP_SPRETEiJ_P0047016	MGP_SPRETEiJ_G0022621	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000038105	ENSMSIG00000031740	Mus_spicilegus
ENSMUSP00000108925	ENSMUSG00000096549	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000119045	ENSMUSG00000079444	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0045126	MGP_CAROLIEiJ_G0021709	Mus_caroli_strain_CAROLI_EIJ
MGP_CAROLIEiJ_P0045122	MGP_CAROLIEiJ_G0021708	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0044632	MGP_PahariEiJ_G0020698	Mus_pahari_strain_PAHARI_EIJ
MGP_PahariEiJ_P0044635	MGP_PahariEiJ_G0020699	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000019177	ENSRNOG00000014180	Rattus_norvegicus
ENSMUGP00000022270	ENSMUGG00000018687	Meriones_unguiculatus
ENSNGAP00000004515	ENSNGAG00000006023	Nannospalax_galili
ENSJJAP00000004684	ENSJJAG00000009681	Jaculus_jaculus
ENSUPAP00010021936	ENSUPAG00010017449	Urocitellus_parryii
ENSSTOP00000028777	ENSSTOG00000006618	Ictidomys_tridecemlineatus
ENSHGLP00000024049	ENSHGLG00000017140	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015382	ENSHGLG00100011370	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000003893	ENSFDAG00000013226	Fukomys_damarensis
ENSCLAP00000014679	ENSCLAG00000010134	Chinchilla_lanigera
ENSCPOP00000016196	ENSCPOG00000025180	Cavia_porcellus
ENSOCUP00000000444	ENSOCUG00000000509	Oryctolagus_cuniculus
ENSP00000404911	ENSG00000278224	Homo_sapiens
ENSP00000335185	ENSG00000124593	Homo_sapiens
ENSPTRP00000089307	ENSPTRG00000049940	Pan_troglodytes
ENSPTRP00000044495	ENSPTRG00000018160	Pan_troglodytes
ENSPPAP00000025342	ENSPPAG00000035806	Pan_paniscus
ENSGGOP00000015013	ENSGGOG00000015385	Gorilla_gorilla
ENSPPYP00000018569	ENSPPYG00000016603	Pongo_abelii
ENSNLEP00000005907	ENSNLEG00000004869	Nomascus_leucogenys
ENSPANP00000012634	ENSPANG00000017338	Papio_anubis
ENSTGEP00000037207	ENSTGEG00000029601	Theropithecus_gelada
ENSCATP00000042302	ENSCATG00000043769	Cercocebus_atys
ENSMLEP00000017758	ENSMLEG00000033069	Mandrillus_leucophaeus
ENSMFAP00000036129	ENSMFAG00000034421	Macaca_fascicularis
ENSMMUP00000016304	ENSMMUG00000012419	Macaca_mulatta
ENSMNEP00000028726	ENSMNEG00000037818	Macaca_nemestrina
ENSCSAP00000007492	ENSCSAG00000011286	Chlorocebus_sabaeus
ENSRBIP00000021617	ENSRBIG00000034766	Rhinopithecus_bieti
ENSRROP00000045174	ENSRROG00000045503	Rhinopithecus_roxellana
ENSCANP00000015793	ENSCANG00000031345	Colobus_angolensis_palliatus
ENSPTEP00000038223	ENSPTEG00000035587	Piliocolobus_tephrosceles
ENSCCAP00000035347	ENSCCAG00000035589	Cebus_capucinus_imitator
ENSSBOP00000004060	ENSSBOG00000018251	Saimiri_boliviensis_boliviensis
ENSCJAP00000007687	ENSCJAG00000004246	Callithrix_jacchus
ENSANAP00000002828	ENSANAG00000019187	Aotus_nancymaae
ENSTSYP00000016314	ENSTSYG00000037133	Carlito_syrichta
ENSPSMP00000021726	ENSPSMG00000015341	Prolemur_simus
ENSPCOP00000006346	ENSPCOG00000014324	Propithecus_coquereli
ENSMICP00000042683	ENSMICG00000015699	Microcebus_murinus
ENSOGAP00000013627	ENSOGAG00000015219	Otolemur_garnettii
ENSTBEP00000005371	ENSTBEG00000006240	Tupaia_belangeri
ENSPVAP00000007170	ENSPVAG00000007594	Pteropus_vampyrus
ENSMLUP00000012747	ENSMLUG00000014011	Myotis_lucifugus
ENSECAP00000015501	ENSECAG00000017961	Equus_caballus
ENSEASP00005004009	ENSEASG00005003047	Equus_asinus_asinus
ENSBIXP00000006359	ENSBIXG00000012475	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000060806	ENSBTAG00000038916	Bos_taurus
ENSBIXP00005002995	ENSBIXG00005009243	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000032642	ENSBMUG00000024363	Bos_mutus
ENSBBBP00000009453	ENSBBBG00000007501	Bison_bison_bison
ENSCHIP00000024084	ENSCHIG00000021416	Capra_hircus
ENSOARP00000002819	ENSOARG00000002653	Ovis_aries
ENSSSCP00000001764	ENSSSCG00000034190	Sus_scrofa_strain_reference
ENSTTRP00000008910	ENSTTRG00000009404	Tursiops_truncatus
ENSUAMP00000028314	ENSUAMG00000021893	Ursus_americanus
ENSUMAP00000016325	ENSUMAG00000011999	Ursus_maritimus
ENSAMEP00000013762	ENSAMEG00000013074	Ailuropoda_melanoleuca
ENSNVIP00000016225	ENSNVIG00000012701	Neovison_vison
ENSMPUP00000013395	ENSMPUG00000013497	Mustela_putorius_furo
ENSCAFP00020010348	ENSCAFG00020008411	Canis_lupus_dingo
ENSCAFP00000002336	ENSCAFG00000001604	Canis_lupus_familiaris
ENSVVUP00000037284	ENSVVUG00000026668	Vulpes_vulpes
ENSPTIP00000014255	ENSPTIG00000013733	Panthera_tigris_altaica
ENSPPRP00000020625	ENSPPRG00000011657	Panthera_pardus
ENSFCAP00000019250	ENSFCAG00000023605	Felis_catus
ENSEEUP00000011314	ENSEEUG00000012416	Erinaceus_europaeus
ENSLAFP00000014390	ENSLAFG00000017160	Loxodonta_africana	ENSLAFT00000017161
ENSPCAP00000014503	ENSPCAG00000015542	Procavia_capensis	ENSPCAT00000015512
ENSDNOP00000012385	ENSDNOG00000015976	Dasypus_novemcinctus	ENSDNOT00000015974
ENSVURP00010011018	ENSVURG00010008515	Vombatus_ursinus
ENSMEUP00000014499	ENSMEUG00000015876	Notamacropus_eugenii
ENSPCIP00000035008	ENSPCIG00000025894	Phascolarctos_cinereus
ENSSHAP00000012777	ENSSHAG00000010934	Sarcophilus_harrisii
ENSMODP00000016068	ENSMODG00000012839	Monodelphis_domestica
