ENSGALP00000018406	ENSGALG00000011297	Gallus_gallus
ENSCJPP00005005118	ENSCJPG00005004955	Coturnix_japonica
ENSMGAP00000011857	ENSMGAG00000011351	Meleagris_gallopavo
ENSNMEP00000006065	ENSNMEG00000006226	Numida_meleagris
ENSABRP00000011958	ENSABRG00000010757	Anser_brachyrhynchus
ENSAPLP00000014895	ENSAPLG00000015058	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000011149	ENSLCOG00000008084	Lepidothrix_coronata
ENSMVIP00005018252	ENSMVIG00005012973	Manacus_vitellinus
ENSTGUP00000008533	ENSTGUG00000008284	Taeniopygia_guttata
ENSLSDP00000023653	ENSLSDG00000016641	Lonchura_striata_domestica
ENSSCAP00000009702	ENSSCAG00000007382	Serinus_canaria
ENSJHYP00000014783	ENSJHYG00000011428	Junco_hyemalis
ENSZALP00000012285	ENSZALG00000010338	Zonotrichia_albicollis
ENSCCEP00000011079	ENSCCEG00000010894	Cyanistes_caeruleus
ENSPMJP00000017051	ENSPMJG00000012860	Parus_major
ENSFALP00000011189	ENSFALG00000010722	Ficedula_albicollis
ENSMUNP00000005242	ENSMUNG00000004312	Melopsittacus_undulatus
ENSCPGP00000003374	ENSCPGG00000002493	Calidris_pygmaea
ENSCPUP00000003590	ENSCPUG00000002742	Calidris_pugnax
ENSAHAP00000023787	ENSAHAG00000016632	Apteryx_haastii
ENSAOWP00000013940	ENSAOWG00000009509	Apteryx_owenii
ENSNPEP00000018621	ENSNPEG00000013880	Nothoprocta_perdicaria
ENSDNVP00000016873	ENSDNVG00000011810	Dromaius_novaehollandiae
ENSCPRP00005003228	ENSCPRG00005002371	Crocodylus_porosus
ENSGAGP00000034761	ENSGAGG00000024692	Gopherus_agassizii
ENSCABP00000000160	ENSCABG00000000149	Chelonoidis_abingdonii
ENSCPBP00000001986	ENSCPBG00000001607	Chrysemys_picta_bellii
ENSPSIP00000012180	ENSPSIG00000010996	Pelodiscus_sinensis
ENSSPUP00000019467	ENSSPUG00000014992	Sphenodon_punctatus
ENSSPUP00000009954	ENSSPUG00000007707	Sphenodon_punctatus
ENSPVIP00000032533	ENSPVIG00000023836	Pogona_vitticeps
ENSACAP00000012368	ENSACAG00000012629	Anolis_carolinensis
ENSNSUP00000023223	ENSNSUG00000016821	Notechis_scutatus
ENSSMRP00000014223	ENSSMRG00000011072	Salvator_merianae
ENSAMEP00000010315	ENSAMEG00000009818	Ailuropoda_melanoleuca
ENSUMAP00000003794	ENSUMAG00000003126	Ursus_maritimus
ENSNVIP00000008764	ENSNVIG00000006955	Neovison_vison
ENSMPUP00000007377	ENSMPUG00000007433	Mustela_putorius_furo
ENSVVUP00000016141	ENSVVUG00000011866	Vulpes_vulpes
ENSCAFP00000042121	ENSCAFG00000031691	Canis_lupus_familiaris
ENSPPRP00000017708	ENSPPRG00000009591	Panthera_pardus
ENSPTIP00000000100	ENSPTIG00000000280	Panthera_tigris_altaica
ENSECAP00000040714	ENSECAG00000006833	Equus_caballus
ENSSARP00000011333	ENSSARG00000012549	Sorex_araneus
ENSBIXP00000019759	ENSBIXG00000004589	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005005938	ENSBIXG00005011535	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000067732	ENSBTAG00000051267	Bos_taurus
ENSOARP00000017041	ENSOARG00000015871	Ovis_aries
ENSCHIP00000027459	ENSCHIG00000023376	Capra_hircus
ENSTTRP00000003110	ENSTTRG00000003315	Tursiops_truncatus
ENSSSCP00000000974	ENSSSCG00000000910	Sus_scrofa_strain_reference
ENSVPAP00000007123	ENSVPAG00000007660	Vicugna_pacos
ENSEEUP00000002986	ENSEEUG00000003280	Erinaceus_europaeus
ENSUPAP00010008684	ENSUPAG00010007012	Urocitellus_parryii
ENSSTOP00000011199	ENSSTOG00000012496	Ictidomys_tridecemlineatus
ENSMMMP00000023350	ENSMMMG00000020454	Marmota_marmota_marmota
ENSDORP00000010977	ENSDORG00000011678	Dipodomys_ordii
ENSCGRP00000004271	ENSCGRG00000003143	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001004322	ENSCGRG00001005469	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000025810	ENSMAUG00000022216	Mesocricetus_auratus
ENSMOCP00000000399	ENSMOCG00000000329	Microtus_ochrogaster
ENSPEMP00000013241	ENSPEMG00000013349	Peromyscus_maniculatus_bairdii
ENSMUSP00000050295	ENSMUSG00000045867	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000018924	ENSMSIG00000016116	Mus_spicilegus
MGP_SPRETEiJ_P0025819	MGP_SPRETEiJ_G0016566	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0024606	MGP_CAROLIEiJ_G0015747	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0088057	MGP_PahariEiJ_G0031338	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000013576	ENSMUGG00000011783	Meriones_unguiculatus
