ENSPTRP00000085928	ENSPTRG00000038743	Pan_troglodytes	ENSPTRT00000075364
ENSPPAP00000011223	ENSPPAG00000028818	Pan_paniscus	ENSPPAT00000033878
ENSGGOP00000040212	ENSGGOG00000028172	Gorilla_gorilla	ENSGGOT00000034014
ENSNLEP00000038122	ENSNLEG00000006827	Nomascus_leucogenys	ENSNLET00000008696
ENSMLEP00000001794	ENSMLEG00000006991	Mandrillus_leucophaeus	ENSMLET00000007750
ENSCATP00000035036	ENSCATG00000040412	Cercocebus_atys	ENSCATT00000059317
ENSPANP00000026445	ENSPANG00000019719	Papio_anubis	ENSPANT00000005839
ENSMFAP00000041375	ENSMFAG00000041438	Macaca_fascicularis	ENSMFAT00000015651
ENSMNEP00000012936	ENSMNEG00000030741	Macaca_nemestrina	ENSMNET00000037135
ENSRBIP00000018129	ENSRBIG00000033062	Rhinopithecus_bieti	ENSRBIT00000041988
ENSRROP00000010924	ENSRROG00000029834	Rhinopithecus_roxellana	ENSRROT00000035023
ENSTBEP00000006653	ENSTBEG00000007701	Tupaia_belangeri	ENSTBET00000007690
