ENSCPGP00000011859	ENSCPGG00000008453	Calidris_pygmaea
ENSCPUP00000018008	ENSCPUG00000012421	Calidris_pugnax
ENSMUNP00000013215	ENSMUNG00000010313	Melopsittacus_undulatus
ENSTGUP00000004227	ENSTGUG00000004103	Taeniopygia_guttata
ENSLSDP00000024780	ENSLSDG00000017370	Lonchura_striata_domestica
ENSSCAP00000022883	ENSSCAG00000016417	Serinus_canaria
ENSCCEP00000021168	ENSCCEG00000019192	Cyanistes_caeruleus
ENSPMJP00000018812	ENSPMJG00000014112	Parus_major
ENSJHYP00000012772	ENSJHYG00000009928	Junco_hyemalis
ENSZALP00000019338	ENSZALG00000015349	Zonotrichia_albicollis
ENSFALP00000013789	ENSFALG00000013212	Ficedula_albicollis
ENSLCOP00000006753	ENSLCOG00000005002	Lepidothrix_coronata
ENSMVIP00005005629	ENSMVIG00005004306	Manacus_vitellinus
ENSTGUP00000018207	ENSTGUG00000018162	Taeniopygia_guttata
ENSABRP00000025947	ENSABRG00000021712	Anser_brachyrhynchus
ENSAPLP00000011395	ENSAPLG00000011576	Anas_platyrhynchos_platyrhynchos
ENSGALP00000061828	ENSGALG00000004794	Gallus_gallus
ENSGALP00000063393	ENSGALG00000052553	Gallus_gallus
ENSMGAP00000005088	ENSMGAG00000005204	Meleagris_gallopavo
ENSCJPP00005007291	ENSCJPG00005006727	Coturnix_japonica
ENSNMEP00000018195	ENSNMEG00000015800	Numida_meleagris
ENSAHAP00000021005	ENSAHAG00000014768	Apteryx_haastii
ENSAOWP00000026248	ENSAOWG00000017706	Apteryx_owenii
ENSARWP00000010749	ENSARWG00000007460	Apteryx_rowi
ENSDNVP00000021771	ENSDNVG00000015194	Dromaius_novaehollandiae
ENSNPEP00000019851	ENSNPEG00000014774	Nothoprocta_perdicaria
ENSCPRP00005009449	ENSCPRG00005006718	Crocodylus_porosus
ENSGAGP00000020340	ENSGAGG00000014995	Gopherus_agassizii
ENSCABP00000031361	ENSCABG00000022911	Chelonoidis_abingdonii
ENSCPBP00000037449	ENSCPBG00000025940	Chrysemys_picta_bellii
ENSPSIP00000015267	ENSPSIG00000013591	Pelodiscus_sinensis
ENSPVIP00000031733	ENSPVIG00000023327	Pogona_vitticeps
ENSACAP00000017507	ENSACAG00000017782	Anolis_carolinensis
ENSNSUP00000020792	ENSNSUG00000015127	Notechis_scutatus
ENSSMRP00000011485	ENSSMRG00000009037	Salvator_merianae
ENSSPUP00000001806	ENSSPUG00000001352	Sphenodon_punctatus
ENSVURP00010018730	ENSVURG00010014256	Vombatus_ursinus
ENSPCIP00000020110	ENSPCIG00000015324	Phascolarctos_cinereus
ENSMEUP00000004315	ENSMEUG00000004728	Notamacropus_eugenii
ENSMODP00000045565	ENSMODG00000040146	Monodelphis_domestica
ENSSHAP00000009164	ENSSHAG00000007934	Sarcophilus_harrisii
ENSLAFP00000019979	ENSLAFG00000015625	Loxodonta_africana
ENSPCAP00000009839	ENSPCAG00000010582	Procavia_capensis
ENSETEP00000011789	ENSETEG00000014538	Echinops_telfairi
ENSHGLP00000023433	ENSHGLG00000016710	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100018433	ENSHGLG00100013592	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009298	ENSFDAG00000017331	Fukomys_damarensis
ENSCLAP00000020435	ENSCLAG00000014003	Chinchilla_lanigera
ENSODEP00000018509	ENSODEG00000013645	Octodon_degus
ENSCAPP00000004347	ENSCAPG00000006907	Cavia_aperea
ENSCPOP00000025687	ENSCPOG00000032624	Cavia_porcellus
ENSSTOP00000011422	ENSSTOG00000012745	Ictidomys_tridecemlineatus
ENSUPAP00010005593	ENSUPAG00010004534	Urocitellus_parryii
ENSSDAP00000015309	ENSSDAG00000013791	Spermophilus_dauricus
ENSMMMP00000008114	ENSMMMG00000007272	Marmota_marmota_marmota
ENSDORP00000010542	ENSDORG00000011220	Dipodomys_ordii
ENSCCNP00000032536	ENSCCNG00000030849	Castor_canadensis
ENSPEMP00000012403	ENSPEMG00000012753	Peromyscus_maniculatus_bairdii
ENSPEMP00000035298	ENSPEMG00000021195	Peromyscus_maniculatus_bairdii
ENSCGRP00001007597	ENSCGRG00001009991	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015008036	ENSCGRG00015006253	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000021937	ENSCGRG00000015902	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000015912	ENSMAUG00000015234	Mesocricetus_auratus
ENSMOCP00000019328	ENSMOCG00000017359	Microtus_ochrogaster
ENSMUGP00000000548	ENSMUGG00000000546	Meriones_unguiculatus
ENSMUGP00000000604	ENSMUGG00000000594	Meriones_unguiculatus
ENSMUGP00000004399	ENSMUGG00000004078	Meriones_unguiculatus
MGP_CAROLIEiJ_P0023069	MGP_CAROLIEiJ_G0015375	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0024210	MGP_SPRETEiJ_G0016186	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000036781	ENSMSIG00000030618	Mus_spicilegus
ENSMSIP00000015876	ENSMSIG00000013621	Mus_spicilegus
ENSMUSP00000020283	ENSMUSG00000020086	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0086238	MGP_PahariEiJ_G0030791	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031717	ENSRNOG00000024751	Rattus_norvegicus
ENSNGAP00000015453	ENSNGAG00000016469	Nannospalax_galili
ENSJJAP00000011994	ENSJJAG00000015164	Jaculus_jaculus
ENSOCUP00000004128	ENSOCUG00000004773	Oryctolagus_cuniculus
ENSOPRP00000015047	ENSOPRG00000016481	Ochotona_princeps
ENSTBEP00000005545	ENSTBEG00000006437	Tupaia_belangeri
ENSMICP00000001478	ENSMICG00000001630	Microcebus_murinus
ENSPCOP00000025163	ENSPCOG00000024809	Propithecus_coquereli
ENSPSMP00000010577	ENSPSMG00000007648	Prolemur_simus
ENSOGAP00000004500	ENSOGAG00000005035	Otolemur_garnettii
ENSPPAP00000009592	ENSPPAG00000028027	Pan_paniscus
ENSPTRP00000004474	ENSPTRG00000002581	Pan_troglodytes
ENSP00000362352	ENSG00000099284	Homo_sapiens
ENSGGOP00000005821	ENSGGOG00000005947	Gorilla_gorilla
ENSPPYP00000002759	ENSPPYG00000002377	Pongo_abelii
ENSNLEP00000013714	ENSNLEG00000011286	Nomascus_leucogenys
ENSPTEP00000033888	ENSPTEG00000032256	Piliocolobus_tephrosceles
ENSCANP00000007593	ENSCANG00000024941	Colobus_angolensis_palliatus
ENSRROP00000029944	ENSRROG00000038749	Rhinopithecus_roxellana
ENSRBIP00000027774	ENSRBIG00000037767	Rhinopithecus_bieti
ENSMMUP00000073078	ENSMMUG00000006395	Macaca_mulatta
ENSMNEP00000034366	ENSMNEG00000040382	Macaca_nemestrina
ENSMFAP00000022098	ENSMFAG00000035957	Macaca_fascicularis
ENSTGEP00000036367	ENSTGEG00000028944	Theropithecus_gelada
ENSPANP00000020403	ENSPANG00000022173	Papio_anubis
ENSMLEP00000014879	ENSMLEG00000031598	Mandrillus_leucophaeus
