ENSGWIP00000029931	ENSGWIG00000015610	Gouania_willdenowi
ENSHCOP00000027584	ENSHCOG00000019520	Hippocampus_comes
ENSGACP00000004050	ENSGACG00000003092	Gasterosteus_aculeatus
ENSSMAP00000000976	ENSSMAG00000000620	Scophthalmus_maximus
ENSCSEP00000033400	ENSCSEG00000021434	Cynoglossus_semilaevis
ENSFHEP00000013419	ENSFHEG00000014914	Fundulus_heteroclitus
ENSCVAP00000013810	ENSCVAG00000016358	Cyprinodon_variegatus
ENSPFOP00000012145	ENSPFOG00000012152	Poecilia_formosa
ENSPFOP00000002999	ENSPFOG00000003125	Poecilia_formosa
ENSPLAP00000001376	ENSPLAG00000002405	Poecilia_latipinna
ENSPMEP00000032964	ENSPMEG00000021200	Poecilia_mexicana
ENSPREP00000009373	ENSPREG00000006378	Poecilia_reticulata
ENSXMAP00000037467	ENSXMAG00000021258	Xiphophorus_maculatus
ENSXCOP00000016981	ENSXCOG00000012806	Xiphophorus_couchianus
ENSGAFP00000018142	ENSGAFG00000012275	Gambusia_affinis
ENSKMAP00000015608	ENSKMAG00000011681	Kryptolebias_marmoratus
ENSORLP00015011136	ENSORLG00015000352	Oryzias_latipes_ASM223469v1
ENSORLP00000015590	ENSORLG00000012455	Oryzias_latipes_ASM223467v1
ENSORLP00020016104	ENSORLG00020017137	Oryzias_latipes_ASM223471v1
ENSOMEP00000025006	ENSOMEG00000005981	Oryzias_melastigma
ENSAOCP00000024472	ENSAOCG00000011302	Amphiprion_ocellaris
ENSAPEP00000024285	ENSAPEG00000017282	Amphiprion_percula
ENSAPOP00000002016	ENSAPOG00000003375	Acanthochromis_polyacanthus
ENSSPAP00000022219	ENSSPAG00000016788	Stegastes_partitus
ENSPRNP00000031425	ENSPRNG00000015773	Parambassis_ranga
ENSMZEP00005034914	ENSMZEG00005026114	Maylandia_zebra
ENSPNYP00000027753	ENSPNYG00000020901	Pundamilia_nyererei
ENSHBUP00000009993	ENSHBUG00000011526	Haplochromis_burtoni
ENSNBRP00000030278	ENSNBRG00000023040	Neolamprologus_brichardi
