ENSSBOP00000032877	ENSSBOG00000032627	Saimiri_boliviensis_boliviensis
ENSANAP00000002698	ENSANAG00000019035	Aotus_nancymaae
ENSPPAP00000020364	ENSPPAG00000033414	Pan_paniscus
ENSPTRP00000090184	ENSPTRG00000045875	Pan_troglodytes
ENSGGOP00000018324	ENSGGOG00000042390	Gorilla_gorilla
ENSNLEP00000005470	ENSNLEG00000004524	Nomascus_leucogenys
ENSPPYP00000011407	ENSPPYG00000010201	Pongo_abelii
ENSRBIP00000015316	ENSRBIG00000031755	Rhinopithecus_bieti
ENSRROP00000038538	ENSRROG00000042646	Rhinopithecus_roxellana
ENSMFAP00000016979	ENSMFAG00000031647	Macaca_fascicularis
ENSMLEP00000037750	ENSMLEG00000042957	Mandrillus_leucophaeus
ENSCATP00000030906	ENSCATG00000038602	Cercocebus_atys
ENSPANP00000041396	ENSPANG00000032397	Papio_anubis
ENSMNEP00000044756	ENSMNEG00000044936	Macaca_nemestrina
ENSCANP00000029309	ENSCANG00000038240	Colobus_angolensis_palliatus
