ENSMOCP00000024539	ENSMOCG00000020929	Microtus_ochrogaster
ENSPEMP00000000294	ENSPEMG00000000214	Peromyscus_maniculatus_bairdii
ENSCGRP00000024852	ENSCGRG00000018001	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001012266	ENSCGRG00001013711	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015002363	ENSCGRG00015001903	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000004767	ENSMAUG00000006454	Mesocricetus_auratus
ENSMSIP00000027931	ENSMSIG00000023534	Mus_spicilegus
ENSMSIP00000009957	ENSMSIG00000008740	Mus_spicilegus
ENSMUSP00000081544	ENSMUSG00000030934	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0086217	MGP_SPRETEiJ_G0031691	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0082801	MGP_CAROLIEiJ_G0030577	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0019591	MGP_PahariEiJ_G0013784	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000022628	ENSRNOG00000016807	Rattus_norvegicus
ENSMUGP00000004002	ENSMUGG00000003713	Meriones_unguiculatus
ENSMUGP00000003389	ENSMUGG00000003171	Meriones_unguiculatus
ENSNGAP00000007679	ENSNGAG00000010885	Nannospalax_galili
ENSJJAP00000009964	ENSJJAG00000013687	Jaculus_jaculus
ENSJJAP00000015301	ENSJJAG00000017512	Jaculus_jaculus
ENSJJAP00000018873	ENSJJAG00000020009	Jaculus_jaculus
ENSCPOP00000009287	ENSCPOG00000010340	Cavia_porcellus
ENSCAPP00000005122	ENSCAPG00000007501	Cavia_aperea
ENSODEP00000025125	ENSODEG00000018389	Octodon_degus
ENSODEP00000009161	ENSODEG00000006844	Octodon_degus
ENSODEP00000023802	ENSODEG00000017421	Octodon_degus
ENSCLAP00000005424	ENSCLAG00000003848	Chinchilla_lanigera
ENSHGLP00000013762	ENSHGLG00000009823	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005296	ENSHGLG00100004017	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000022735	ENSFDAG00000021059	Fukomys_damarensis
ENSCCNP00000015907	ENSCCNG00000016273	Castor_canadensis
ENSDORP00000012297	ENSDORG00000013083	Dipodomys_ordii
ENSSDAP00000008973	ENSSDAG00000008159	Spermophilus_dauricus
ENSUPAP00010005809	ENSUPAG00010004703	Urocitellus_parryii
ENSMMMP00000002446	ENSMMMG00000002258	Marmota_marmota_marmota
ENSSTOP00000004052	ENSSTOG00000004524	Ictidomys_tridecemlineatus
ENSTBEP00000011529	ENSTBEG00000013320	Tupaia_belangeri
ENSPTRP00000005344	ENSPTRG00000003028	Pan_troglodytes
ENSPPAP00000022757	ENSPPAG00000034558	Pan_paniscus
ENSP00000357838	ENSG00000065154	Homo_sapiens
ENSGGOP00000000834	ENSGGOG00000000848	Gorilla_gorilla
ENSPPYP00000024470	ENSPPYG00000002737	Pongo_abelii
ENSNLEP00000000597	ENSNLEG00000000482	Nomascus_leucogenys
ENSCANP00000018744	ENSCANG00000032808	Colobus_angolensis_palliatus
ENSPTEP00000032668	ENSPTEG00000031366	Piliocolobus_tephrosceles
ENSRROP00000015528	ENSRROG00000031943	Rhinopithecus_roxellana
ENSRBIP00000004505	ENSRBIG00000020634	Rhinopithecus_bieti
ENSMFAP00000038053	ENSMFAG00000038400	Macaca_fascicularis
ENSMMUP00000069843	ENSMMUG00000010485	Macaca_mulatta
ENSMNEP00000043097	ENSMNEG00000044251	Macaca_nemestrina
ENSCATP00000043024	ENSCATG00000044088	Cercocebus_atys
ENSMLEP00000017516	ENSMLEG00000032966	Mandrillus_leucophaeus
ENSTGEP00000036010	ENSTGEG00000028662	Theropithecus_gelada
ENSPANP00000016574	ENSPANG00000020327	Papio_anubis
ENSCSAP00000000866	ENSCSAG00000004531	Chlorocebus_sabaeus
ENSCCAP00000009010	ENSCCAG00000022249	Cebus_capucinus_imitator
ENSSBOP00000007969	ENSSBOG00000020910	Saimiri_boliviensis_boliviensis
ENSCJAP00000023164	ENSCJAG00000012633	Callithrix_jacchus
ENSANAP00000020377	ENSANAG00000027976	Aotus_nancymaae
ENSPTRP00000071311	ENSPTRG00000049383	Pan_troglodytes
ENSPPAP00000013838	ENSPPAG00000030049	Pan_paniscus
ENSGGOP00000039680	ENSGGOG00000042305	Gorilla_gorilla
ENSNLEP00000024504	ENSNLEG00000028121	Nomascus_leucogenys
ENSRBIP00000019715	ENSRBIG00000033830	Rhinopithecus_bieti
ENSRROP00000013527	ENSRROG00000030999	Rhinopithecus_roxellana
ENSPANP00000046188	ENSPANG00000033171	Papio_anubis
ENSMNEP00000014634	ENSMNEG00000031459	Macaca_nemestrina
ENSCANP00000010064	ENSCANG00000028447	Colobus_angolensis_palliatus
ENSTSYP00000006862	ENSTSYG00000007487	Carlito_syrichta
ENSPSMP00000022749	ENSPSMG00000016089	Prolemur_simus
ENSPCOP00000014143	ENSPCOG00000018744	Propithecus_coquereli
ENSMICP00000003551	ENSMICG00000003894	Microcebus_murinus
ENSOGAP00000009849	ENSOGAG00000011006	Otolemur_garnettii
ENSUMAP00000006830	ENSUMAG00000005337	Ursus_maritimus
ENSUAMP00000007023	ENSUAMG00000006147	Ursus_americanus
ENSAMEP00000010694	ENSAMEG00000010160	Ailuropoda_melanoleuca
ENSMPUP00000002720	ENSMPUG00000002748	Mustela_putorius_furo
ENSNVIP00000010329	ENSNVIG00000008116	Neovison_vison
ENSCAFP00020019319	ENSCAFG00020015369	Canis_lupus_dingo
ENSCAFP00000035720	ENSCAFG00000012743	Canis_lupus_familiaris
ENSVVUP00000007981	ENSVVUG00000006021	Vulpes_vulpes
ENSPPRP00000025705	ENSPPRG00000016061	Panthera_pardus
ENSPTIP00000017534	ENSPTIG00000015942	Panthera_tigris_altaica
ENSFCAP00000012841	ENSFCAG00000013847	Felis_catus
ENSPVAP00000010086	ENSPVAG00000010705	Pteropus_vampyrus
ENSBTAP00000009097	ENSBTAG00000006928	Bos_taurus
ENSBIXP00000030710	ENSBIXG00000012779	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000014872	ENSBMUG00000011306	Bos_mutus
ENSBBBP00000002084	ENSBBBG00000011212	Bison_bison_bison
ENSBIXP00005019457	ENSBIXG00005022673	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHIP00000012583	ENSCHIG00000014280	Capra_hircus
ENSCHIP00000032329	ENSCHIG00000026349	Capra_hircus
ENSOARP00000010783	ENSOARG00000010048	Ovis_aries
ENSTTRP00000003988	ENSTTRG00000004225	Tursiops_truncatus
ENSSSCP00000053629	ENSSSCG00000010734	Sus_scrofa_strain_reference
ENSSSCP00000041655	ENSSSCG00000032766	Sus_scrofa_strain_reference
ENSVPAP00000010660	ENSVPAG00000011447	Vicugna_pacos
ENSEASP00005020318	ENSEASG00005013980	Equus_asinus_asinus
ENSECAP00000012723	ENSECAG00000014873	Equus_caballus
ENSDNOP00000004794	ENSDNOG00000006180	Dasypus_novemcinctus
ENSDNOP00000023422	ENSDNOG00000045019	Dasypus_novemcinctus
ENSCHOP00000002062	ENSCHOG00000002333	Choloepus_hoffmanni
ENSPCAP00000014451	ENSPCAG00000015466	Procavia_capensis
ENSLAFP00000021976	ENSLAFG00000006793	Loxodonta_africana
ENSVURP00010031973	ENSVURG00010024415	Vombatus_ursinus
ENSPCIP00000018535	ENSPCIG00000014184	Phascolarctos_cinereus
ENSMEUP00000005166	ENSMEUG00000005655	Notamacropus_eugenii
ENSSHAP00000005291	ENSSHAG00000004628	Sarcophilus_harrisii
ENSOANP00000028106	ENSOANG00000022043	Ornithorhynchus_anatinus
ENSSARP00000010119	ENSSARG00000011211	Sorex_araneus
ENSEEUP00000004846	ENSEEUG00000005331	Erinaceus_europaeus
ENSMLUP00000017251	ENSMLUG00000024795	Myotis_lucifugus
ENSMLUP00000020896	ENSMLUG00000024718	Myotis_lucifugus
ENSMLUP00000017400	ENSMLUG00000029897	Myotis_lucifugus
ENSMLUP00000016846	ENSMLUG00000028284	Myotis_lucifugus
ENSMLUP00000018315	ENSMLUG00000025269	Myotis_lucifugus
ENSMLUP00000022437	ENSMLUG00000022820	Myotis_lucifugus
ENSMLUP00000022480	ENSMLUG00000028469	Myotis_lucifugus
ENSMLUP00000019754	ENSMLUG00000030375	Myotis_lucifugus
ENSMLUP00000021939	ENSMLUG00000027292	Myotis_lucifugus
ENSMLUP00000018275	ENSMLUG00000026651	Myotis_lucifugus
ENSMLUP00000018536	ENSMLUG00000026494	Myotis_lucifugus
ENSMLUP00000016865	ENSMLUG00000023446	Myotis_lucifugus
ENSMLUP00000021733	ENSMLUG00000024408	Myotis_lucifugus
ENSMLUP00000020946	ENSMLUG00000028882	Myotis_lucifugus
ENSMLUP00000022418	ENSMLUG00000026528	Myotis_lucifugus
ENSMLUP00000018114	ENSMLUG00000027701	Myotis_lucifugus
ENSMLUP00000021499	ENSMLUG00000025357	Myotis_lucifugus
ENSMLUP00000006435	ENSMLUG00000007040	Myotis_lucifugus
ENSOPRP00000013234	ENSOPRG00000014497	Ochotona_princeps
ENSOCUP00000033314	ENSOCUG00000013547	Oryctolagus_cuniculus
ENSMODP00000020699	ENSMODG00000016579	Monodelphis_domestica
ENSOANP00000009205	ENSOANG00000005776	Ornithorhynchus_anatinus
ENSACAP00000017285	ENSACAG00000017543	Anolis_carolinensis
ENSPVIP00000005914	ENSPVIG00000004845	Pogona_vitticeps
ENSNSUP00000000914	ENSNSUG00000000859	Notechis_scutatus
ENSSMRP00000005836	ENSSMRG00000004707	Salvator_merianae
ENSSPUP00000016851	ENSSPUG00000013033	Sphenodon_punctatus
ENSAHAP00000011508	ENSAHAG00000008316	Apteryx_haastii
ENSAOWP00000027722	ENSAOWG00000018687	Apteryx_owenii
ENSARWP00000014493	ENSARWG00000010035	Apteryx_rowi
ENSDNVP00000004625	ENSDNVG00000003288	Dromaius_novaehollandiae
ENSNPEP00000016845	ENSNPEG00000012537	Nothoprocta_perdicaria
ENSCPGP00000014315	ENSCPGG00000010133	Calidris_pygmaea
ENSCPUP00000029021	ENSCPUG00000019496	Calidris_pugnax
ENSLCOP00000014091	ENSLCOG00000010141	Lepidothrix_coronata
ENSMVIP00005021987	ENSMVIG00005015452	Manacus_vitellinus
ENSLSDP00000014532	ENSLSDG00000010497	Lonchura_striata_domestica
ENSTGUP00000011788	ENSTGUG00000011436	Taeniopygia_guttata
ENSSCAP00000018700	ENSSCAG00000013523	Serinus_canaria
ENSPMJP00000006978	ENSPMJG00000005814	Parus_major
ENSCCEP00000020061	ENSCCEG00000018188	Cyanistes_caeruleus
ENSJHYP00000014086	ENSJHYG00000010919	Junco_hyemalis
ENSZALP00000015164	ENSZALG00000012502	Zonotrichia_albicollis
ENSFALP00000004973	ENSFALG00000004768	Ficedula_albicollis
ENSMUNP00000007488	ENSMUNG00000005989	Melopsittacus_undulatus
ENSABRP00000007101	ENSABRG00000006520	Anser_brachyrhynchus
ENSAPLP00000015307	ENSAPLG00000015424	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000012232	ENSMGAG00000011675	Meleagris_gallopavo
ENSGALP00000053373	ENSGALG00000031158	Gallus_gallus
ENSCJPP00005000853	ENSCJPG00005000924	Coturnix_japonica
ENSNMEP00000014149	ENSNMEG00000012747	Numida_meleagris
ENSCABP00000019951	ENSCABG00000014677	Chelonoidis_abingdonii
ENSGAGP00000026183	ENSGAGG00000019114	Gopherus_agassizii
ENSCPBP00000040918	ENSCPBG00000028074	Chrysemys_picta_bellii
ENSPSIP00000009719	ENSPSIG00000008761	Pelodiscus_sinensis
ENSCPRP00005013893	ENSCPRG00005009806	Crocodylus_porosus
ENSXETP00000013510	ENSXETG00000001002	Xenopus_tropicalis
ENSXETP00000013432	ENSXETG00000001046	Xenopus_tropicalis
ENSLACP00000017508	ENSLACG00000015419	Latimeria_chalumnae
ENSDCDP00000019673	ENSDCDG00000015712	Denticeps_clupeoides
ENSCHAP00000011323	ENSCHAG00000005645	Clupea_harengus
ENSAMXP00005021148	ENSAMXG00005010949	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000035738	ENSAMXG00000033395	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000033343	ENSPNAG00000021897	Pygocentrus_nattereri
ENSIPUP00000003380	ENSIPUG00000002393	Ictalurus_punctatus
ENSEEEP00000007900	ENSEEEG00000004117	Electrophorus_electricus
ENSDARP00000125055	ENSDARG00000078425	Danio_rerio
ENSHCOP00000013135	ENSHCOG00000016270	Hippocampus_comes
