ENSCPRP00005002836	ENSCPRG00005002070	Crocodylus_porosus
ENSPSIP00000013558	ENSPSIG00000012074	Pelodiscus_sinensis
ENSABRP00000007725	ENSABRG00000007072	Anser_brachyrhynchus
ENSAPLP00000018569	ENSAPLG00000006923	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000003215	ENSMGAG00000003502	Meleagris_gallopavo
ENSCPGP00000018872	ENSCPGG00000013188	Calidris_pygmaea
ENSCPUP00000023491	ENSCPUG00000015936	Calidris_pugnax
ENSTGUP00000002008	ENSTGUG00000001945	Taeniopygia_guttata
ENSSCAP00000017049	ENSSCAG00000012393	Serinus_canaria
ENSPMJP00000017406	ENSPMJG00000013092	Parus_major
ENSLCOP00000018430	ENSLCOG00000013033	Lepidothrix_coronata
ENSMVIP00005002534	ENSMVIG00005001965	Manacus_vitellinus
ENSZALP00000000217	ENSZALG00000000218	Zonotrichia_albicollis
ENSDNVP00000010124	ENSDNVG00000007157	Dromaius_novaehollandiae
ENSFALP00000012202	ENSFALG00000011691	Ficedula_albicollis
ENSLSDP00000003716	ENSLSDG00000002856	Lonchura_striata_domestica
ENSCCEP00000003734	ENSCCEG00000004166	Cyanistes_caeruleus
ENSJHYP00000023098	ENSJHYG00000017406	Junco_hyemalis
ENSMVIP00005022693	ENSMVIG00005015923	Manacus_vitellinus
ENSMUNP00000007485	ENSMUNG00000005986	Melopsittacus_undulatus
ENSGALP00000013731	ENSGALG00000008437	Gallus_gallus
ENSCJPP00005003979	ENSCJPG00005004043	Coturnix_japonica
ENSNMEP00000000889	ENSNMEG00000001298	Numida_meleagris
ENSAOWP00000020737	ENSAOWG00000014015	Apteryx_owenii
ENSAHAP00000023860	ENSAHAG00000016674	Apteryx_haastii
ENSARWP00000001239	ENSARWG00000001006	Apteryx_rowi
ENSNPEP00000020849	ENSNPEG00000015489	Nothoprocta_perdicaria
ENSPVIP00000029760	ENSPVIG00000021933	Pogona_vitticeps
ENSNSUP00000017998	ENSNSUG00000013139	Notechis_scutatus
ENSSPUP00000002210	ENSSPUG00000001721	Sphenodon_punctatus
ENSGAGP00000003446	ENSGAGG00000002790	Gopherus_agassizii
ENSCABP00000021190	ENSCABG00000015617	Chelonoidis_abingdonii
ENSCPBP00000027126	ENSCPBG00000019175	Chrysemys_picta_bellii
ENSSMRP00000012164	ENSSMRG00000009518	Salvator_merianae
ENSACAP00000017318	ENSACAG00000017577	Anolis_carolinensis
ENSCHOP00000008863	ENSCHOG00000010007	Choloepus_hoffmanni	ENSCHOT00000010032
ENSDNOP00000021955	ENSDNOG00000032780	Dasypus_novemcinctus	ENSDNOT00000030852
ENSLAFP00000016684	ENSLAFG00000022113	Loxodonta_africana
ENSLAFP00000018014	ENSLAFG00000022323	Loxodonta_africana
ENSPCAP00000004715	ENSPCAG00000004984	Procavia_capensis
ENSCHIP00000002151	ENSCHIG00000004441	Capra_hircus
ENSOARP00000009545	ENSOARG00000008885	Ovis_aries
ENSBIXP00005031332	ENSBIXG00005001148	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000014193	ENSBIXG00000018934	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000065302	ENSBTAG00000007648	Bos_taurus
ENSBMUP00000009195	ENSBMUG00000007162	Bos_mutus
ENSBBBP00000014335	ENSBBBG00000005824	Bison_bison_bison
ENSSSCP00000052015	ENSSSCG00000023105	Sus_scrofa_strain_reference
ENSTTRP00000013722	ENSTTRG00000014473	Tursiops_truncatus
ENSEEUP00000004761	ENSEEUG00000005225	Erinaceus_europaeus
ENSUAMP00000008601	ENSUAMG00000007238	Ursus_americanus
ENSUMAP00000016505	ENSUMAG00000012142	Ursus_maritimus
ENSAMEP00000002046	ENSAMEG00000001922	Ailuropoda_melanoleuca
ENSVVUP00000009588	ENSVVUG00000007087	Vulpes_vulpes
ENSCAFP00000007836	ENSCAFG00000005241	Canis_lupus_familiaris
ENSCAFP00020006277	ENSCAFG00020004664	Canis_lupus_dingo
ENSNVIP00000012468	ENSNVIG00000009881	Neovison_vison
ENSMPUP00000016218	ENSMPUG00000016321	Mustela_putorius_furo
ENSPPRP00000012308	ENSPPRG00000005910	Panthera_pardus
ENSPTIP00000015558	ENSPTIG00000014586	Panthera_tigris_altaica
ENSFCAP00000040035	ENSFCAG00000031422	Felis_catus
ENSPVAP00000016877	ENSPVAG00000017891	Pteropus_vampyrus
ENSSARP00000011794	ENSSARG00000013021	Sorex_araneus
ENSECAP00000018869	ENSECAG00000021234	Equus_caballus
ENSEASP00005028195	ENSEASG00005019170	Equus_asinus_asinus
ENSMUSP00000089464	ENSMUSG00000021215	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000091853
MGP_SPRETEiJ_P0035128	MGP_SPRETEiJ_G0019049	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0033579	MGP_CAROLIEiJ_G0018197	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0040179	MGP_PahariEiJ_G0019245	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023945	ENSRNOG00000017765	Rattus_norvegicus
