ENSPTIP00000016452	ENSPTIG00000015232	Panthera_tigris_altaica
ENSOCUP00000012553	ENSOCUG00000014604	Oryctolagus_cuniculus
ENSVURP00010016000	ENSVURG00010012253	Vombatus_ursinus
ENSCPOP00000011524	ENSCPOG00000012804	Cavia_porcellus
ENSAMEP00000005990	ENSAMEG00000005661	Ailuropoda_melanoleuca
ENSMUSP00000124534	ENSMUSG00000054537	Mus_musculus_strain_reference_(CL57BL6)
ENSDORP00000001123	ENSDORG00000001199	Dipodomys_ordii
ENSSSCP00000042790	ENSSSCG00000022140	Sus_scrofa_strain_reference	ENSSSCT00000060297
ENSPCAP00000004133	ENSPCAG00000004424	Procavia_capensis
ENSUMAP00000018684	ENSUMAG00000013722	Ursus_maritimus
ENSCGRP00000010116	ENSCGRG00000007378	Cricetulus_griseus_CriGri_1.0
ENSCHOP00000005198	ENSCHOG00000005869	Choloepus_hoffmanni
ENSCLAP00000004488	ENSCLAG00000003193	Chinchilla_lanigera
ENSCJAP00000063372	ENSCJAG00000009972	Callithrix_jacchus
ENSTTRP00000002886	ENSTTRG00000003076	Tursiops_truncatus
ENSPCOP00000024881	ENSPCOG00000024658	Propithecus_coquereli
ENSCCNP00000013161	ENSCCNG00000013683	Castor_canadensis
ENSP00000307519	ENSG00000087128	Homo_sapiens
ENSMICP00000005706	ENSMICG00000006258	Microcebus_murinus
ENSFCAP00000025100	ENSFCAG00000031341	Felis_catus
ENSMUGP00000030646	ENSMUGG00000025477	Meriones_unguiculatus
ENSCANP00000000004	ENSCANG00000000004	Colobus_angolensis_palliatus
ENSPSMP00000021704	ENSPSMG00000015320	Prolemur_simus
ENSMMUP00000014533	ENSMMUG00000011103	Macaca_mulatta
MGP_PahariEiJ_P0032042	MGP_PahariEiJ_G0017125	Mus_pahari_strain_PAHARI_EIJ
MGP_SPRETEiJ_P0071525	MGP_SPRETEiJ_G0028338	Mus_spretus_strain_SPRET/EiJ
ENSPVAP00000014663	ENSPVAG00000015552	Pteropus_vampyrus
ENSCSAP00000001569	ENSCSAG00000005260	Chlorocebus_sabaeus
ENSABRP00000016698	ENSABRG00000014632	Anser_brachyrhynchus
ENSMEUP00000002738	ENSMEUG00000002997	Notamacropus_eugenii
ENSOARP00000009061	ENSOARG00000008444	Ovis_aries
ENSMMMP00000026400	ENSMMMG00000023131	Marmota_marmota_marmota
ENSJJAP00000005710	ENSJJAG00000010571	Jaculus_jaculus
ENSUAMP00000012864	ENSUAMG00000010392	Ursus_americanus
ENSTGEP00000022463	ENSTGEG00000018180	Theropithecus_gelada
ENSRROP00000019216	ENSRROG00000033626	Rhinopithecus_roxellana
ENSSARP00000009936	ENSSARG00000010974	Sorex_araneus
ENSHGLP00000012268	ENSHGLG00000008771	Heterocephalus_glaber_HetGla_female_1.0
MGP_CAROLIEiJ_P0068876	MGP_CAROLIEiJ_G0027346	Mus_caroli_strain_CAROLI_EIJ
ENSSTOP00000017792	ENSSTOG00000028976	Ictidomys_tridecemlineatus
ENSOGAP00000003694	ENSOGAG00000004141	Otolemur_garnettii
ENSCGRP00001023843	ENSCGRG00001021954	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025255	ENSCGRG00015019167	Cricetulus_griseus_CriGri-PICR
ENSSDAP00000000657	ENSSDAG00000000680	Spermophilus_dauricus
ENSPPRP00000020288	ENSPPRG00000011415	Panthera_pardus
ENSANAP00000004423	ENSANAG00000020306	Aotus_nancymaae
ENSBBBP00000001479	ENSBBBG00000010580	Bison_bison_bison
ENSEASP00005026958	ENSEASG00005018366	Equus_asinus_asinus
ENSMAUP00000023590	ENSMAUG00000020697	Mesocricetus_auratus
ENSVPAP00000008410	ENSVPAG00000009037	Vicugna_pacos
ENSECAP00000021269	ENSECAG00000023819	Equus_caballus
ENSRBIP00000001815	ENSRBIG00000009094	Rhinopithecus_bieti
ENSMODP00000025953	ENSMODG00000020752	Monodelphis_domestica
ENSAPLP00000027456	ENSAPLG00000029530	Anas_platyrhynchos_platyrhynchos
ENSPPAP00000035739	ENSPPAG00000040655	Pan_paniscus
ENSPEMP00000009236	ENSPEMG00000010598	Peromyscus_maniculatus_bairdii
ENSMFAP00000026141	ENSMFAG00000044534	Macaca_fascicularis
ENSMPUP00000001719	ENSMPUG00000001737	Mustela_putorius_furo
ENSTSYP00000008294	ENSTSYG00000009038	Carlito_syrichta
ENSNLEP00000011252	ENSNLEG00000009223	Nomascus_leucogenys
ENSPTRP00000027700	ENSPTRG00000016107	Pan_troglodytes
ENSCHIP00000032026	ENSCHIG00000026152	Capra_hircus	ENSCHIT00000039901
ENSCAPP00000000241	ENSCAPG00000000201	Cavia_aperea
ENSBIXP00000022872	ENSBIXG00000002139	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMSIP00000002972	ENSMSIG00000002742	Mus_spicilegus
ENSPCIP00000053199	ENSPCIG00000006611	Phascolarctos_cinereus
ENSSHAP00000006037	ENSSHAG00000005256	Sarcophilus_harrisii
ENSHGLP00100002448	ENSHGLG00100001898	Heterocephalus_glaber_HetGla_1.0
ENSVVUP00000007140	ENSVVUG00000005423	Vulpes_vulpes
ENSSBOP00000001000	ENSSBOG00000004412	Saimiri_boliviensis_boliviensis
ENSPANP00000030460	ENSPANG00000016826	Papio_anubis
ENSBIXP00005026331	ENSBIXG00005028657	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCATP00000002976	ENSCATG00000012195	Cercocebus_atys
ENSDNOP00000009681	ENSDNOG00000012474	Dasypus_novemcinctus
ENSMNEP00000030989	ENSMNEG00000038930	Macaca_nemestrina
ENSRNOP00000037162	ENSRNOG00000022255	Rattus_norvegicus
ENSUPAP00010009571	ENSUPAG00010007754	Urocitellus_parryii
ENSMOCP00000013631	ENSMOCG00000013356	Microtus_ochrogaster
ENSODEP00000002291	ENSODEG00000001785	Octodon_degus
ENSMLEP00000040342	ENSMLEG00000044185	Mandrillus_leucophaeus
ENSEEUP00000009932	ENSEEUG00000010886	Erinaceus_europaeus
ENSPTEP00000023011	ENSPTEG00000023832	Piliocolobus_tephrosceles
ENSCCAP00000013087	ENSCCAG00000024346	Cebus_capucinus_imitator
ENSPPYP00000016449	ENSPPYG00000014725	Pongo_abelii
ENSNGAP00000005489	ENSNGAG00000007818	Nannospalax_galili
ENSETEP00000012245	ENSETEG00000015107	Echinops_telfairi	ENSETET00000015107
ENSBTAP00000052308	ENSBTAG00000038520	Bos_taurus
ENSLAFP00000008261	ENSLAFG00000009861	Loxodonta_africana
ENSGGOP00000023047	ENSGGOG00000022081	Gorilla_gorilla
ENSBMUP00000035777	ENSBMUG00000026563	Bos_mutus
ENSNVIP00000022114	ENSNVIG00000017242	Neovison_vison
ENSCAFP00000043540	ENSCAFG00000028617	Canis_lupus_familiaris
ENSOANP00000020210	ENSOANG00000012771	Ornithorhynchus_anatinus
ENSMLUP00000008936	ENSMLUG00000009811	Myotis_lucifugus
ENSCAFP00020034994	ENSCAFG00020027116	Canis_lupus_dingo
ENSFDAP00000017449	ENSFDAG00000006020	Fukomys_damarensis
ENSTBEP00000014317	ENSTBEG00000016480	Tupaia_belangeri
