MGP_SPRETEiJ_P0031197	MGP_SPRETEiJ_G0017965	Mus_spretus_strain_SPRET/EiJ
ENSDORP00000015222	ENSDORG00000016181	Dipodomys_ordii
ENSCCAP00000029199	ENSCCAG00000032652	Cebus_capucinus_imitator
ENSBTAP00000023156	ENSBTAG00000017408	Bos_taurus
ENSSBOP00000034304	ENSSBOG00000033336	Saimiri_boliviensis_boliviensis
ENSCANP00000006268	ENSCANG00000021022	Colobus_angolensis_palliatus
ENSFDAP00000013535	ENSFDAG00000000223	Fukomys_damarensis
ENSVURP00010005969	ENSVURG00010004631	Vombatus_ursinus
ENSPSMP00000014662	ENSPSMG00000010509	Prolemur_simus
ENSMOCP00000018026	ENSMOCG00000016435	Microtus_ochrogaster
ENSCHOP00000009659	ENSCHOG00000010912	Choloepus_hoffmanni
ENSODEP00000024285	ENSODEG00000017770	Octodon_degus
ENSOGAP00000002764	ENSOGAG00000003085	Otolemur_garnettii
ENSPTRP00000015612	ENSPTRG00000030928	Pan_troglodytes
ENSCAPP00000014856	ENSCAPG00000015134	Cavia_aperea
ENSRROP00000034661	ENSRROG00000040878	Rhinopithecus_roxellana
ENSSSCP00000046695	ENSSSCG00000036987	Sus_scrofa_strain_reference
ENSPANP00000020619	ENSPANG00000021567	Papio_anubis
ENSFCAP00000046681	ENSFCAG00000046553	Felis_catus
ENSMICP00000009026	ENSMICG00000009912	Microcebus_murinus
ENSMSIP00000030870	ENSMSIG00000025867	Mus_spicilegus
ENSMLUP00000015736	ENSMLUG00000017258	Myotis_lucifugus	ENSMLUT00000017264
ENSCHIP00000029868	ENSCHIG00000024829	Capra_hircus
ENSPTEP00000010605	ENSPTEG00000012012	Piliocolobus_tephrosceles
ENSTSYP00000010397	ENSTSYG00000011333	Carlito_syrichta
ENSETEP00000011785	ENSETEG00000014533	Echinops_telfairi
ENSECAP00000008588	ENSECAG00000010592	Equus_caballus	ENSECAT00000011039
ENSANAP00000028091	ENSANAG00000031905	Aotus_nancymaae
ENSOARP00000016826	ENSOARG00000015681	Ovis_aries
ENSPPRP00000029627	ENSPPRG00000022324	Panthera_pardus
ENSMMUP00000001517	ENSMMUG00000001142	Macaca_mulatta
ENSAMEP00000008840	ENSAMEG00000008365	Ailuropoda_melanoleuca
ENSMAUP00000021625	ENSMAUG00000019288	Mesocricetus_auratus
ENSMODP00000017004	ENSMODG00000013596	Monodelphis_domestica
ENSCGRP00001000062	ENSCGRG00001000083	Cricetulus_griseus_CHOK1GS_HDv1
ENSTBEP00000009098	ENSTBEG00000010527	Tupaia_belangeri
ENSBIXP00005046557	ENSBIXG00005031328	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSUMAP00000024931	ENSUMAG00000018152	Ursus_maritimus
ENSCSAP00000015199	ENSCSAG00000002848	Chlorocebus_sabaeus
ENSMNEP00000034465	ENSMNEG00000040425	Macaca_nemestrina
ENSEASP00005004957	ENSEASG00005003721	Equus_asinus_asinus
ENSSHAP00000005877	ENSSHAG00000005127	Sarcophilus_harrisii
