ENSMMOP00000001231	ENSMMOG00000001050	Mola_mola
ENSTRUP00000054727	ENSTRUG00000024961	Takifugu_rubripes
ENSLBEP00000004220	ENSLBEG00000003244	Labrus_bergylta
ENSORLP00000041165	ENSORLG00000027563	Oryzias_latipes_ASM223467v1
ENSORLP00020010854	ENSORLG00020011777	Oryzias_latipes_ASM223471v1
ENSORLP00015022584	ENSORLG00015002043	Oryzias_latipes_ASM223469v1
ENSOMEP00000032419	ENSOMEG00000017835	Oryzias_melastigma
ENSXCOP00000017818	ENSXCOG00000013425	Xiphophorus_couchianus
ENSACIP00000026335	ENSACIG00000020418	Amphilophus_citrinellus
ENSMALP00000014630	ENSMALG00000010273	Monopterus_albus
ENSMAMP00000011850	ENSMAMG00000008020	Mastacembelus_armatus
