ENSVURP00010005504	ENSVURG00010004302	Vombatus_ursinus	ENSVURT00010006229
ENSPCIP00000021914	ENSPCIG00000016594	Phascolarctos_cinereus	ENSPCIT00000027024
ENSMODP00000030624	ENSMODG00000008321	Monodelphis_domestica	ENSMODT00000032194
ENSMODP00000056413	ENSMODG00000042731	Monodelphis_domestica	ENSMODT00000082556
ENSCHOP00000003589	ENSCHOG00000004064	Choloepus_hoffmanni
ENSPCAP00000014042	ENSPCAG00000015061	Procavia_capensis
ENSSTOP00000004006	ENSSTOG00000004477	Ictidomys_tridecemlineatus	ENSSTOT00000004463
ENSSDAP00000024946	ENSSDAG00000022700	Spermophilus_dauricus	ENSSDAT00000028527
ENSUPAP00010014235	ENSUPAG00010011446	Urocitellus_parryii	ENSUPAT00010016273
ENSMMMP00000023492	ENSMMMG00000020573	Marmota_marmota_marmota
ENSHGLP00000008733	ENSHGLG00000006288	Heterocephalus_glaber_HetGla_female_1.0
ENSOCUP00000026529	ENSOCUG00000029301	Oryctolagus_cuniculus
ENSOPRP00000002877	ENSOPRG00000003127	Ochotona_princeps
ENSPTRP00000030484	ENSPTRG00000017876	Pan_troglodytes
ENSP00000289788	ENSG00000187987	Homo_sapiens
ENSGGOP00000017277	ENSGGOG00000024543	Gorilla_gorilla
ENSPPYP00000018303	ENSPPYG00000016373	Pongo_abelii
ENSNLEP00000042787	ENSNLEG00000028711	Nomascus_leucogenys
ENSMNEP00000001556	ENSMNEG00000006997	Macaca_nemestrina
ENSMFAP00000028819	ENSMFAG00000041692	Macaca_fascicularis
ENSMMUP00000070203	ENSMMUG00000012396	Macaca_mulatta
ENSMLEP00000035114	ENSMLEG00000041699	Mandrillus_leucophaeus
ENSCATP00000004592	ENSCATG00000015896	Cercocebus_atys
ENSPANP00000013871	ENSPANG00000012448	Papio_anubis
ENSTGEP00000004337	ENSTGEG00000003639	Theropithecus_gelada
ENSCSAP00000004304	ENSCSAG00000008044	Chlorocebus_sabaeus
ENSCANP00000003210	ENSCANG00000011616	Colobus_angolensis_palliatus
ENSPTEP00000039333	ENSPTEG00000036412	Piliocolobus_tephrosceles
ENSRBIP00000039338	ENSRBIG00000043119	Rhinopithecus_bieti
ENSRROP00000043578	ENSRROG00000044825	Rhinopithecus_roxellana
ENSSBOP00000032137	ENSSBOG00000032258	Saimiri_boliviensis_boliviensis
ENSCCAP00000015602	ENSCCAG00000025597	Cebus_capucinus_imitator
ENSCJAP00000034570	ENSCJAG00000018616	Callithrix_jacchus
ENSANAP00000033108	ENSANAG00000034248	Aotus_nancymaae
ENSTSYP00000000656	ENSTSYG00000000711	Carlito_syrichta
ENSPCOP00000006856	ENSPCOG00000014624	Propithecus_coquereli
ENSMICP00000009567	ENSMICG00000010510	Microcebus_murinus
ENSOGAP00000005906	ENSOGAG00000006605	Otolemur_garnettii
ENSCHIP00000018468	ENSCHIG00000017885	Capra_hircus
ENSOARP00000019048	ENSOARG00000017751	Ovis_aries
ENSBTAP00000052434	ENSBTAG00000037965	Bos_taurus
ENSBBBP00000005677	ENSBBBG00000003280	Bison_bison_bison
ENSTTRP00000014822	ENSTTRG00000015648	Tursiops_truncatus
ENSVPAP00000000038	ENSVPAG00000000043	Vicugna_pacos
ENSSSCP00000037474	ENSSSCG00000037512	Sus_scrofa_strain_reference
ENSEASP00005017533	ENSEASG00005012120	Equus_asinus_asinus
ENSECAP00000014543	ENSECAG00000016879	Equus_caballus
ENSUAMP00000015508	ENSUAMG00000012415	Ursus_americanus
ENSUMAP00000026602	ENSUMAG00000019368	Ursus_maritimus
ENSMPUP00000001262	ENSMPUG00000001273	Mustela_putorius_furo
ENSNVIP00000018151	ENSNVIG00000014212	Neovison_vison
ENSCAFP00000063276	ENSCAFG00000024985	Canis_lupus_familiaris
ENSCAFP00020003633	ENSCAFG00020003049	Canis_lupus_dingo
ENSVVUP00000027430	ENSVVUG00000020141	Vulpes_vulpes
ENSPPRP00000023210	ENSPPRG00000013486	Panthera_pardus
ENSPTIP00000000380	ENSPTIG00000000943	Panthera_tigris_altaica
ENSFCAP00000000223	ENSFCAG00000000244	Felis_catus
ENSEEUP00000003855	ENSEEUG00000004267	Erinaceus_europaeus
ENSEEUP00000006328	ENSEEUG00000006981	Erinaceus_europaeus
ENSSARP00000007663	ENSSARG00000008482	Sorex_araneus
ENSPSMP00000022425	ENSPSMG00000015848	Prolemur_simus
ENSPSMP00000003118	ENSPSMG00000002555	Prolemur_simus
ENSCCNP00000001047	ENSCCNG00000001161	Castor_canadensis
ENSBMUP00000032565	ENSBMUG00000024303	Bos_mutus
ENSBIXP00000007332	ENSBIXG00000013298	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000065883	ENSBTAG00000051232	Bos_taurus
ENSAMEP00000010969	ENSAMEG00000010442	Ailuropoda_melanoleuca
ENSETEP00000006125	ENSETEG00000007536	Echinops_telfairi
ENSDNOP00000031339	ENSDNOG00000046452	Dasypus_novemcinctus
ENSLAFP00000023900	ENSLAFG00000027529	Loxodonta_africana
ENSLAFP00000027295	ENSLAFG00000028896	Loxodonta_africana
ENSSDAP00000024948	ENSSDAG00000022703	Spermophilus_dauricus
ENSMPUP00000001248	ENSMPUG00000001259	Mustela_putorius_furo
ENSLAFP00000018037	ENSLAFG00000030050	Loxodonta_africana
ENSECAP00000053233	ENSECAG00000041491	Equus_caballus
ENSVURP00010005483	ENSVURG00010004282	Vombatus_ursinus
ENSPCIP00000045246	ENSPCIG00000035043	Phascolarctos_cinereus
