ENSMUGP00000017469	ENSMUGG00000014858	Meriones_unguiculatus
ENSNPEP00000016977	ENSNPEG00000012649	Nothoprocta_perdicaria	ENSNPET00000017399
ENSMSIP00000028886	ENSMSIG00000024211	Mus_spicilegus
ENSLAFP00000007310	ENSLAFG00000008707	Loxodonta_africana
ENSCGOP00000049388	ENSCGOG00000022006	Cottoperca_gobio
ENSPFOP00000014911	ENSPFOG00000014805	Poecilia_formosa
ENSEASP00005030934	ENSEASG00005021090	Equus_asinus_asinus
ENSXETP00000012398	ENSXETG00000013964	Xenopus_tropicalis
ENSMALP00000011634	ENSMALG00000008260	Monopterus_albus
ENSPPYP00000010998	ENSPPYG00000009822	Pongo_abelii
ENSMLEP00000019857	ENSMLEG00000034139	Mandrillus_leucophaeus
ENSPNAP00000007617	ENSPNAG00000013395	Pygocentrus_nattereri
ENSPMEP00000024359	ENSPMEG00000006590	Poecilia_mexicana
ENSLCRP00005005001	ENSLCRG00005002483	Larimichthys_crocea
ENSEEUP00000011754	ENSEEUG00000012903	Erinaceus_europaeus
ENSACAP00000007255	ENSACAG00000007311	Anolis_carolinensis
ENSBIXP00005025958	ENSBIXG00005004880	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSODEP00000020421	ENSODEG00000015062	Octodon_degus
ENSCJAP00000001290	ENSCJAG00000000755	Callithrix_jacchus
ENSECAP00000008176	ENSECAG00000009914	Equus_caballus
ENSCPUP00000011416	ENSCPUG00000008090	Calidris_pugnax
ENSXMAP00000041763	ENSXMAG00000017467	Xiphophorus_maculatus
ENSFALP00000000292	ENSFALG00000000274	Ficedula_albicollis
ENSSFOP00015017701	ENSSFOG00015011357	Scleropages_formosus
ENSMMUP00000067245	ENSMMUG00000028800	Macaca_mulatta
ENSPPRP00000003780	ENSPPRG00000000104	Panthera_pardus
MGP_SPRETEiJ_P0082361	MGP_SPRETEiJ_G0030685	Mus_spretus_strain_SPRET/EiJ
ENSXCOP00000016340	ENSXCOG00000012342	Xiphophorus_couchianus
ENSGAGP00000013152	ENSGAGG00000010081	Gopherus_agassizii
ENSNMEP00000021650	ENSNMEG00000018541	Numida_meleagris
ENSSHAP00000000909	ENSSHAG00000000814	Sarcophilus_harrisii
ENSKMAP00000025092	ENSKMAG00000018564	Kryptolebias_marmoratus
ENSMUSP00000032703	ENSMUSG00000030492	Mus_musculus_strain_reference_(CL57BL6)
ENSMUNP00000019339	ENSMUNG00000014776	Melopsittacus_undulatus
ENSHGLP00100000272	ENSHGLG00100000233	Heterocephalus_glaber_HetGla_1.0
ENSSTOP00000012262	ENSSTOG00000013674	Ictidomys_tridecemlineatus
ENSCPGP00000006116	ENSCPGG00000004091	Calidris_pygmaea
ENSCPOP00000021708	ENSCPOG00000011225	Cavia_porcellus
ENSBSLP00000046495	ENSBSLG00000021290	Betta_splendens
MGP_CAROLIEiJ_P0079029	MGP_CAROLIEiJ_G0029586	Mus_caroli_strain_CAROLI_EIJ
ENSPCIP00000028099	ENSPCIG00000020995	Phascolarctos_cinereus
ENSNGAP00000006490	ENSNGAG00000009688	Nannospalax_galili
ENSBSLP00000046785	ENSBSLG00000022214	Betta_splendens
ENSMODP00000030132	ENSMODG00000012256	Monodelphis_domestica
ENSTGEP00000018919	ENSTGEG00000015230	Theropithecus_gelada
ENSGALP00000007521	ENSGALG00000021158	Gallus_gallus
ENSTBEP00000007723	ENSTBEG00000008906	Tupaia_belangeri
ENSPPAP00000034980	ENSPPAG00000040321	Pan_paniscus
ENSCSAP00000001101	ENSCSAG00000004775	Chlorocebus_sabaeus
ENSMGAP00000005611	ENSMGAG00000005650	Meleagris_gallopavo
ENSSMRP00000022053	ENSSMRG00000017135	Salvator_merianae
ENSDCDP00000045677	ENSDCDG00000027566	Denticeps_clupeoides
ENSSDUP00000003708	ENSSDUG00000002790	Seriola_dumerili
ENSMPUP00000007641	ENSMPUG00000007696	Mustela_putorius_furo
ENSPMGP00000007507	ENSPMGG00000006228	Periophthalmus_magnuspinnatus
ENSCGRP00015026569	ENSCGRG00015020107	Cricetulus_griseus_CriGri-PICR
ENSACIP00000028262	ENSACIG00000021894	Amphilophus_citrinellus
ENSPMEP00000006758	ENSPMEG00000008330	Poecilia_mexicana
ENSTNIP00000007317	ENSTNIG00000004664	Tetraodon_nigroviridis
ENSGMOP00000000506	ENSGMOG00000000518	Gadus_morhua
ENSPTIP00000011523	ENSPTIG00000011909	Panthera_tigris_altaica
ENSCLAP00000018474	ENSCLAG00000012671	Chinchilla_lanigera
ENSPTEP00000043032	ENSPTEG00000039262	Piliocolobus_tephrosceles
ENSMICP00000047336	ENSMICG00000046921	Microcebus_murinus
ENSDNOP00000021441	ENSDNOG00000044029	Dasypus_novemcinctus
