ENSCCEP00000027423	ENSCCEG00000023954	Cyanistes_caeruleus
ENSVPAP00000007760	ENSVPAG00000008341	Vicugna_pacos
ENSMICP00000022941	ENSMICG00000009411	Microcebus_murinus
ENSDCDP00000027082	ENSDCDG00000019869	Denticeps_clupeoides
ENSFALP00000000351	ENSFALG00000000344	Ficedula_albicollis
ENSCPUP00000001791	ENSCPUG00000001374	Calidris_pugnax
ENSUPAP00010018780	ENSUPAG00010014877	Urocitellus_parryii
ENSPVIP00000019255	ENSPVIG00000014701	Pogona_vitticeps
MGP_SPRETEiJ_P0090249	MGP_SPRETEiJ_G0032893	Mus_spretus_strain_SPRET/EiJ
ENSAPLP00000004102	ENSAPLG00000004583	Anas_platyrhynchos_platyrhynchos
ENSELUP00000021743	ENSELUG00000020768	Esox_lucius
ENSODEP00000017430	ENSODEG00000012847	Octodon_degus
ENSARWP00000024961	ENSARWG00000017005	Apteryx_rowi	ENSARWT00000028280
ENSTTRP00000006996	ENSTTRG00000007393	Tursiops_truncatus
ENSNGAP00000017983	ENSNGAG00000018253	Nannospalax_galili
ENSPANP00000006617	ENSPANG00000020671	Papio_anubis
ENSRROP00000002919	ENSRROG00000011731	Rhinopithecus_roxellana
ENSGALP00000071052	ENSGALG00000013489	Gallus_gallus
ENSCAFP00000006052	ENSCAFG00000004083	Canis_lupus_familiaris
ENSUAMP00000036440	ENSUAMG00000027618	Ursus_americanus
ENSDARP00000026367	ENSDARG00000014966	Danio_rerio
ENSBIXP00005036100	ENSBIXG00005017501	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSACAP00000013277	ENSACAG00000013514	Anolis_carolinensis
ENSEEEP00000040578	ENSEEEG00000019220	Electrophorus_electricus
MGP_PahariEiJ_P0022367	MGP_PahariEiJ_G0014649	Mus_pahari_strain_PAHARI_EIJ
ENSOGAP00000006524	ENSOGAG00000007288	Otolemur_garnettii
ENSSTOP00000002063	ENSSTOG00000002309	Ictidomys_tridecemlineatus
ENSMUGP00000032112	ENSMUGG00000026717	Meriones_unguiculatus
ENSHHUP00000084884	ENSHHUG00000049203	Hucho_hucho
ENSMAUP00000021967	ENSMAUG00000019538	Mesocricetus_auratus
ENSSCAP00000004768	ENSSCAG00000003858	Serinus_canaria	ENSSCAT00000005508
ENSCJPP00005003703	ENSCJPG00005003846	Coturnix_japonica
ENSSMRP00000013139	ENSSMRG00000010232	Salvator_merianae
ENSPMJP00000024264	ENSPMJG00000017854	Parus_major
ENSEASP00005016145	ENSEASG00005011214	Equus_asinus_asinus
ENSJJAP00000015955	ENSJJAG00000017966	Jaculus_jaculus
ENSPPYP00000004340	ENSPPYG00000003795	Pongo_abelii
ENSCCAP00000000966	ENSCCAG00000006142	Cebus_capucinus_imitator
ENSPPRP00000004124	ENSPPRG00000000337	Panthera_pardus
ENSMPUP00000012203	ENSMPUG00000012300	Mustela_putorius_furo
ENSDNVP00000024656	ENSDNVG00000017131	Dromaius_novaehollandiae	ENSDNVT00000029828
ENSZALP00000020734	ENSZALG00000016287	Zonotrichia_albicollis	ENSZALT00000027096
ENSCGRP00015035659	ENSCGRG00015026769	Cricetulus_griseus_CriGri-PICR
ENSGAGP00000006411	ENSGAGG00000005185	Gopherus_agassizii
ENSMOCP00000021839	ENSMOCG00000019062	Microtus_ochrogaster
ENSAMXP00005035148	ENSAMXG00005016907	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTBEP00000010211	ENSTBEG00000011809	Tupaia_belangeri
ENSGGOP00000016341	ENSGGOG00000016752	Gorilla_gorilla
ENSABRP00000000741	ENSABRG00000000801	Anser_brachyrhynchus
