ENSMALP00000004233	ENSMALG00000003076	Monopterus_albus
ENSSCAP00000006442	ENSSCAG00000005026	Serinus_canaria
ENSMOCP00000008766	ENSMOCG00000008784	Microtus_ochrogaster
ENSNLEP00000018997	ENSNLEG00000015594	Nomascus_leucogenys
ENSPSMP00000008727	ENSPSMG00000006317	Prolemur_simus
ENSMEUP00000003274	ENSMEUG00000003573	Notamacropus_eugenii
ENSCHIP00000001915	ENSCHIG00000003972	Capra_hircus
ENSAPEP00000019666	ENSAPEG00000014028	Amphiprion_percula
ENSOMEP00000027475	ENSOMEG00000009941	Oryzias_melastigma
ENSEEUP00000006345	ENSEEUG00000006931	Erinaceus_europaeus
ENSOCUP00000023328	ENSOCUG00000027519	Oryctolagus_cuniculus
ENSPNAP00000012271	ENSPNAG00000018023	Pygocentrus_nattereri
ENSCCAP00000019064	ENSCCAG00000027374	Cebus_capucinus_imitator
ENSFDAP00000014638	ENSFDAG00000002003	Fukomys_damarensis
ENSPRNP00000009473	ENSPRNG00000005531	Parambassis_ranga
ENSTTRP00000012096	ENSTTRG00000012749	Tursiops_truncatus
ENSCMIP00000021372	ENSCMIG00000009752	Callorhinchus_milii
ENSCGRP00000006520	ENSCGRG00000004767	Cricetulus_griseus_CriGri_1.0
ENSAOCP00000014406	ENSAOCG00000019056	Amphiprion_ocellaris
ENSBMUP00000018390	ENSBMUG00000013918	Bos_mutus
ENSNMEP00000002088	ENSNMEG00000002679	Numida_meleagris
ENSCANP00000037036	ENSCANG00000042194	Colobus_angolensis_palliatus
ENSCCNP00000028924	ENSCCNG00000027155	Castor_canadensis
ENSACIP00000007936	ENSACIG00000006206	Amphilophus_citrinellus
ENSORLP00015034483	ENSORLG00015000574	Oryzias_latipes_ASM223469v1
ENSRNOP00000012056	ENSRNOG00000008829	Rattus_norvegicus
ENSMLEP00000028926	ENSMLEG00000038658	Mandrillus_leucophaeus
ENSGAGP00000016167	ENSGAGG00000012137	Gopherus_agassizii	ENSGAGT00000018460
ENSECRP00000011306	ENSECRG00000007526	Erpetoichthys_calabaricus
ENSPKIP00000023338	ENSPKIG00000006928	Paramormyrops_kingsleyae
ENSGGOP00000002376	ENSGGOG00000002413	Gorilla_gorilla
