ENSLACP00000013021	ENSLACG00000011472	Latimeria_chalumnae	ENSLACT00000013116
ENSLACP00000011281	ENSLACG00000009923	Latimeria_chalumnae	ENSLACT00000011365
ENSLSDP00000014457	ENSLSDG00000010444	Lonchura_striata_domestica
ENSTGUP00000011962	ENSTGUG00000011605	Taeniopygia_guttata
ENSSCAP00000002714	ENSSCAG00000002354	Serinus_canaria
ENSZALP00000010532	ENSZALG00000008916	Zonotrichia_albicollis
ENSJHYP00000022687	ENSJHYG00000017107	Junco_hyemalis
ENSPMJP00000006292	ENSPMJG00000005315	Parus_major
ENSCCEP00000009855	ENSCCEG00000009961	Cyanistes_caeruleus
ENSFALP00000008952	ENSFALG00000008584	Ficedula_albicollis
ENSMVIP00005022586	ENSMVIG00005015841	Manacus_vitellinus
ENSLCOP00000005792	ENSLCOG00000004295	Lepidothrix_coronata
ENSCPUP00000024445	ENSCPUG00000016578	Calidris_pugnax
ENSCPGP00000010894	ENSCPGG00000007744	Calidris_pygmaea
ENSMUNP00000007788	ENSMUNG00000006225	Melopsittacus_undulatus
ENSAPLP00000012696	ENSAPLG00000012910	Anas_platyrhynchos_platyrhynchos
ENSABRP00000009606	ENSABRG00000008619	Anser_brachyrhynchus
ENSMGAP00000016787	ENSMGAG00000015846	Meleagris_gallopavo
ENSMGAP00000012145	ENSMGAG00000011602	Meleagris_gallopavo
ENSGALP00000070594	ENSGALG00000037164	Gallus_gallus
ENSCJPP00005014050	ENSCJPG00005011778	Coturnix_japonica
ENSNMEP00000020409	ENSNMEG00000017506	Numida_meleagris
ENSAOWP00000022467	ENSAOWG00000015175	Apteryx_owenii	ENSAOWT00000025468
ENSAHAP00000007731	ENSAHAG00000005762	Apteryx_haastii	ENSAHAT00000008613
ENSARWP00000022901	ENSARWG00000015618	Apteryx_rowi	ENSARWT00000025976
ENSDNVP00000012722	ENSDNVG00000008987	Dromaius_novaehollandiae	ENSDNVT00000015336
ENSNPEP00000007495	ENSNPEG00000005607	Nothoprocta_perdicaria
ENSCPRP00005026553	ENSCPRG00005018428	Crocodylus_porosus
ENSGAGP00000023247	ENSGAGG00000017044	Gopherus_agassizii
ENSCABP00000009199	ENSCABG00000006913	Chelonoidis_abingdonii
ENSCPBP00000009209	ENSCPBG00000007122	Chrysemys_picta_bellii
ENSPSIP00000003988	ENSPSIG00000003765	Pelodiscus_sinensis
ENSACAP00000013105	ENSACAG00000013315	Anolis_carolinensis
