ENSDCDP00000040267	ENSDCDG00000026522	Denticeps_clupeoides
ENSCHAP00000018956	ENSCHAG00000009759	Clupea_harengus
ENSTRUP00000015552	ENSTRUG00000006370	Takifugu_rubripes
ENSTNIP00000013773	ENSTNIG00000010843	Tetraodon_nigroviridis
ENSCSEP00000011163	ENSCSEG00000007176	Cynoglossus_semilaevis
ENSMALP00000002548	ENSMALG00000001918	Monopterus_albus
ENSLCRP00005003422	ENSLCRG00005001743	Larimichthys_crocea
ENSMMOP00000006358	ENSMMOG00000004972	Mola_mola
ENSCGOP00000014394	ENSCGOG00000007003	Cottoperca_gobio
ENSATEP00000013901	ENSATEG00000009679	Anabas_testudineus
ENSLCAP00010026525	ENSLCAG00010012416	Lates_calcarifer
ENSSDUP00000023301	ENSSDUG00000016940	Seriola_dumerili
ENSSMAP00000007336	ENSSMAG00000004548	Scophthalmus_maximus
ENSACLP00000024687	ENSACLG00000016800	Astatotilapia_calliptera
ENSMZEP00005006719	ENSMZEG00005005190	Maylandia_zebra
ENSONIP00000010516	ENSONIG00000008363	Oreochromis_niloticus
ENSACIP00000029777	ENSACIG00000023054	Amphilophus_citrinellus
ENSGWIP00000009572	ENSGWIG00000005696	Gouania_willdenowi
ENSAOCP00000020199	ENSAOCG00000004099	Amphiprion_ocellaris
ENSPRNP00000023733	ENSPRNG00000012111	Parambassis_ranga
ENSXMAP00000035685	ENSXMAG00000006180	Xiphophorus_maculatus
ENSGAFP00000025865	ENSGAFG00000017454	Gambusia_affinis
ENSPLAP00000007239	ENSPLAG00000009530	Poecilia_latipinna
ENSPLAP00000024529	ENSPLAG00000010780	Poecilia_latipinna
ENSPFOP00000000905	ENSPFOG00000000959	Poecilia_formosa
ENSPFOP00000025969	ENSPFOG00000024393	Poecilia_formosa
ENSPMEP00000015658	ENSPMEG00000018226	Poecilia_mexicana
ENSPREP00000024380	ENSPREG00000016473	Poecilia_reticulata
ENSFHEP00000005164	ENSFHEG00000000165	Fundulus_heteroclitus
ENSORLP00020005265	ENSORLG00020006059	Oryzias_latipes_ASM223471v1
ENSORLP00000018592	ENSORLG00000014830	Oryzias_latipes_ASM223467v1
ENSORLP00015033011	ENSORLG00015018174	Oryzias_latipes_ASM223469v1
ENSOMEP00000006080	ENSOMEG00000007125	Oryzias_melastigma
ENSBSLP00000023762	ENSBSLG00000012117	Betta_splendens
ENSHCOP00000004358	ENSHCOG00000005810	Hippocampus_comes
ENSGMOP00000006549	ENSGMOG00000005984	Gadus_morhua
ENSHHUP00000062485	ENSHHUG00000036955	Hucho_hucho
ENSELUP00000008438	ENSELUG00000009083	Esox_lucius
ENSAMXP00000019200	ENSAMXG00000018646	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005011256	ENSAMXG00005006214	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000016548	ENSPNAG00000022727	Pygocentrus_nattereri
ENSIPUP00000031914	ENSIPUG00000021443	Ictalurus_punctatus
ENSDARP00000156705	ENSDARG00000113246	Danio_rerio
ENSAMXP00005007316	ENSAMXG00005004384	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000032439	ENSAMXG00000036551	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSHHUP00000060089	ENSHHUG00000035669	Hucho_hucho
ENSHHUP00000027743	ENSHHUG00000017624	Hucho_hucho
ENSCGOP00000042764	ENSCGOG00000019333	Cottoperca_gobio
ENSLBEP00000025908	ENSLBEG00000019747	Labrus_bergylta
ENSPMGP00000008621	ENSPMGG00000007136	Periophthalmus_magnuspinnatus
ENSPNYP00000021426	ENSPNYG00000016177	Pundamilia_nyererei
ENSHBUP00000003145	ENSHBUG00000004382	Haplochromis_burtoni
ENSNBRP00000023762	ENSNBRG00000018173	Neolamprologus_brichardi
ENSONIP00000022680	ENSONIG00000018000	Oreochromis_niloticus
ENSACIP00000002113	ENSACIG00000001712	Amphilophus_citrinellus
ENSAPEP00000031535	ENSAPEG00000022373	Amphiprion_percula
ENSAPOP00000003409	ENSAPOG00000004906	Acanthochromis_polyacanthus
ENSSPAP00000018088	ENSSPAG00000013660	Stegastes_partitus
ENSPMEP00000005889	ENSPMEG00000007313	Poecilia_mexicana
ENSPLAP00000028141	ENSPLAG00000017283	Poecilia_latipinna
ENSPFOP00000014316	ENSPFOG00000014284	Poecilia_formosa
ENSCVAP00000022042	ENSCVAG00000004468	Cyprinodon_variegatus
ENSSMAP00000022378	ENSSMAG00000013684	Scophthalmus_maximus
ENSCSEP00000010491	ENSCSEG00000006740	Cynoglossus_semilaevis
ENSSLDP00000031190	ENSSLDG00000023970	Seriola_lalandi_dorsalis
ENSLCAP00010055599	ENSLCAG00010025937	Lates_calcarifer
ENSATEP00000031917	ENSATEG00000021976	Anabas_testudineus
ENSMMOP00000010755	ENSMMOG00000008293	Mola_mola
ENSTNIP00000009031	ENSTNIG00000006272	Tetraodon_nigroviridis
ENSHHUP00000062433	ENSHHUG00000036923	Hucho_hucho
ENSHHUP00000062377	ENSHHUG00000036884	Hucho_hucho
ENSSFOP00015016310	ENSSFOG00015010510	Scleropages_formosus
ENSECRP00000029903	ENSECRG00000020307	Erpetoichthys_calabaricus
ENSSDUP00000017224	ENSSDUG00000012584	Seriola_dumerili	ENSSDUT00000017538
ENSLCAP00010015517	ENSLCAG00010007364	Lates_calcarifer	ENSLCAT00010015845
ENSORLP00000024375	ENSORLG00000019595	Oryzias_latipes_ASM223467v1	ENSORLT00000024376
ENSPNAP00000035071	ENSPNAG00000024767	Pygocentrus_nattereri	ENSPNAT00000027571
ENSACAP00000003443	ENSACAG00000003547	Anolis_carolinensis	ENSACAT00000003529
ENSPVIP00000006857	ENSPVIG00000005642	Pogona_vitticeps	ENSPVIT00000008842
ENSSMRP00000006731	ENSSMRG00000005461	Salvator_merianae
ENSGAGP00000010314	ENSGAGG00000008079	Gopherus_agassizii
ENSXETP00000014476	ENSXETG00000000634	Xenopus_tropicalis
ENSPSIP00000017215	ENSPSIG00000015266	Pelodiscus_sinensis
ENSXETP00000029818	ENSXETG00000007327	Xenopus_tropicalis
ENSXETP00000008152	ENSXETG00000007341	Xenopus_tropicalis
ENSXETP00000012640	ENSXETG00000014072	Xenopus_tropicalis
ENSLAFP00000028241	ENSLAFG00000004018	Loxodonta_africana
ENSPCAP00000007185	ENSPCAG00000007693	Procavia_capensis
ENSCHOP00000007022	ENSCHOG00000007911	Choloepus_hoffmanni
ENSMUGP00000025218	ENSMUGG00000021050	Meriones_unguiculatus
ENSMUGP00000025230	ENSMUGG00000021057	Meriones_unguiculatus
ENSRNOP00000031597	ENSRNOG00000027506	Rattus_norvegicus
ENSCGRP00000003635	ENSCGRG00000002681	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015018281	ENSCGRG00015014019	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001022593	ENSCGRG00001021090	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000004587	ENSMAUG00000006040	Mesocricetus_auratus
ENSMOCP00000012664	ENSMOCG00000012692	Microtus_ochrogaster
ENSPEMP00000028326	ENSPEMG00000023885	Peromyscus_maniculatus_bairdii
