ENSJHYP00000020515	ENSJHYG00000015558	Junco_hyemalis
ENSBTAP00000009509	ENSBTAG00000007230	Bos_taurus
ENSP00000330875	ENSG00000183161	Homo_sapiens
ENSCAFP00000040041	ENSCAFG00000029498	Canis_lupus_familiaris
ENSODEP00000000979	ENSODEG00000000786	Octodon_degus
ENSSSCP00000031922	ENSSSCG00000037501	Sus_scrofa_strain_reference
ENSCMIP00000039669	ENSCMIG00000016611	Callorhinchus_milii
ENSAMXP00000018383	ENSAMXG00000017849	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLCRP00005002928	ENSLCRG00005001396	Larimichthys_crocea
ENSABRP00000021353	ENSABRG00000018159	Anser_brachyrhynchus
ENSARWP00000024965	ENSARWG00000017009	Apteryx_rowi
ENSDORP00000023304	ENSDORG00000026794	Dipodomys_ordii
ENSLACP00000005152	ENSLACG00000004579	Latimeria_chalumnae
ENSNVIP00000021814	ENSNVIG00000017038	Neovison_vison
ENSNMEP00000008794	ENSNMEG00000008560	Numida_meleagris
ENSXCOP00000022418	ENSXCOG00000016751	Xiphophorus_couchianus
ENSCHAP00000056281	ENSCHAG00000025490	Clupea_harengus
ENSPRNP00000047354	ENSPRNG00000022782	Parambassis_ranga
ENSACLP00000015993	ENSACLG00000010917	Astatotilapia_calliptera
ENSNPEP00000011668	ENSNPEG00000008766	Nothoprocta_perdicaria
ENSGWIP00000032143	ENSGWIG00000016580	Gouania_willdenowi
ENSNSUP00000020874	ENSNSUG00000015182	Notechis_scutatus
ENSGALP00000005790	ENSGALG00000003660	Gallus_gallus
ENSXMAP00000020264	ENSXMAG00000020217	Xiphophorus_maculatus
ENSCSEP00000009739	ENSCSEG00000006252	Cynoglossus_semilaevis
ENSNBRP00000017059	ENSNBRG00000013180	Neolamprologus_brichardi
ENSCGRP00001000060	ENSCGRG00001000085	Cricetulus_griseus_CHOK1GS_HDv1
ENSUAMP00000013654	ENSUAMG00000010973	Ursus_americanus
ENSECRP00000030430	ENSECRG00000020648	Erpetoichthys_calabaricus
ENSHBUP00000009310	ENSHBUG00000010830	Haplochromis_burtoni
ENSPSMP00000028165	ENSPSMG00000019623	Prolemur_simus
ENSAMXP00005005288	ENSAMXG00005003287	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNLEP00000022089	ENSNLEG00000018180	Nomascus_leucogenys
ENSORLP00015002654	ENSORLG00015003335	Oryzias_latipes_ASM223469v1
ENSMPUP00000019322	ENSMPUG00000019450	Mustela_putorius_furo
ENSUPAP00010004714	ENSUPAG00010003829	Urocitellus_parryii
ENSMMOP00000017020	ENSMMOG00000012972	Mola_mola
ENSAPLP00000017959	ENSAPLG00000020365	Anas_platyrhynchos_platyrhynchos
ENSACIP00000015431	ENSACIG00000011987	Amphilophus_citrinellus
ENSCJAP00000041765	ENSCJAG00000023251	Callithrix_jacchus
ENSRROP00000001278	ENSRROG00000005090	Rhinopithecus_roxellana
ENSPPYP00000003923	ENSPPYG00000003416	Pongo_abelii
ENSEEEP00000003299	ENSEEEG00000001857	Electrophorus_electricus
ENSOARP00000008169	ENSOARG00000007616	Ovis_aries
ENSGAGP00000012481	ENSGAGG00000009590	Gopherus_agassizii	ENSGAGT00000014303
MGP_CAROLIEiJ_P0079800	MGP_CAROLIEiJ_G0029797	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000037022	ENSRNOG00000023968	Rattus_norvegicus
ENSCGOP00000020761	ENSCGOG00000010059	Cottoperca_gobio
ENSBBBP00000004794	ENSBBBG00000013676	Bison_bison_bison
ENSHGLP00100008556	ENSHGLG00100006374	Heterocephalus_glaber_HetGla_1.0
ENSCSAP00000018829	ENSCSAG00000019320	Chlorocebus_sabaeus
ENSAOWP00000002243	ENSAOWG00000001609	Apteryx_owenii
ENSORLP00020009500	ENSORLG00020010398	Oryzias_latipes_ASM223471v1
ENSPNAP00000000808	ENSPNAG00000000434	Pygocentrus_nattereri
ENSVURP00010003146	ENSVURG00010002531	Vombatus_ursinus
ENSLCAP00010021231	ENSLCAG00010010003	Lates_calcarifer
ENSSMRP00000003622	ENSSMRG00000003056	Salvator_merianae
MGP_PahariEiJ_P0016660	MGP_PahariEiJ_G0013022	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000010960	ENSMUGG00000009618	Meriones_unguiculatus
ENSTTRP00000000844	ENSTTRG00000000896	Tursiops_truncatus
ENSFHEP00000027963	ENSFHEG00000011756	Fundulus_heteroclitus
ENSKMAP00000028976	ENSKMAG00000021484	Kryptolebias_marmoratus
ENSPMGP00000013136	ENSPMGG00000010834	Periophthalmus_magnuspinnatus
ENSAPOP00000011026	ENSAPOG00000013535	Acanthochromis_polyacanthus
ENSLBEP00000022301	ENSLBEG00000017139	Labrus_bergylta
ENSAOCP00000027543	ENSAOCG00000016520	Amphiprion_ocellaris
ENSDARP00000003084	ENSDARG00000019250	Danio_rerio
MGP_SPRETEiJ_P0083149	MGP_SPRETEiJ_G0030900	Mus_spretus_strain_SPRET/EiJ
ENSTGEP00000009281	ENSTGEG00000007654	Theropithecus_gelada
ENSCABP00000022465	ENSCABG00000016538	Chelonoidis_abingdonii	ENSCABT00000024611
ENSATEP00000017737	ENSATEG00000012336	Anabas_testudineus
ENSHHUP00000009213	ENSHHUG00000005616	Hucho_hucho
ENSAPEP00000032855	ENSAPEG00000023343	Amphiprion_percula
ENSBIXP00000001936	ENSBIXG00000008004	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCJPP00005018847	ENSCJPG00005015301	Coturnix_japonica
ENSECAP00000023092	ENSECAG00000026812	Equus_caballus
ENSPEMP00000035822	ENSPEMG00000026089	Peromyscus_maniculatus_bairdii
ENSMICP00000024975	ENSMICG00000014074	Microcebus_murinus
ENSMVIP00005027320	ENSMVIG00005019058	Manacus_vitellinus
ENSPMEP00000034036	ENSPMEG00000022924	Poecilia_mexicana
ENSCPUP00000005240	ENSCPUG00000003849	Calidris_pugnax
ENSLSDP00000012449	ENSLSDG00000009091	Lonchura_striata_domestica
ENSCPOP00000014848	ENSCPOG00000004340	Cavia_porcellus
ENSTGUP00000004730	ENSTGUG00000004603	Taeniopygia_guttata
