ENSLOCP00000011353	ENSLOCG00000009306	Lepisosteus_oculatus
ENSECRP00000031146	ENSECRG00000021101	Erpetoichthys_calabaricus
ENSXETP00000025469	ENSXETG00000003714	Xenopus_tropicalis
ENSSFOP00015029391	ENSSFOG00015018897	Scleropages_formosus
ENSPKIP00000009759	ENSPKIG00000024738	Paramormyrops_kingsleyae
ENSSFOP00015008705	ENSSFOG00015005685	Scleropages_formosus
ENSPKIP00000011262	ENSPKIG00000018431	Paramormyrops_kingsleyae
ENSAMXP00005039450	ENSAMXG00005018553	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000039454	ENSAMXG00000030145	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000002313	ENSPNAG00000008730	Pygocentrus_nattereri
ENSEEEP00000034549	ENSEEEG00000016425	Electrophorus_electricus
ENSIPUP00000033274	ENSIPUG00000022346	Ictalurus_punctatus
ENSDARP00000127697	ENSDARG00000035679	Danio_rerio
ENSDCDP00000045357	ENSDCDG00000028622	Denticeps_clupeoides
ENSHHUP00000047176	ENSHHUG00000028680	Hucho_hucho
ENSHHUP00000024450	ENSHHUG00000015202	Hucho_hucho
ENSELUP00000024318	ENSELUG00000023135	Esox_lucius
ENSACLP00000031973	ENSACLG00000021687	Astatotilapia_calliptera
ENSMZEP00005009206	ENSMZEG00005006983	Maylandia_zebra
ENSPNYP00000018005	ENSPNYG00000013602	Pundamilia_nyererei
ENSHBUP00000027943	ENSHBUG00000011448	Haplochromis_burtoni
ENSNBRP00000012347	ENSNBRG00000009619	Neolamprologus_brichardi
ENSONIP00000009179	ENSONIG00000007278	Oreochromis_niloticus
ENSACIP00000025714	ENSACIG00000019925	Amphilophus_citrinellus
ENSPRNP00000030065	ENSPRNG00000014979	Parambassis_ranga
ENSPFOP00000019062	ENSPFOG00000018952	Poecilia_formosa
ENSPMEP00000027603	ENSPMEG00000012101	Poecilia_mexicana
ENSPLAP00000014217	ENSPLAG00000017860	Poecilia_latipinna
ENSPREP00000020614	ENSPREG00000013940	Poecilia_reticulata
ENSGAFP00000000175	ENSGAFG00000000129	Gambusia_affinis
ENSXMAP00000021126	ENSXMAG00000022157	Xiphophorus_maculatus
ENSXCOP00000022556	ENSXCOG00000016864	Xiphophorus_couchianus
ENSFHEP00000001594	ENSFHEG00000002351	Fundulus_heteroclitus
ENSCVAP00000002620	ENSCVAG00000003746	Cyprinodon_variegatus
ENSKMAP00000029204	ENSKMAG00000021648	Kryptolebias_marmoratus
ENSORLP00020017801	ENSORLG00020000566	Oryzias_latipes_ASM223471v1
ENSORLP00000007808	ENSORLG00000006211	Oryzias_latipes_ASM223467v1
ENSORLP00015002791	ENSORLG00015003489	Oryzias_latipes_ASM223469v1
ENSOMEP00000015752	ENSOMEG00000017376	Oryzias_melastigma
ENSTRUP00000045015	ENSTRUG00000017560	Takifugu_rubripes
ENSTNIP00000022275	ENSTNIG00000019081	Tetraodon_nigroviridis
ENSMMOP00000008429	ENSMMOG00000006522	Mola_mola
ENSLBEP00000007811	ENSLBEG00000006026	Labrus_bergylta
ENSCGOP00000020470	ENSCGOG00000009400	Cottoperca_gobio
ENSGACP00000007583	ENSGACG00000005705	Gasterosteus_aculeatus
ENSATEP00000035582	ENSATEG00000024447	Anabas_testudineus
ENSBSLP00000056893	ENSBSLG00000026492	Betta_splendens
ENSMALP00000005775	ENSMALG00000004146	Monopterus_albus
ENSMALP00000007799	ENSMALG00000005547	Monopterus_albus
ENSMAMP00000000919	ENSMAMG00000000647	Mastacembelus_armatus
ENSSDUP00000015993	ENSSDUG00000011656	Seriola_dumerili
ENSSLDP00000017041	ENSSLDG00000013476	Seriola_lalandi_dorsalis
ENSSMAP00000011596	ENSSMAG00000007148	Scophthalmus_maximus
ENSLCAP00010035467	ENSLCAG00010016628	Lates_calcarifer
ENSAPEP00000025842	ENSAPEG00000018372	Amphiprion_percula
ENSAOCP00000006142	ENSAOCG00000009723	Amphiprion_ocellaris
ENSAPOP00000023108	ENSAPOG00000004666	Acanthochromis_polyacanthus
ENSSPAP00000023943	ENSSPAG00000018079	Stegastes_partitus
ENSLCRP00005009064	ENSLCRG00005004262	Larimichthys_crocea
ENSCSEP00000017741	ENSCSEG00000011383	Cynoglossus_semilaevis
ENSHCOP00000007766	ENSHCOG00000009873	Hippocampus_comes
ENSGWIP00000025976	ENSGWIG00000013634	Gouania_willdenowi
ENSPMGP00000020881	ENSPMGG00000016930	Periophthalmus_magnuspinnatus
ENSGMOP00000010221	ENSGMOG00000009564	Gadus_morhua
ENSHHUP00000008103	ENSHHUG00000004942	Hucho_hucho
ENSELUP00000041285	ENSELUG00000022852	Esox_lucius
ENSAMXP00000016815	ENSAMXG00000016335	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005046706	ENSAMXG00005021470	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000009782	ENSPNAG00000015282	Pygocentrus_nattereri
ENSIPUP00000033630	ENSIPUG00000022608	Ictalurus_punctatus
ENSEEEP00000008092	ENSEEEG00000004213	Electrophorus_electricus
ENSDARP00000058679	ENSDARG00000040121	Danio_rerio
ENSDCDP00000030123	ENSDCDG00000021216	Denticeps_clupeoides
ENSLACP00000015284	ENSLACG00000013454	Latimeria_chalumnae
ENSJJAP00000011178	ENSJJAG00000014576	Jaculus_jaculus
ENSMSIP00000009504	ENSMSIG00000008378	Mus_spicilegus
ENSSTOP00000018314	ENSSTOG00000020448	Ictidomys_tridecemlineatus
ENSSDAP00000013463	ENSSDAG00000012164	Spermophilus_dauricus
ENSANAP00000026779	ENSANAG00000031141	Aotus_nancymaae
ENSBIXP00000039744	ENSBIXG00000004710	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005026640	ENSBIXG00005028916	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000062114	ENSBTAG00000052827	Bos_taurus
ENSBMUP00000001195	ENSBMUG00000000972	Bos_mutus
ENSBBBP00000016745	ENSBBBG00000024889	Bison_bison_bison
ENSCHIP00000007962	ENSCHIG00000011291	Capra_hircus
ENSBIXP00005009876	ENSBIXG00005002049	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000037990	ENSBIXG00000021702	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCAFP00000044989	ENSCAFG00000044806	Canis_lupus_familiaris
ENSCAFP00020001356	ENSCAFG00020001230	Canis_lupus_dingo
ENSVVUP00000033527	ENSVVUG00000024243	Vulpes_vulpes
ENSOGAP00000021181	ENSOGAG00000025507	Otolemur_garnettii
ENSCHIP00000003826	ENSCHIG00000008028	Capra_hircus
ENSVURP00010031043	ENSVURG00010023738	Vombatus_ursinus
ENSMUGP00000030772	ENSMUGG00000025585	Meriones_unguiculatus
ENSOCUP00000034957	ENSOCUG00000033565	Oryctolagus_cuniculus
ENSGGOP00000032659	ENSGGOG00000025256	Gorilla_gorilla
ENSGGOP00000021485	ENSGGOG00000027043	Gorilla_gorilla
ENSPTRP00000090249	ENSPTRG00000050371	Pan_troglodytes
ENSPPAP00000026714	ENSPPAG00000036444	Pan_paniscus
ENSGGOP00000051252	ENSGGOG00000037634	Gorilla_gorilla
ENSPPYP00000023561	ENSPPYG00000025938	Pongo_abelii
ENSRROP00000011529	ENSRROG00000030106	Rhinopithecus_roxellana
ENSRBIP00000001324	ENSRBIG00000006864	Rhinopithecus_bieti
ENSPSMP00000001453	ENSPSMG00000001101	Prolemur_simus
ENSOCUP00000044133	ENSOCUG00000023352	Oryctolagus_cuniculus
ENSCAFP00000055908	ENSCAFG00000042055	Canis_lupus_familiaris
ENSCAFP00000057513	ENSCAFG00000041503	Canis_lupus_familiaris
ENSCAFP00000028198	ENSCAFG00000019110	Canis_lupus_familiaris
ENSCAFP00020031218	ENSCAFG00020024351	Canis_lupus_dingo
ENSVVUP00000016245	ENSVVUG00000011941	Vulpes_vulpes
ENSVVUP00000016277	ENSVVUG00000011959	Vulpes_vulpes
ENSUMAP00000005891	ENSUMAG00000004661	Ursus_maritimus
ENSUAMP00000003372	ENSUAMG00000003101	Ursus_americanus
ENSBMUP00000012972	ENSBMUG00000009902	Bos_mutus
ENSPSIP00000020212	ENSPSIG00000017910	Pelodiscus_sinensis
ENSAPLP00000019894	ENSAPLG00000022687	Anas_platyrhynchos_platyrhynchos
ENSSDAP00000020020	ENSSDAG00000018256	Spermophilus_dauricus
ENSCCNP00000030182	ENSCCNG00000028908	Castor_canadensis
ENSCJAP00000047120	ENSCJAG00000039517	Callithrix_jacchus
ENSVPAP00000006337	ENSVPAG00000006820	Vicugna_pacos
ENSSSCP00000063640	ENSSSCG00000039582	Sus_scrofa_strain_reference
ENSBIXP00000015540	ENSBIXG00000020021	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSARP00000003943	ENSSARG00000004328	Sorex_araneus
ENSJJAP00000005404	ENSJJAG00000010341	Jaculus_jaculus
ENSCAPP00000017808	ENSCAPG00000017385	Cavia_aperea
ENSSHAP00000006393	ENSSHAG00000005564	Sarcophilus_harrisii
ENSPCIP00000010985	ENSPCIG00000008876	Phascolarctos_cinereus
ENSMODP00000045592	ENSMODG00000045934	Monodelphis_domestica
ENSTGUP00000018197	ENSTGUG00000018393	Taeniopygia_guttata
ENSMUNP00000011139	ENSMUNG00000008738	Melopsittacus_undulatus
ENSCGRP00000014157	ENSCGRG00000010246	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001026694	ENSCGRG00001023927	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000008275	ENSMAUG00000009719	Mesocricetus_auratus
ENSSBOP00000006135	ENSSBOG00000019977	Saimiri_boliviensis_boliviensis
ENSANAP00000042286	ENSANAG00000038426	Aotus_nancymaae
ENSPPAP00000025796	ENSPPAG00000036019	Pan_paniscus
ENSP00000223321	ENSG00000106588	Homo_sapiens
ENSRBIP00000018650	ENSRBIG00000033318	Rhinopithecus_bieti
ENSRROP00000014521	ENSRROG00000031466	Rhinopithecus_roxellana
ENSOGAP00000015044	ENSOGAG00000016805	Otolemur_garnettii
ENSMMMP00000013616	ENSMMMG00000012134	Marmota_marmota_marmota
ENSSTOP00000011947	ENSSTOG00000013334	Ictidomys_tridecemlineatus
ENSCAFP00020030217	ENSCAFG00020023566	Canis_lupus_dingo
ENSMPUP00000018034	ENSMPUG00000018145	Mustela_putorius_furo
ENSFCAP00000023555	ENSFCAG00000023349	Felis_catus
ENSPPRP00000019780	ENSPPRG00000011046	Panthera_pardus
ENSHGLP00000025751	ENSHGLG00000018331	Heterocephalus_glaber_HetGla_female_1.0
ENSCLAP00000008989	ENSCLAG00000006277	Chinchilla_lanigera
ENSSDAP00000017142	ENSSDAG00000015521	Spermophilus_dauricus
ENSCGRP00015012006	ENSCGRG00015009226	Cricetulus_griseus_CriGri-PICR
ENSDORP00000011043	ENSDORG00000011746	Dipodomys_ordii
ENSOCUP00000010402	ENSOCUG00000012092	Oryctolagus_cuniculus
ENSOPRP00000010752	ENSOPRG00000011793	Ochotona_princeps
ENSPTEP00000005411	ENSPTEG00000006266	Piliocolobus_tephrosceles
ENSCANP00000029467	ENSCANG00000038339	Colobus_angolensis_palliatus
ENSCSAP00000011486	ENSCSAG00000015394	Chlorocebus_sabaeus
ENSCATP00000010721	ENSCATG00000029633	Cercocebus_atys
ENSPANP00000004553	ENSPANG00000007348	Papio_anubis
ENSNLEP00000003863	ENSNLEG00000003177	Nomascus_leucogenys
ENSPSMP00000023462	ENSPSMG00000016578	Prolemur_simus
ENSAMEP00000009932	ENSAMEG00000009433	Ailuropoda_melanoleuca
ENSCAFP00000057038	ENSCAFG00000044635	Canis_lupus_familiaris
ENSPTIP00000023030	ENSPTIG00000019642	Panthera_tigris_altaica
ENSBTAP00000001309	ENSBTAG00000000990	Bos_taurus
ENSBBBP00000008450	ENSBBBG00000007372	Bison_bison_bison
ENSCHIP00000009794	ENSCHIG00000012524	Capra_hircus
ENSOARP00000018619	ENSOARG00000017342	Ovis_aries
ENSMLEP00000013378	ENSMLEG00000030861	Mandrillus_leucophaeus
ENSPVAP00000011057	ENSPVAG00000011729	Pteropus_vampyrus
ENSVVUP00000008845	ENSVVUG00000006556	Vulpes_vulpes
ENSBTAP00000065351	ENSBTAG00000000242	Bos_taurus
ENSPCAP00000001971	ENSPCAG00000002120	Procavia_capensis
ENSNGAP00000012573	ENSNGAG00000014399	Nannospalax_galili
ENSCPOP00000032394	ENSCPOG00000013134	Cavia_porcellus
ENSCCNP00000009315	ENSCCNG00000009827	Castor_canadensis
ENSP00000455744	ENSG00000256646	Homo_sapiens
ENSGGOP00000006397	ENSGGOG00000006538	Gorilla_gorilla
ENSMNEP00000040416	ENSMNEG00000043089	Macaca_nemestrina
ENSMMUP00000053338	ENSMMUG00000022451	Macaca_mulatta
ENSCCAP00000022773	ENSCCAG00000029169	Cebus_capucinus_imitator
ENSNVIP00000018565	ENSNVIG00000014514	Neovison_vison
ENSETEP00000012841	ENSETEG00000015835	Echinops_telfairi
ENSUPAP00010019792	ENSUPAG00010015674	Urocitellus_parryii
ENSODEP00000011529	ENSODEG00000008580	Octodon_degus
ENSTBEP00000012692	ENSTBEG00000014620	Tupaia_belangeri
ENSNLEP00000027024	ENSNLEG00000034470	Nomascus_leucogenys
ENSRROP00000038889	ENSRROG00000042812	Rhinopithecus_roxellana
ENSMLUP00000009198	ENSMLUG00000010086	Myotis_lucifugus
ENSMLUP00000018625	ENSMLUG00000028033	Myotis_lucifugus
ENSUMAP00000013336	ENSUMAG00000009859	Ursus_maritimus
ENSLAFP00000009536	ENSLAFG00000011417	Loxodonta_africana
ENSMOCP00000013971	ENSMOCG00000013606	Microtus_ochrogaster
ENSMOCP00000010255	ENSMOCG00000010468	Microtus_ochrogaster
ENSPEMP00000000931	ENSPEMG00000000680	Peromyscus_maniculatus_bairdii
ENSODEP00000020276	ENSODEG00000014956	Octodon_degus
ENSODEP00000016488	ENSODEG00000012142	Octodon_degus
ENSPCOP00000026683	ENSPCOG00000025748	Propithecus_coquereli
ENSMICP00000044984	ENSMICG00000017286	Microcebus_murinus
ENSBBBP00000004894	ENSBBBG00000013735	Bison_bison_bison
ENSEEUP00000006914	ENSEEUG00000007600	Erinaceus_europaeus
ENSCHOP00000000576	ENSCHOG00000000644	Choloepus_hoffmanni
ENSPTRP00000048032	ENSPTRG00000019120	Pan_troglodytes
ENSPPYP00000019740	ENSPPYG00000017612	Pongo_abelii
ENSTGEP00000017553	ENSTGEG00000014198	Theropithecus_gelada
ENSMFAP00000018508	ENSMFAG00000032277	Macaca_fascicularis
ENSTSYP00000031828	ENSTSYG00000014299	Carlito_syrichta
ENSMICP00000018413	ENSMICG00000026360	Microcebus_murinus
ENSMUSP00000129767	ENSMUSG00000015671	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000015873	ENSMSIG00000013613	Mus_spicilegus
MGP_SPRETEiJ_P0035284	MGP_SPRETEiJ_G0019097	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0033724	MGP_CAROLIEiJ_G0018239	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0040320	MGP_PahariEiJ_G0019289	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000066950	ENSRNOG00000049920	Rattus_norvegicus
ENSMUGP00000031996	ENSMUGG00000026611	Meriones_unguiculatus
ENSHGLP00100011469	ENSHGLG00100008515	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000013720	ENSFDAG00000000540	Fukomys_damarensis
ENSBMUP00000035402	ENSBMUG00000026309	Bos_mutus
ENSBIXP00005015963	ENSBIXG00005007827	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTTRP00000005329	ENSTTRG00000005649	Tursiops_truncatus
ENSUAMP00000033970	ENSUAMG00000025884	Ursus_americanus
ENSDNOP00000009229	ENSDNOG00000011910	Dasypus_novemcinctus
ENSMEUP00000014228	ENSMEUG00000015585	Notamacropus_eugenii
ENSVURP00010017588	ENSVURG00010013418	Vombatus_ursinus
ENSOANP00000016967	ENSOANG00000010697	Ornithorhynchus_anatinus
ENSCCEP00000001377	ENSCCEG00000001639	Cyanistes_caeruleus
ENSCPUP00000000741	ENSCPUG00000000605	Calidris_pugnax
ENSCPBP00000004009	ENSCPBG00000003262	Chrysemys_picta_bellii
ENSANAP00000024339	ENSANAG00000029903	Aotus_nancymaae
ENSTGEP00000033418	ENSTGEG00000026698	Theropithecus_gelada
ENSANAP00000002327	ENSANAG00000017951	Aotus_nancymaae
ENSSBOP00000035298	ENSSBOG00000033805	Saimiri_boliviensis_boliviensis
ENSTSYP00000019039	ENSTSYG00000026578	Carlito_syrichta
ENSJJAP00000009563	ENSJJAG00000013403	Jaculus_jaculus
ENSECAP00000018225	ENSECAG00000020597	Equus_caballus
ENSEASP00005025898	ENSEASG00005017678	Equus_asinus_asinus
ENSPVIP00000029914	ENSPVIG00000022043	Pogona_vitticeps
ENSACAP00000017266	ENSACAG00000017511	Anolis_carolinensis
ENSNSUP00000005938	ENSNSUG00000004773	Notechis_scutatus
ENSGALP00000052290	ENSGALG00000039387	Gallus_gallus
ENSCJPP00005000222	ENSCJPG00005000303	Coturnix_japonica
ENSMGAP00000012943	ENSMGAG00000012294	Meleagris_gallopavo
ENSNMEP00000000371	ENSNMEG00000000516	Numida_meleagris
ENSCPGP00000008439	ENSCPGG00000006004	Calidris_pygmaea
ENSTGUP00000001884	ENSTGUG00000001827	Taeniopygia_guttata
ENSSCAP00000021577	ENSSCAG00000015502	Serinus_canaria
ENSAOWP00000013458	ENSAOWG00000009189	Apteryx_owenii
ENSAHAP00000027568	ENSAHAG00000019185	Apteryx_haastii
ENSARWP00000014520	ENSARWG00000010056	Apteryx_rowi
ENSDNVP00000011556	ENSDNVG00000008148	Dromaius_novaehollandiae
ENSNPEP00000003570	ENSNPEG00000002733	Nothoprocta_perdicaria
ENSPMJP00000024557	ENSPMJG00000018039	Parus_major
ENSCCEP00000018211	ENSCCEG00000016741	Cyanistes_caeruleus
ENSLSDP00000021640	ENSLSDG00000015294	Lonchura_striata_domestica
ENSFALP00000005299	ENSFALG00000005082	Ficedula_albicollis
ENSZALP00000018218	ENSZALG00000014619	Zonotrichia_albicollis
ENSJHYP00000010009	ENSJHYG00000007867	Junco_hyemalis
ENSLCOP00000016328	ENSLCOG00000011641	Lepidothrix_coronata
ENSMVIP00005014738	ENSMVIG00005010640	Manacus_vitellinus
ENSABRP00000010660	ENSABRG00000009600	Anser_brachyrhynchus
ENSGAGP00000016734	ENSGAGG00000012512	Gopherus_agassizii
ENSCABP00000000643	ENSCABG00000000578	Chelonoidis_abingdonii
ENSCPBP00000035635	ENSCPBG00000024795	Chrysemys_picta_bellii
ENSSPUP00000020239	ENSSPUG00000015533	Sphenodon_punctatus
ENSSMRP00000024675	ENSSMRG00000019081	Salvator_merianae
ENSCPUP00000014697	ENSCPUG00000010295	Calidris_pugnax
ENSCMIP00000002462	ENSCMIG00000001454	Callorhinchus_milii
ENSPMAP00000002137	ENSPMAG00000001926	Petromyzon_marinus
ENSCINP00000033277	ENSCING00000023728	Ciona_intestinalis
FBpp0082062	FBgn0086134	Drosophila_melanogaster
ENSSLDP00000013882	ENSSLDG00000011081	Seriola_lalandi_dorsalis
ENSHHUP00000017320	ENSHHUG00000010800	Hucho_hucho
D1054.2.2	WBGene00003923	Caenorhabditis_elegans_strain_N2
ENSPTEP00000019771	ENSPTEG00000021065	Piliocolobus_tephrosceles	ENSPTET00000028806
ENSPTEP00000003654	ENSPTEG00000004313	Piliocolobus_tephrosceles	ENSPTET00000005722
ENSPTEP00000013971	ENSPTEG00000015619	Piliocolobus_tephrosceles	ENSPTET00000020964
YML092C_mRNA	YML092C	Saccharomyces_cerevisiae_strain_S288C
