FBpp0090943	FBgn0053505	Drosophila_melanogaster
T02H6.1a.1	WBGene00020171	Caenorhabditis_elegans_strain_N2	T02H6.1a.1
ENSGAGP00000019962	ENSGAGG00000014579	Gopherus_agassizii
ENSCABP00000021923	ENSCABG00000016103	Chelonoidis_abingdonii
ENSCPBP00000023221	ENSCPBG00000016582	Chrysemys_picta_bellii
ENSCPRP00005027731	ENSCPRG00005019207	Crocodylus_porosus
ENSACAP00000011284	ENSACAG00000011490	Anolis_carolinensis
ENSPVIP00000011795	ENSPVIG00000009245	Pogona_vitticeps
ENSNSUP00000006510	ENSNSUG00000005150	Notechis_scutatus
ENSSMRP00000011517	ENSSMRG00000009063	Salvator_merianae
ENSSPUP00000000286	ENSSPUG00000000296	Sphenodon_punctatus
ENSABRP00000003541	ENSABRG00000003263	Anser_brachyrhynchus
ENSAPLP00000014107	ENSAPLG00000014269	Anas_platyrhynchos_platyrhynchos
ENSGALP00000045601	ENSGALG00000043359	Gallus_gallus
ENSMGAP00000001156	ENSMGAG00000001673	Meleagris_gallopavo
ENSCJPP00005004049	ENSCJPG00005004106	Coturnix_japonica
ENSNMEP00000007797	ENSNMEG00000007739	Numida_meleagris
ENSLSDP00000017237	ENSLSDG00000012379	Lonchura_striata_domestica
ENSTGUP00000006765	ENSTGUG00000006584	Taeniopygia_guttata
ENSSCAP00000023961	ENSSCAG00000017151	Serinus_canaria
ENSZALP00000022293	ENSZALG00000017330	Zonotrichia_albicollis
ENSFALP00000009164	ENSFALG00000008778	Ficedula_albicollis
ENSPMJP00000016611	ENSPMJG00000012550	Parus_major
ENSCCEP00000027836	ENSCCEG00000024209	Cyanistes_caeruleus
ENSLCOP00000005704	ENSLCOG00000004231	Lepidothrix_coronata
ENSCPGP00000025918	ENSCPGG00000017881	Calidris_pygmaea
ENSCPUP00000005860	ENSCPUG00000004294	Calidris_pugnax
ENSMUNP00000017729	ENSMUNG00000013572	Melopsittacus_undulatus
ENSARWP00000018942	ENSARWG00000013012	Apteryx_rowi
ENSAHAP00000003144	ENSAHAG00000002526	Apteryx_haastii
ENSAOWP00000007087	ENSAOWG00000004824	Apteryx_owenii
ENSDNVP00000003147	ENSDNVG00000002236	Dromaius_novaehollandiae
ENSNPEP00000021828	ENSNPEG00000016181	Nothoprocta_perdicaria
ENSVURP00010022717	ENSVURG00010017410	Vombatus_ursinus
ENSPCIP00000024001	ENSPCIG00000018148	Phascolarctos_cinereus
ENSMEUP00000012038	ENSMEUG00000013191	Notamacropus_eugenii
ENSSHAP00000008958	ENSSHAG00000007762	Sarcophilus_harrisii
ENSMODP00000052864	ENSMODG00000011815	Monodelphis_domestica
