ENSGAGP00000009335	ENSGAGG00000007385	Gopherus_agassizii	ENSGAGT00000010724
ENSABRP00000009529	ENSABRG00000008533	Anser_brachyrhynchus	ENSABRT00000013602
ENSSPUP00000011846	ENSSPUG00000009097	Sphenodon_punctatus	ENSSPUT00000012634
ENSOMEP00000014959	ENSOMEG00000016506	Oryzias_melastigma	ENSOMET00000023005
ENSLCOP00000011489	ENSLCOG00000008347	Lepidothrix_coronata	ENSLCOT00000012187
ENSOMEP00000019034	ENSOMEG00000020824	Oryzias_melastigma	ENSOMET00000028180
ENSNPEP00000020687	ENSNPEG00000015390	Nothoprocta_perdicaria	ENSNPET00000021229
ENSMAMP00000025580	ENSMAMG00000017175	Mastacembelus_armatus	ENSMAMT00000026235
ENSIPUP00000018332	ENSIPUG00000012463	Ictalurus_punctatus	ENSIPUT00000019112
ENSPKIP00000020016	ENSPKIG00000004955	Paramormyrops_kingsleyae	ENSPKIT00000000626
ENSOMEP00000030566	ENSOMEG00000014904	Oryzias_melastigma	ENSOMET00000033154
ENSSPUP00000012716	ENSSPUG00000009778	Sphenodon_punctatus	ENSSPUT00000013556
ENSCABP00000016842	ENSCABG00000012492	Chelonoidis_abingdonii	ENSCABT00000018454
ENSNSUP00000016837	ENSNSUG00000012419	Notechis_scutatus	ENSNSUT00000017931
