ENSCLAP00000011852	ENSCLAG00000008169	Chinchilla_lanigera	ENSCLAT00000011991
ENSODEP00000005107	ENSODEG00000003863	Octodon_degus	ENSODET00000005199
ENSCPOP00000010648	ENSCPOG00000011837	Cavia_porcellus	ENSCPOT00000011952
ENSHGLP00100022198	ENSHGLG00100016340	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006652	ENSHGLG00000004858	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003458	ENSFDAG00000012903	Fukomys_damarensis
ENSSTOP00000023527	ENSSTOG00000023585	Ictidomys_tridecemlineatus
ENSSDAP00000008114	ENSSDAG00000007404	Spermophilus_dauricus
ENSMMMP00000010710	ENSMMMG00000009540	Marmota_marmota_marmota
ENSUPAP00010029148	ENSUPAG00010022978	Urocitellus_parryii
ENSCCNP00000012379	ENSCCNG00000012848	Castor_canadensis
ENSCGRP00001005813	ENSCGRG00001007700	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015023800	ENSCGRG00015018136	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000013444	ENSCGRG00000009758	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000006190	ENSMAUG00000008222	Mesocricetus_auratus
ENSMOCP00000008778	ENSMOCG00000008818	Microtus_ochrogaster
ENSPEMP00000006677	ENSPEMG00000008840	Peromyscus_maniculatus_bairdii
ENSMSIP00000021986	ENSMSIG00000018676	Mus_spicilegus
MGP_SPRETEiJ_P0077094	MGP_SPRETEiJ_G0029483	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000066786	ENSMUSG00000051896	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0074205	MGP_CAROLIEiJ_G0028478	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0050278	MGP_PahariEiJ_G0022214	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008473	ENSRNOG00000006476	Rattus_norvegicus
ENSMUGP00000026522	ENSMUGG00000022094	Meriones_unguiculatus
ENSNGAP00000014373	ENSNGAG00000015694	Nannospalax_galili
ENSJJAP00000013616	ENSJJAG00000016318	Jaculus_jaculus
ENSOPRP00000008612	ENSOPRG00000009424	Ochotona_princeps
ENSOPRP00000002301	ENSOPRG00000002512	Ochotona_princeps
ENSOCUP00000010708	ENSOCUG00000012447	Oryctolagus_cuniculus
ENSPSMP00000032976	ENSPSMG00000022775	Prolemur_simus
ENSMICP00000012713	ENSMICG00000013949	Microcebus_murinus
ENSOGAP00000021837	ENSOGAG00000024721	Otolemur_garnettii
ENSPPAP00000024665	ENSPPAG00000035467	Pan_paniscus
ENSPTRP00000020875	ENSPTRG00000012172	Pan_troglodytes
ENSP00000307142	ENSG00000172073	Homo_sapiens
ENSGGOP00000046471	ENSGGOG00000011767	Gorilla_gorilla
ENSNLEP00000034678	ENSNLEG00000035572	Nomascus_leucogenys
ENSCANP00000023730	ENSCANG00000035277	Colobus_angolensis_palliatus
ENSPTEP00000002955	ENSPTEG00000003500	Piliocolobus_tephrosceles
ENSRBIP00000020052	ENSRBIG00000034016	Rhinopithecus_bieti
ENSRROP00000019283	ENSRROG00000033661	Rhinopithecus_roxellana
ENSMLEP00000007513	ENSMLEG00000027825	Mandrillus_leucophaeus
ENSPANP00000003722	ENSPANG00000006085	Papio_anubis
ENSCSAP00000012462	ENSCSAG00000016398	Chlorocebus_sabaeus
ENSMFAP00000029013	ENSMFAG00000041796	Macaca_fascicularis
ENSMMUP00000079477	ENSMMUG00000049876	Macaca_mulatta
ENSMNEP00000016618	ENSMNEG00000032333	Macaca_nemestrina
ENSTGEP00000035059	ENSTGEG00000027948	Theropithecus_gelada
ENSSBOP00000028409	ENSSBOG00000030596	Saimiri_boliviensis_boliviensis
ENSCCAP00000024711	ENSCCAG00000030159	Cebus_capucinus_imitator
ENSCJAP00000013872	ENSCJAG00000007468	Callithrix_jacchus
ENSANAP00000030550	ENSANAG00000033035	Aotus_nancymaae
ENSTBEP00000005206	ENSTBEG00000006063	Tupaia_belangeri
ENSPVAP00000008710	ENSPVAG00000009235	Pteropus_vampyrus
ENSMLUP00000000191	ENSMLUG00000000212	Myotis_lucifugus
ENSEASP00005002292	ENSEASG00005001795	Equus_asinus_asinus
ENSECAP00000010322	ENSECAG00000012608	Equus_caballus
ENSEEUP00000006799	ENSEEUG00000007490	Erinaceus_europaeus
ENSUAMP00000027904	ENSUAMG00000021581	Ursus_americanus
ENSUMAP00000010922	ENSUMAG00000008230	Ursus_maritimus
ENSAMEP00000010591	ENSAMEG00000010087	Ailuropoda_melanoleuca
ENSNVIP00000022599	ENSNVIG00000017613	Neovison_vison
ENSCAFP00000010983	ENSCAFG00000007397	Canis_lupus_familiaris
ENSCAFP00020020845	ENSCAFG00020016503	Canis_lupus_dingo
ENSVVUP00000040240	ENSVVUG00000028731	Vulpes_vulpes
ENSPTIP00000014336	ENSPTIG00000013796	Panthera_tigris_altaica
ENSPPRP00000012848	ENSPPRG00000006255	Panthera_pardus
ENSFCAP00000022753	ENSFCAG00000024908	Felis_catus
ENSCHIP00000004719	ENSCHIG00000008884	Capra_hircus
ENSOARP00000022320	ENSOARG00000020766	Ovis_aries
ENSBIXP00005032531	ENSBIXG00005013074	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000033389	ENSBIXG00000016174	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000042722	ENSBTAG00000009033	Bos_taurus
ENSBMUP00000030269	ENSBMUG00000022652	Bos_mutus
ENSBBBP00000023143	ENSBBBG00000008163	Bison_bison_bison
ENSSSCP00000070769	ENSSSCG00000008209	Sus_scrofa_strain_reference
ENSVPAP00000009119	ENSVPAG00000009800	Vicugna_pacos
ENSPCAP00000008815	ENSPCAG00000009501	Procavia_capensis
ENSETEP00000004675	ENSETEG00000005749	Echinops_telfairi
ENSLAFP00000028702	ENSLAFG00000026285	Loxodonta_africana
ENSCHOP00000011660	ENSCHOG00000013176	Choloepus_hoffmanni
ENSDNOP00000024834	ENSDNOG00000044647	Dasypus_novemcinctus
