ENSOANP00000021215	ENSOANG00000013440	Ornithorhynchus_anatinus
ENSMMMP00000004802	ENSMMMG00000004383	Marmota_marmota_marmota
ENSGGOP00000022700	ENSGGOG00000011249	Gorilla_gorilla
ENSBIXP00005012177	ENSBIXG00005016463	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
MGP_SPRETEiJ_P0082503	MGP_SPRETEiJ_G0030723	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0082503
MGP_PahariEiJ_P0016035	MGP_PahariEiJ_G0012852	Mus_pahari_strain_PAHARI_EIJ
ENSCSAP00000016004	ENSCSAG00000002032	Chlorocebus_sabaeus
ENSSARP00000004656	ENSSARG00000005161	Sorex_araneus
ENSMAUP00000020064	ENSMAUG00000018179	Mesocricetus_auratus
ENSPSMP00000038035	ENSPSMG00000026079	Prolemur_simus
ENSPPRP00000019161	ENSPPRG00000010601	Panthera_pardus
ENSUAMP00000023360	ENSUAMG00000018316	Ursus_americanus
ENSSLDP00000027293	ENSSLDG00000021186	Seriola_lalandi_dorsalis
ENSCGRP00015030978	ENSCGRG00015023367	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000005257	ENSPEMG00000007708	Peromyscus_maniculatus_bairdii
ENSPCIP00000012008	ENSPCIG00000009571	Phascolarctos_cinereus
ENSMUGP00000008494	ENSMUGG00000007663	Meriones_unguiculatus
ENSVVUP00000015416	ENSVVUG00000011313	Vulpes_vulpes
ENSNVIP00000029304	ENSNVIG00000022569	Neovison_vison
ENSDORP00000021350	ENSDORG00000004289	Dipodomys_ordii
ENSTGEP00000004148	ENSTGEG00000003480	Theropithecus_gelada
ENSANAP00000000743	ENSANAG00000006087	Aotus_nancymaae
ENSMFAP00000025631	ENSMFAG00000044306	Macaca_fascicularis
ENSMMUP00000030972	ENSMMUG00000023530	Macaca_mulatta
ENSCGRP00000007799	ENSCGRG00000005687	Cricetulus_griseus_CriGri_1.0
ENSBMUP00000011472	ENSBMUG00000008804	Bos_mutus
ENSP00000335623	ENSG00000186806	Homo_sapiens
ENSEASP00005014080	ENSEASG00005009815	Equus_asinus_asinus
ENSMOCP00000019121	ENSMOCG00000017203	Microtus_ochrogaster
ENSPANP00000007812	ENSPANG00000014780	Papio_anubis
ENSPCOP00000023991	ENSPCOG00000024146	Propithecus_coquereli
ENSFCAP00000002635	ENSFCAG00000002863	Felis_catus
ENSVURP00010011227	ENSVURG00010008674	Vombatus_ursinus
ENSSSCP00000058017	ENSSSCG00000003228	Sus_scrofa_strain_reference
ENSTBEP00000002716	ENSTBEG00000003149	Tupaia_belangeri
ENSCLAP00000002174	ENSCLAG00000001572	Chinchilla_lanigera
ENSECAP00000030287	ENSECAG00000035875	Equus_caballus
ENSSDAP00000004003	ENSSDAG00000003766	Spermophilus_dauricus
ENSMPUP00000001408	ENSMPUG00000001420	Mustela_putorius_furo
ENSCAFP00020024374	ENSCAFG00020019186	Canis_lupus_dingo
ENSRBIP00000012668	ENSRBIG00000030315	Rhinopithecus_bieti
ENSCJAP00000034441	ENSCJAG00000018557	Callithrix_jacchus
ENSMSIP00000030290	ENSMSIG00000025354	Mus_spicilegus	ENSMSIT00000038133
ENSOARP00000015801	ENSOARG00000014733	Ovis_aries
ENSMUSP00000144692	ENSMUSG00000070604	Mus_musculus_strain_reference_(CL57BL6)
ENSMNEP00000033649	ENSMNEG00000040067	Macaca_nemestrina
ENSDNOP00000020696	ENSDNOG00000038518	Dasypus_novemcinctus
ENSPTEP00000015587	ENSPTEG00000017235	Piliocolobus_tephrosceles
ENSODEP00000001582	ENSODEG00000001244	Octodon_degus
ENSPTRP00000048512	ENSPTRG00000011378	Pan_troglodytes
ENSBIXP00000011678	ENSBIXG00000007800	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPPAP00000017827	ENSPPAG00000032024	Pan_paniscus
ENSCCAP00000024743	ENSCCAG00000030170	Cebus_capucinus_imitator
ENSPPYP00000011552	ENSPPYG00000010316	Pongo_abelii
ENSBBBP00000010622	ENSBBBG00000018721	Bison_bison_bison
ENSNGAP00000021245	ENSNGAG00000020482	Nannospalax_galili
ENSMLEP00000032651	ENSMLEG00000040541	Mandrillus_leucophaeus
ENSCCNP00000030798	ENSCCNG00000029423	Castor_canadensis
ENSPVAP00000007948	ENSPVAG00000008416	Pteropus_vampyrus
