ENSPTRP00000085922	ENSPTRG00000045142	Pan_troglodytes	ENSPTRT00000090795
ENSPPAP00000006902	ENSPPAG00000025890	Pan_paniscus	ENSPPAT00000028732
ENSGGOP00000027034	ENSGGOG00000025724	Gorilla_gorilla	ENSGGOT00000030291
ENSNLEP00000036052	ENSNLEG00000031661	Nomascus_leucogenys	ENSNLET00000046244
ENSPTEP00000031766	ENSPTEG00000030648	Piliocolobus_tephrosceles	ENSPTET00000043763
ENSCANP00000005574	ENSCANG00000019011	Colobus_angolensis_palliatus
ENSRROP00000043098	ENSRROG00000044631	Rhinopithecus_roxellana
ENSRBIP00000017727	ENSRBIG00000032886	Rhinopithecus_bieti
ENSTGEP00000005540	ENSTGEG00000004588	Theropithecus_gelada
ENSCATP00000010009	ENSCATG00000029303	Cercocebus_atys
ENSMLEP00000021720	ENSMLEG00000035068	Mandrillus_leucophaeus
ENSPANP00000008846	ENSPANG00000000465	Papio_anubis
ENSMFAP00000033147	ENSMFAG00000003104	Macaca_fascicularis
ENSMMUP00000079889	ENSMMUG00000055718	Macaca_mulatta
ENSMNEP00000020914	ENSMNEG00000034266	Macaca_nemestrina
ENSCJAP00000052799	ENSCJAG00000046872	Callithrix_jacchus
ENSANAP00000017236	ENSANAG00000026488	Aotus_nancymaae
