ENSCINP00000010786	ENSCING00000013851	Ciona_intestinalis	ENSCINT00000010786
ENSCINP00000010748	ENSCING00000005208	Ciona_intestinalis	ENSCINT00000010748
ENSCSAVP00000019963	ENSCSAVG00000011713	Ciona_savignyi	ENSCSAVT00000020177
ENSCINP00000031007	ENSCING00000024135	Ciona_intestinalis	ENSCINT00000037096
ENSPMAP00000004060	ENSPMAG00000003723	Petromyzon_marinus	ENSPMAT00000004077
ENSEBUP00000020309	ENSEBUG00000012579	Eptatretus_burgeri	ENSEBUT00000020885
ENSACAP00000001408	ENSACAG00000001377	Anolis_carolinensis
ENSPVIP00000024127	ENSPVIG00000018114	Pogona_vitticeps
ENSNSUP00000003514	ENSNSUG00000002787	Notechis_scutatus
ENSSMRP00000028663	ENSSMRG00000022033	Salvator_merianae
ENSSPUP00000003602	ENSSPUG00000002558	Sphenodon_punctatus
ENSAOWP00000026408	ENSAOWG00000017804	Apteryx_owenii	ENSAOWT00000029933
ENSARWP00000011054	ENSARWG00000007683	Apteryx_rowi	ENSARWT00000012607
ENSAHAP00000004958	ENSAHAG00000003842	Apteryx_haastii	ENSAHAT00000005568
ENSDNVP00000020589	ENSDNVG00000014406	Dromaius_novaehollandiae	ENSDNVT00000024815
ENSNPEP00000014124	ENSNPEG00000010564	Nothoprocta_perdicaria
ENSMVIP00005020776	ENSMVIG00005014635	Manacus_vitellinus
ENSLCOP00000009248	ENSLCOG00000006750	Lepidothrix_coronata
ENSLSDP00000023299	ENSLSDG00000016390	Lonchura_striata_domestica
ENSTGUP00000010301	ENSTGUG00000009986	Taeniopygia_guttata
ENSSCAP00000004270	ENSSCAG00000003495	Serinus_canaria
ENSJHYP00000009374	ENSJHYG00000007403	Junco_hyemalis
ENSZALP00000002561	ENSZALG00000002703	Zonotrichia_albicollis
ENSFALP00000003525	ENSFALG00000003388	Ficedula_albicollis
ENSPMJP00000003098	ENSPMJG00000002730	Parus_major
ENSCCEP00000023103	ENSCCEG00000020759	Cyanistes_caeruleus
ENSCPUP00000017322	ENSCPUG00000011932	Calidris_pugnax
ENSCPGP00000024098	ENSCPGG00000016621	Calidris_pygmaea
ENSMUNP00000001584	ENSMUNG00000001353	Melopsittacus_undulatus
ENSMGAP00000012686	ENSMGAG00000012078	Meleagris_gallopavo
ENSGALP00000018070	ENSGALG00000011106	Gallus_gallus
ENSCJPP00005003750	ENSCJPG00005003872	Coturnix_japonica
ENSNMEP00000020571	ENSNMEG00000017647	Numida_meleagris
ENSABRP00000021116	ENSABRG00000017931	Anser_brachyrhynchus
ENSAPLP00000001723	ENSAPLG00000002130	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005024767	ENSCPRG00005017207	Crocodylus_porosus
ENSGAGP00000030356	ENSGAGG00000021872	Gopherus_agassizii
ENSCABP00000027625	ENSCABG00000020292	Chelonoidis_abingdonii
ENSCPBP00000007875	ENSCPBG00000006200	Chrysemys_picta_bellii
ENSPSIP00000020305	ENSPSIG00000017962	Pelodiscus_sinensis
ENSMUSP00000118564	ENSMUSG00000092329	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000010653	ENSMSIG00000009331	Mus_spicilegus
ENSMUSP00000034458	ENSMUSG00000089704	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0090026	MGP_SPRETEiJ_G0032821	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0086499	MGP_CAROLIEiJ_G0031703	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0054746	MGP_PahariEiJ_G0023301	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068936	ENSRNOG00000019143	Rattus_norvegicus
ENSMUGP00000000572	ENSMUGG00000000568	Meriones_unguiculatus
ENSCGRP00001008382	ENSCGRG00001010677	Cricetulus_griseus_CHOK1GS_HDv1
