ENSCABP00000004803	ENSCABG00000003624	Chelonoidis_abingdonii
ENSGAGP00000027398	ENSGAGG00000019920	Gopherus_agassizii
ENSCPBP00000021675	ENSCPBG00000015569	Chrysemys_picta_bellii
ENSPSIP00000016977	ENSPSIG00000015074	Pelodiscus_sinensis
ENSCPRP00005006125	ENSCPRG00005004391	Crocodylus_porosus
ENSPVIP00000015994	ENSPVIG00000012367	Pogona_vitticeps
ENSNSUP00000017894	ENSNSUG00000013119	Notechis_scutatus
ENSSMRP00000003997	ENSSMRG00000003331	Salvator_merianae
ENSSPUP00000004273	ENSSPUG00000003285	Sphenodon_punctatus
ENSLACP00000019447	ENSLACG00000017105	Latimeria_chalumnae	ENSLACT00000019584
ENSECRP00000026387	ENSECRG00000017809	Erpetoichthys_calabaricus	ENSECRT00000026938
ENSLOCP00000006318	ENSLOCG00000005227	Lepisosteus_oculatus	ENSLOCT00000006326
ENSXETP00000018163	ENSXETG00000001879	Xenopus_tropicalis
ENSMEUP00000010303	ENSMEUG00000011297	Notamacropus_eugenii
ENSVURP00010025281	ENSVURG00010019360	Vombatus_ursinus
ENSPCIP00000018485	ENSPCIG00000014146	Phascolarctos_cinereus
ENSMODP00000021301	ENSMODG00000017074	Monodelphis_domestica
ENSSHAP00000012161	ENSSHAG00000010420	Sarcophilus_harrisii
ENSOPRP00000013164	ENSOPRG00000014426	Ochotona_princeps
ENSMOCP00000023141	ENSMOCG00000019951	Microtus_ochrogaster
ENSEEUP00000009533	ENSEEUG00000010471	Erinaceus_europaeus
ENSETEP00000012879	ENSETEG00000015876	Echinops_telfairi
ENSSTOP00000030590	ENSSTOG00000033908	Ictidomys_tridecemlineatus
ENSSDAP00000024427	ENSSDAG00000022245	Spermophilus_dauricus
ENSUPAP00010024738	ENSUPAG00010019587	Urocitellus_parryii
ENSMMMP00000012764	ENSMMMG00000011409	Marmota_marmota_marmota
ENSCCNP00000023659	ENSCCNG00000023227	Castor_canadensis
MGP_CAROLIEiJ_P0064748	MGP_CAROLIEiJ_G0026548	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000038285	ENSMSIG00000031910	Mus_spicilegus
