ENSDNOP00000033838	ENSDNOG00000040261	Dasypus_novemcinctus	ENSDNOT00000052670
ENSDNOP00000035056	ENSDNOG00000033792	Dasypus_novemcinctus	ENSDNOT00000039115
ENSDNOP00000024043	ENSDNOG00000044992	Dasypus_novemcinctus	ENSDNOT00000042534
ENSDNOP00000017684	ENSDNOG00000032953	Dasypus_novemcinctus	ENSDNOT00000049420
ENSDNOP00000032489	ENSDNOG00000034952	Dasypus_novemcinctus	ENSDNOT00000047629
ENSDNOP00000025729	ENSDNOG00000030823	Dasypus_novemcinctus	ENSDNOT00000041706
ENSDNOP00000027055	ENSDNOG00000048098	Dasypus_novemcinctus	ENSDNOT00000033239
ENSDNOP00000032452	ENSDNOG00000043533	Dasypus_novemcinctus	ENSDNOT00000049968
ENSDNOP00000033836	ENSDNOG00000048467	Dasypus_novemcinctus	ENSDNOT00000044843
ENSDNOP00000034102	ENSDNOG00000046454	Dasypus_novemcinctus	ENSDNOT00000035388
ENSDNOP00000026203	ENSDNOG00000044790	Dasypus_novemcinctus	ENSDNOT00000035931
ENSDNOP00000023510	ENSDNOG00000036108	Dasypus_novemcinctus	ENSDNOT00000044874
ENSDNOP00000030171	ENSDNOG00000032173	Dasypus_novemcinctus	ENSDNOT00000036517
ENSDNOP00000030593	ENSDNOG00000046906	Dasypus_novemcinctus	ENSDNOT00000052004
ENSDNOP00000029876	ENSDNOG00000041707	Dasypus_novemcinctus	ENSDNOT00000044914
ENSDNOP00000025823	ENSDNOG00000042003	Dasypus_novemcinctus	ENSDNOT00000041197
ENSDNOP00000034651	ENSDNOG00000047862	Dasypus_novemcinctus	ENSDNOT00000046589
ENSDNOP00000020172	ENSDNOG00000036471	Dasypus_novemcinctus	ENSDNOT00000034994
ENSDNOP00000019745	ENSDNOG00000034593	Dasypus_novemcinctus	ENSDNOT00000037706
ENSDNOP00000027734	ENSDNOG00000044378	Dasypus_novemcinctus	ENSDNOT00000040816
ENSDNOP00000025274	ENSDNOG00000035030	Dasypus_novemcinctus	ENSDNOT00000035697
ENSDNOP00000027412	ENSDNOG00000043564	Dasypus_novemcinctus	ENSDNOT00000009551
ENSDNOP00000007702	ENSDNOG00000009945	Dasypus_novemcinctus	ENSDNOT00000009942
ENSDNOP00000024184	ENSDNOG00000036345	Dasypus_novemcinctus	ENSDNOT00000035673
ENSDNOP00000034193	ENSDNOG00000033823	Dasypus_novemcinctus	ENSDNOT00000052046
ENSDNOP00000026227	ENSDNOG00000035678	Dasypus_novemcinctus	ENSDNOT00000033410
ENSDNOP00000016506	ENSDNOG00000002826	Dasypus_novemcinctus	ENSDNOT00000002826
ENSDNOP00000032886	ENSDNOG00000036349	Dasypus_novemcinctus	ENSDNOT00000041165
ENSDNOP00000032342	ENSDNOG00000037775	Dasypus_novemcinctus	ENSDNOT00000038610
ENSDNOP00000025784	ENSDNOG00000035099	Dasypus_novemcinctus	ENSDNOT00000049579
ENSDNOP00000028373	ENSDNOG00000038207	Dasypus_novemcinctus	ENSDNOT00000047032
ENSCHOP00000005476	ENSCHOG00000006202	Choloepus_hoffmanni	ENSCHOT00000006210
ENSDNOP00000013528	ENSDNOG00000017455	Dasypus_novemcinctus	ENSDNOT00000017455
ENSUAMP00000005641	ENSUAMG00000005000	Ursus_americanus
ENSUMAP00000011486	ENSUMAG00000008638	Ursus_maritimus
ENSAMEP00000006646	ENSAMEG00000006303	Ailuropoda_melanoleuca
ENSNVIP00000010996	ENSNVIG00000008724	Neovison_vison
ENSMPUP00000018430	ENSMPUG00000018548	Mustela_putorius_furo
ENSCAFP00020033184	ENSCAFG00020025750	Canis_lupus_dingo
ENSCAFP00000035512	ENSCAFG00000029720	Canis_lupus_familiaris
ENSPPRP00000028230	ENSPPRG00000020255	Panthera_pardus
ENSPTIP00000008902	ENSPTIG00000010146	Panthera_tigris_altaica
ENSFCAP00000018369	ENSFCAG00000006793	Felis_catus
ENSVPAP00000001276	ENSVPAG00000001382	Vicugna_pacos
ENSECAP00000004758	ENSECAG00000006557	Equus_caballus
ENSEASP00005007761	ENSEASG00005005659	Equus_asinus_asinus
ENSMLUP00000019697	ENSMLUG00000030715	Myotis_lucifugus
ENSSARP00000006009	ENSSARG00000006640	Sorex_araneus
ENSCPOP00000014147	ENSCPOG00000015689	Cavia_porcellus	ENSCPOT00000015844
ENSCLAP00000019384	ENSCLAG00000013291	Chinchilla_lanigera	ENSCLAT00000019574
ENSFDAP00000017062	ENSFDAG00000005701	Fukomys_damarensis	ENSFDAT00000008913
MGP_SPRETEiJ_P0054991	MGP_SPRETEiJ_G0024842	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0054991
ENSMUSP00000107137	ENSMUSG00000042894	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000000689	ENSMSIG00000000724	Mus_spicilegus
MGP_CAROLIEiJ_P0052900	MGP_CAROLIEiJ_G0023928	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0063888	MGP_PahariEiJ_G0025366	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008762	ENSRNOG00000006716	Rattus_norvegicus
ENSMUGP00000031872	ENSMUGG00000026489	Meriones_unguiculatus
ENSCGRP00001003379	ENSCGRG00001004078	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000025693	ENSCGRG00000018686	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015030111	ENSCGRG00015022651	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001009281	ENSCGRG00001011421	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000026646	ENSCGRG00000019735	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000030491	ENSPEMG00000026833	Peromyscus_maniculatus_bairdii
ENSCCNP00000013930	ENSCCNG00000014440	Castor_canadensis
ENSDORP00000024127	ENSDORG00000027974	Dipodomys_ordii
ENSUPAP00010021303	ENSUPAG00010016944	Urocitellus_parryii
ENSSTOP00000021971	ENSSTOG00000019597	Ictidomys_tridecemlineatus
ENSSDAP00000000183	ENSSDAG00000000247	Spermophilus_dauricus
ENSOCUP00000024797	ENSOCUG00000036145	Oryctolagus_cuniculus
ENSPSMP00000032519	ENSPSMG00000022495	Prolemur_simus
ENSPCOP00000021624	ENSPCOG00000022843	Propithecus_coquereli
ENSOGAP00000011618	ENSOGAG00000012967	Otolemur_garnettii
ENSPPAP00000013313	ENSPPAG00000029840	Pan_paniscus
ENSPTRP00000048094	ENSPTRG00000003583	Pan_troglodytes
ENSP00000321338	ENSG00000176540	Homo_sapiens
