FBpp0290840	FBgn0035374	Drosophila_melanogaster	FBtr0301626
Y39B6A.39a.1	WBGene00012697	Caenorhabditis_elegans_strain_N2	Y39B6A.39a.1
ENSPMAP00000000515	ENSPMAG00000000467	Petromyzon_marinus	ENSPMAT00000000516
ENSEBUP00000010644	ENSEBUG00000006842	Eptatretus_burgeri	ENSEBUT00000011195
ENSLAFP00000008778	ENSLAFG00000010490	Loxodonta_africana
ENSPCAP00000003869	ENSPCAG00000004150	Procavia_capensis
ENSDNOP00000002374	ENSDNOG00000003068	Dasypus_novemcinctus
ENSCHOP00000004437	ENSCHOG00000005015	Choloepus_hoffmanni
ENSETEP00000004098	ENSETEG00000005034	Echinops_telfairi
ENSMLUP00000002985	ENSMLUG00000003279	Myotis_lucifugus
ENSPVAP00000015610	ENSPVAG00000016544	Pteropus_vampyrus
ENSNVIP00000006291	ENSNVIG00000005026	Neovison_vison
ENSMPUP00000005830	ENSMPUG00000005878	Mustela_putorius_furo
ENSNVIP00000002518	ENSNVIG00000002013	Neovison_vison
ENSUAMP00000032645	ENSUAMG00000024912	Ursus_americanus
ENSUMAP00000001696	ENSUMAG00000001347	Ursus_maritimus
ENSAMEP00000012153	ENSAMEG00000011553	Ailuropoda_melanoleuca
ENSCAFP00020016869	ENSCAFG00020013510	Canis_lupus_dingo
ENSCAFP00000016172	ENSCAFG00000010963	Canis_lupus_familiaris
ENSVVUP00000042573	ENSVVUG00000030237	Vulpes_vulpes
ENSPPRP00000003470	ENSPPRG00000022747	Panthera_pardus
ENSPTIP00000018915	ENSPTIG00000016892	Panthera_tigris_altaica
ENSFCAP00000024647	ENSFCAG00000029524	Felis_catus
ENSECAP00000008829	ENSECAG00000010929	Equus_caballus
ENSEASP00005009288	ENSEASG00005006645	Equus_asinus_asinus
ENSBIXP00005045697	ENSBIXG00005029219	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000024269	ENSBIXG00000026488	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000010567	ENSBTAG00000006369	Bos_taurus
ENSBMUP00000030894	ENSBMUG00000023070	Bos_mutus
ENSBBBP00000028514	ENSBBBG00000025249	Bison_bison_bison
ENSCHIP00000031135	ENSCHIG00000025620	Capra_hircus
ENSCHIP00000015978	ENSCHIG00000016426	Capra_hircus
ENSOARP00000021163	ENSOARG00000019704	Ovis_aries
ENSTTRP00000011798	ENSTTRG00000012432	Tursiops_truncatus
ENSVPAP00000011320	ENSVPAG00000012174	Vicugna_pacos
ENSPPAP00000001992	ENSPPAG00000008983	Pan_paniscus
ENSPPAP00000005995	ENSPPAG00000024107	Pan_paniscus
ENSPTRP00000008183	ENSPTRG00000004792	Pan_troglodytes
ENSGGOP00000003139	ENSGGOG00000003193	Gorilla_gorilla
ENSP00000081029	ENSG00000061794	Homo_sapiens
ENSPPYP00000005003	ENSPPYG00000004383	Pongo_abelii
ENSNLEP00000047203	ENSNLEG00000036292	Nomascus_leucogenys
ENSRBIP00000007431	ENSRBIG00000027610	Rhinopithecus_bieti
ENSPTEP00000029070	ENSPTEG00000028557	Piliocolobus_tephrosceles
ENSRROP00000038959	ENSRROG00000042830	Rhinopithecus_roxellana
ENSCANP00000010991	ENSCANG00000028913	Colobus_angolensis_palliatus
ENSMNEP00000041133	ENSMNEG00000043409	Macaca_nemestrina
ENSMMUP00000070687	ENSMMUG00000063176	Macaca_mulatta
ENSMFAP00000014323	ENSMFAG00000030289	Macaca_fascicularis
ENSMLEP00000003438	ENSMLEG00000014861	Mandrillus_leucophaeus
ENSTGEP00000034894	ENSTGEG00000027811	Theropithecus_gelada
ENSPANP00000004739	ENSPANG00000004580	Papio_anubis
ENSCATP00000006252	ENSCATG00000019666	Cercocebus_atys
ENSCSAP00000003850	ENSCSAG00000007584	Chlorocebus_sabaeus
ENSCCAP00000017927	ENSCCAG00000026788	Cebus_capucinus_imitator
ENSCJAP00000064973	ENSCJAG00000043200	Callithrix_jacchus
ENSSBOP00000030638	ENSSBOG00000031588	Saimiri_boliviensis_boliviensis
ENSANAP00000014590	ENSANAG00000025188	Aotus_nancymaae
ENSTSYP00000003017	ENSTSYG00000003293	Carlito_syrichta
ENSMICP00000016105	ENSMICG00000017686	Microcebus_murinus
ENSMICP00000048298	ENSMICG00000032618	Microcebus_murinus
ENSPCOP00000008725	ENSPCOG00000015665	Propithecus_coquereli
ENSPSMP00000023269	ENSPSMG00000016472	Prolemur_simus
ENSOGAP00000009512	ENSOGAG00000010630	Otolemur_garnettii
ENSTBEP00000000266	ENSTBEG00000000314	Tupaia_belangeri
ENSHGLP00000012968	ENSHGLG00000009273	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000021359	ENSHGLG00000015265	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000002413	ENSHGLG00000001828	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015441	ENSHGLG00100011411	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100003293	ENSHGLG00100002513	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028069	ENSHGLG00000020219	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021951	ENSFDAG00000007336	Fukomys_damarensis
ENSCLAP00000000887	ENSCLAG00000000691	Chinchilla_lanigera
ENSCPOP00000009617	ENSCPOG00000010714	Cavia_porcellus
ENSODEP00000008321	ENSODEG00000006203	Octodon_degus
ENSMMMP00000024800	ENSMMMG00000021714	Marmota_marmota_marmota
ENSUPAP00010021310	ENSUPAG00010016930	Urocitellus_parryii
ENSMMMP00000027586	ENSMMMG00000024092	Marmota_marmota_marmota
ENSSDAP00000017761	ENSSDAG00000016179	Spermophilus_dauricus
