ENSAOCP00000022585	ENSAOCG00000008194	Amphiprion_ocellaris
ENSAPEP00000018198	ENSAPEG00000013020	Amphiprion_percula
ENSAPOP00000012781	ENSAPOG00000015496	Acanthochromis_polyacanthus
ENSSPAP00000031097	ENSSPAG00000023317	Stegastes_partitus
ENSTRUP00000057434	ENSTRUG00000022248	Takifugu_rubripes
ENSPNYP00000018548	ENSPNYG00000014016	Pundamilia_nyererei
ENSHBUP00000017652	ENSHBUG00000019720	Haplochromis_burtoni
ENSACLP00000036869	ENSACLG00000024968	Astatotilapia_calliptera
ENSMZEP00005026319	ENSMZEG00005019635	Maylandia_zebra
ENSNBRP00000029996	ENSNBRG00000022839	Neolamprologus_brichardi
ENSONIP00000018793	ENSONIG00000014928	Oreochromis_niloticus
ENSACIP00000029907	ENSACIG00000023117	Amphilophus_citrinellus
ENSPRNP00000036776	ENSPRNG00000018380	Parambassis_ranga
ENSORLP00000045049	ENSORLG00000009612	Oryzias_latipes_ASM223467v1
ENSORLP00015031018	ENSORLG00015015051	Oryzias_latipes_ASM223469v1
ENSORLP00020001440	ENSORLG00020002134	Oryzias_latipes_ASM223471v1
ENSOMEP00000006688	ENSOMEG00000007736	Oryzias_melastigma
ENSKMAP00000017935	ENSKMAG00000013370	Kryptolebias_marmoratus
ENSBSLP00000015850	ENSBSLG00000008333	Betta_splendens
ENSCSEP00000006517	ENSCSEG00000004219	Cynoglossus_semilaevis
ENSMMOP00000011147	ENSMMOG00000008469	Mola_mola
ENSLCRP00005030076	ENSLCRG00005011966	Larimichthys_crocea	ENSLCRT00005030681
ENSLBEP00000016958	ENSLBEG00000013038	Labrus_bergylta	ENSLBET00000017910
ENSCGOP00000047354	ENSCGOG00000021248	Cottoperca_gobio
ENSSDUP00000019560	ENSSDUG00000014221	Seriola_dumerili
ENSSLDP00000025940	ENSSLDG00000020123	Seriola_lalandi_dorsalis
ENSMAMP00000012617	ENSMAMG00000008547	Mastacembelus_armatus
ENSMALP00000009028	ENSMALG00000006442	Monopterus_albus
ENSSMAP00000006269	ENSSMAG00000003863	Scophthalmus_maximus
ENSLCAP00010024792	ENSLCAG00010011590	Lates_calcarifer
ENSATEP00000002677	ENSATEG00000001772	Anabas_testudineus
ENSHCOP00000008370	ENSHCOG00000010616	Hippocampus_comes
ENSPMGP00000015661	ENSPMGG00000012837	Periophthalmus_magnuspinnatus
