ENSPKIP00000041828	ENSPKIG00000018224	Paramormyrops_kingsleyae	ENSPKIT00000022870
ENSSFOP00015020390	ENSSFOG00015013121	Scleropages_formosus	ENSSFOT00015020622
ENSHHUP00000085440	ENSHHUG00000049471	Hucho_hucho
ENSELUP00000010938	ENSELUG00000011400	Esox_lucius
ENSTRUP00000027619	ENSTRUG00000010934	Takifugu_rubripes
ENSTNIP00000020479	ENSTNIG00000017341	Tetraodon_nigroviridis
ENSORLP00000019692	ENSORLG00000015725	Oryzias_latipes_ASM223467v1
ENSORLP00020009000	ENSORLG00020009907	Oryzias_latipes_ASM223471v1
ENSORLP00015026898	ENSORLG00015008711	Oryzias_latipes_ASM223469v1
ENSOMEP00000025462	ENSOMEG00000006707	Oryzias_melastigma
ENSCSEP00000002288	ENSCSEG00000001537	Cynoglossus_semilaevis
ENSSDUP00000026933	ENSSDUG00000019524	Seriola_dumerili
ENSSLDP00000002112	ENSSLDG00000001732	Seriola_lalandi_dorsalis
ENSSMAP00000002484	ENSSMAG00000001554	Scophthalmus_maximus
ENSLCAP00010051105	ENSLCAG00010023806	Lates_calcarifer
ENSATEP00000022421	ENSATEG00000015565	Anabas_testudineus
ENSBSLP00000048319	ENSBSLG00000023004	Betta_splendens
ENSMAMP00000002471	ENSMAMG00000001737	Mastacembelus_armatus
ENSCGOP00000017996	ENSCGOG00000008636	Cottoperca_gobio
ENSGACP00000011231	ENSGACG00000008488	Gasterosteus_aculeatus
ENSLBEP00000030835	ENSLBEG00000023288	Labrus_bergylta
ENSLCRP00005046709	ENSLCRG00005017723	Larimichthys_crocea
ENSMMOP00000015927	ENSMMOG00000012155	Mola_mola
ENSCVAP00000023936	ENSCVAG00000007643	Cyprinodon_variegatus
ENSFHEP00000025677	ENSFHEG00000008049	Fundulus_heteroclitus
ENSGAFP00000005995	ENSGAFG00000004047	Gambusia_affinis
ENSXCOP00000011310	ENSXCOG00000008539	Xiphophorus_couchianus
ENSXMAP00000013501	ENSXMAG00000013472	Xiphophorus_maculatus
ENSPFOP00000008607	ENSPFOG00000008488	Poecilia_formosa
ENSPMEP00000012650	ENSPMEG00000014843	Poecilia_mexicana
ENSPLAP00000026437	ENSPLAG00000014211	Poecilia_latipinna
ENSPREP00000023016	ENSPREG00000015523	Poecilia_reticulata
ENSKMAP00000008022	ENSKMAG00000006022	Kryptolebias_marmoratus
ENSGWIP00000012357	ENSGWIG00000007191	Gouania_willdenowi
ENSAOCP00000004371	ENSAOCG00000007791	Amphiprion_ocellaris
ENSAPEP00000031955	ENSAPEG00000022688	Amphiprion_percula
ENSAPOP00000029560	ENSAPOG00000015507	Acanthochromis_polyacanthus
ENSSPAP00000017174	ENSSPAG00000012956	Stegastes_partitus
ENSPRNP00000032067	ENSPRNG00000016087	Parambassis_ranga
ENSMZEP00005009793	ENSMZEG00005007425	Maylandia_zebra
ENSACLP00000029804	ENSACLG00000020192	Astatotilapia_calliptera
ENSHBUP00000020813	ENSHBUG00000023120	Haplochromis_burtoni
ENSONIP00000025339	ENSONIG00000020114	Oreochromis_niloticus
ENSPNYP00000029180	ENSPNYG00000021953	Pundamilia_nyererei
ENSNBRP00000012351	ENSNBRG00000009575	Neolamprologus_brichardi
ENSACIP00000031332	ENSACIG00000024208	Amphilophus_citrinellus
ENSHCOP00000023566	ENSHCOG00000012223	Hippocampus_comes
ENSPMGP00000004583	ENSPMGG00000003886	Periophthalmus_magnuspinnatus
ENSGMOP00000011622	ENSGMOG00000010865	Gadus_morhua
ENSCHAP00000043181	ENSCHAG00000019841	Clupea_harengus
ENSDCDP00000005883	ENSDCDG00000002848	Denticeps_clupeoides
ENSAMXP00000032032	ENSAMXG00000031721	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000049287	ENSEEEG00000023167	Electrophorus_electricus
ENSIPUP00000003661	ENSIPUG00000002579	Ictalurus_punctatus
ENSDARP00000070951	ENSDARG00000054312	Danio_rerio
ENSCGRP00000009368	ENSCGRG00000006836	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001017259	ENSCGRG00001017345	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015036063	ENSCGRG00015027057	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000022168	ENSMAUG00000019668	Mesocricetus_auratus
ENSMOCP00000013096	ENSMOCG00000012994	Microtus_ochrogaster
ENSPEMP00000026047	ENSPEMG00000022276	Peromyscus_maniculatus_bairdii
ENSMUGP00000005562	ENSMUGG00000005042	Meriones_unguiculatus
ENSMUGP00000023295	ENSMUGG00000019497	Meriones_unguiculatus
ENSMUSP00000120810	ENSMUSG00000044712	Mus_musculus_strain_reference_(CL57BL6)
