ENSPCAP00000002069	ENSPCAG00000002220	Procavia_capensis
ENSETEP00000012748	ENSETEG00000015719	Echinops_telfairi
ENSLAFP00000004726	ENSLAFG00000005635	Loxodonta_africana
ENSCHOP00000008278	ENSCHOG00000009353	Choloepus_hoffmanni
ENSPTRP00000076861	ENSPTRG00000020401	Pan_troglodytes	ENSPTRT00000104022
ENSPPAP00000014823	ENSPPAG00000030579	Pan_paniscus	ENSPPAT00000037511
ENSP00000430073	ENSG00000176571	Homo_sapiens
ENSGGOP00000047430	ENSGGOG00000005268	Gorilla_gorilla
ENSPPYP00000021006	ENSPPYG00000018727	Pongo_abelii
ENSNLEP00000002125	ENSNLEG00000001786	Nomascus_leucogenys
ENSRBIP00000028839	ENSRBIG00000038313	Rhinopithecus_bieti
ENSRROP00000037460	ENSRROG00000042149	Rhinopithecus_roxellana
ENSCANP00000023198	ENSCANG00000035023	Colobus_angolensis_palliatus
ENSPTEP00000037077	ENSPTEG00000034743	Piliocolobus_tephrosceles
ENSMFAP00000016872	ENSMFAG00000031603	Macaca_fascicularis
ENSMMUP00000002338	ENSMMUG00000001751	Macaca_mulatta
ENSMNEP00000034583	ENSMNEG00000040483	Macaca_nemestrina
ENSMLEP00000034695	ENSMLEG00000041498	Mandrillus_leucophaeus
ENSCATP00000020872	ENSCATG00000034178	Cercocebus_atys
ENSPANP00000027759	ENSPANG00000034174	Papio_anubis
ENSTGEP00000031973	ENSTGEG00000025570	Theropithecus_gelada
ENSSBOP00000023455	ENSSBOG00000028244	Saimiri_boliviensis_boliviensis
ENSCJAP00000000411	ENSCJAG00000000247	Callithrix_jacchus
ENSCCAP00000015509	ENSCCAG00000025550	Cebus_capucinus_imitator
ENSANAP00000024411	ENSANAG00000029938	Aotus_nancymaae
ENSTSYP00000023418	ENSTSYG00000036996	Carlito_syrichta
ENSPSMP00000036988	ENSPSMG00000025439	Prolemur_simus
ENSMICP00000041111	ENSMICG00000040425	Microcebus_murinus
ENSPCOP00000026376	ENSPCOG00000025553	Propithecus_coquereli
ENSTBEP00000012867	ENSTBEG00000014831	Tupaia_belangeri
ENSUPAP00010019723	ENSUPAG00010015603	Urocitellus_parryii
ENSMMMP00000007431	ENSMMMG00000006674	Marmota_marmota_marmota
ENSPEMP00000032717	ENSPEMG00000028415	Peromyscus_maniculatus_bairdii
ENSCGRP00015016539	ENSCGRG00015012737	Cricetulus_griseus_CriGri-PICR
ENSMSIP00000031795	ENSMSIG00000026593	Mus_spicilegus
ENSMUSP00000121576	ENSMUSG00000073991	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0063959	MGP_SPRETEiJ_G0026781	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0061526	MGP_CAROLIEiJ_G0025832	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057196	MGP_PahariEiJ_G0023955	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000072572	ENSRNOG00000056330	Rattus_norvegicus
ENSCLAP00000011497	ENSCLAG00000007926	Chinchilla_lanigera
ENSOCUP00000026293	ENSOCUG00000029386	Oryctolagus_cuniculus
ENSOPRP00000015709	ENSOPRG00000017213	Ochotona_princeps
ENSCAFP00000049906	ENSCAFG00000008909	Canis_lupus_familiaris
ENSCAFP00020015407	ENSCAFG00020012371	Canis_lupus_dingo
ENSVVUP00000002301	ENSVVUG00000001846	Vulpes_vulpes
ENSNVIP00000008686	ENSNVIG00000006887	Neovison_vison
ENSMPUP00000010858	ENSMPUG00000010946	Mustela_putorius_furo
ENSAMEP00000018105	ENSAMEG00000017142	Ailuropoda_melanoleuca
ENSPTIP00000023178	ENSPTIG00000019747	Panthera_tigris_altaica
ENSPPRP00000029480	ENSPPRG00000022136	Panthera_pardus
ENSFCAP00000055012	ENSFCAG00000026138	Felis_catus
ENSPVAP00000004703	ENSPVAG00000004974	Pteropus_vampyrus
ENSBIXP00000009909	ENSBIXG00000015525	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005045268	ENSBIXG00005005133	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000064144	ENSBTAG00000051390	Bos_taurus
ENSBMUP00000013976	ENSBMUG00000010653	Bos_mutus
ENSBBBP00000013055	ENSBBBG00000020698	Bison_bison_bison
ENSOARP00000012300	ENSOARG00000011475	Ovis_aries
ENSCHIP00000006172	ENSCHIG00000010091	Capra_hircus
ENSTTRP00000002160	ENSTTRG00000002304	Tursiops_truncatus
ENSSSCP00000050207	ENSSSCG00000036161	Sus_scrofa_strain_reference
ENSVPAP00000007880	ENSVPAG00000008465	Vicugna_pacos
ENSECAP00000028316	ENSECAG00000026864	Equus_caballus
ENSEASP00005027517	ENSEASG00005018728	Equus_asinus_asinus
ENSEEUP00000009556	ENSEEUG00000010493	Erinaceus_europaeus
ENSSARP00000010098	ENSSARG00000011179	Sorex_araneus
ENSPCIP00000039722	ENSPCIG00000029146	Phascolarctos_cinereus
ENSMEUP00000000086	ENSMEUG00000000091	Notamacropus_eugenii
ENSSHAP00000013690	ENSSHAG00000011704	Sarcophilus_harrisii
ENSMODP00000040869	ENSMODG00000029240	Monodelphis_domestica
ENSOANP00000022634	ENSOANG00000014357	Ornithorhynchus_anatinus
ENSOANP00000032403	ENSOANG00000031523	Ornithorhynchus_anatinus
ENSPVIP00000012521	ENSPVIG00000009770	Pogona_vitticeps
ENSACAP00000021225	ENSACAG00000020960	Anolis_carolinensis
ENSLACP00000023174	ENSLACG00000022340	Latimeria_chalumnae
ENSAMXP00000000106	ENSAMXG00000040150	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005015152	ENSAMXG00005008039	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000033785	ENSPNAG00000022624	Pygocentrus_nattereri
ENSDARP00000157088	ENSDARG00000091489	Danio_rerio
ENSCHAP00000022433	ENSCHAG00000011203	Clupea_harengus
ENSHHUP00000032707	ENSHHUG00000020705	Hucho_hucho
ENSELUP00000027016	ENSELUG00000003089	Esox_lucius
ENSLOCP00000012735	ENSLOCG00000010391	Lepisosteus_oculatus
ENSCMIP00000019927	ENSCMIG00000009250	Callorhinchus_milii
